reactants	products	set	tanimoto	possible_products
NC(CC(O)C(=O)O)C(=O)O	NC(CCC(=O)O)C(=O)O	train	0.44	NC(CCC(=O)O)C(=O)O.O=C(O)C(=O)CC(O)C(=O)O.NC(CC(O)C=O)C(=O)O
CC(=O)CCC(NC(=O)c1ccc(N(C=O)CC2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O	CC(=O)CCC(NC(=O)c1ccc(N2C=[N+]3c4c(nc(N)[nH]c4=O)NCC3C2)cc1)C(=O)[O-]	train	0.5	CC(=O)CCC(NC(=O)c1ccc(N2C=[N+]3c4c(nc(N)[nH]c4=O)NCC3C2)cc1)C(=O)[O-].CC(=O)CCC(NC(=O)c1ccc(NCC2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O
NC(CCC(O)=NC(CSC=O)C(=O)NCC(=O)O)C(=O)O	NC(CCC(O)=NC(CS)C(=O)NCC(=O)O)C(=O)O	train	0.6888888888888889	NC(CCC(O)=NC(CS)C(=O)NCC(=O)O)C(=O)O
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)[nH]c1=O	Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)O2)c(=O)[nH]c1=O	train	0.7536231884057971	Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)O2)c(=O)[nH]c1=O
NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O	NC(Cc1ccccc1)C(=O)O	train	0.5405405405405406	NC(Cc1ccccc1)C(=O)O.NC(Cc1ccc(O)cc1)C(=O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1	train	0.5671641791044776	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1.CC(=O)NC1C(O)OC(CO)C(O)C1O.O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1O
CC(O)=NC1C(OP(=O)(O)O)OC(CO)C(O)C1O	CC(O)=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)OC(CO)C(O)C1O	train	0.4848484848484848	CC(O)=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)OC(CO)C(O)C1O
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1	train	0.6	NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C(O)CC1
CC(C)=CCCC(C)=CCCC(C)=CCSCC(NC(=O)C(C)NC(=O)C(C)N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O	CC(N)C(=O)NC(C)C(=O)NC(CS)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O	train	0.490566037735849	CC(N)C(=O)NC(C)C(=O)NC(CS)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O.CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
NC(CCC(O)=NC(CSCO)C(=O)NCC(=O)O)C(=O)O	NC(CCC(O)=NC(CSC=O)C(=O)NCC(=O)O)C(=O)O	train	0.723404255319149	NC(CCC(O)=NC(CSC=O)C(=O)NCC(=O)O)C(=O)O
NC(Cc1ccc(O)cc1)C(=O)NC(CS)C(=O)NCC(=O)O	NC(Cc1ccc(O)cc1)C(=O)O	train	0.5238095238095238	NC(Cc1ccc(O)cc1)C(=O)O
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(C)=O	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(C)=O	train	0.8813559322033898	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(C)=O.CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(O)C(OC2(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O2)C1O)NC(C)=O.OCC1OC(O)C(O)C(O)C1O.CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(O)C(OS(=O)(=O)O)C1O)NC(C)=O.CCCCCCCCCCCCCC=CC(O)C(CO)NC(C)=O.CCCCCCCCCCCCCC=CC(O)C(N)COC1OC(CO)C(O)C(O)C1O
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	train	0.3928571428571428	O=c1[nH]c(=O)c2[nH]cnc2[nH]1.O=c1[nH]c(=O)c2nc[nH]c2[nH]1
NCCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	NCCc1ccc(Oc2ccc(O)c(I)c2)c(I)c1	train	0.7	NCCc1ccc(Oc2ccc(O)c(I)c2)c(I)c1
NC(Cc1cc(I)c(O)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	train	0.75	NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O.NC(Cc1ccc(O)cc1)C(=O)O.NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O.NC(Cc1ccc(O)c(I)c1)C(=O)O
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O	O=c1[nH]cnc2[nH]cnc12	train	0.3043478260869565	O=c1[nH]cnc2[nH]cnc12.Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O.O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
[H]NC(=O)CCCCC(S)CCS	[H]NC(=O)CCCCC(S)CCSC(=O)C(C)C	train	0.5428571428571428	[H]NC(=O)CCCCC(S)CCSC(=O)C(C)C.[H]N=C(O)CCCCC(S)CCSC(=O)CCC(=O)O
CCC(C)C(NC(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(C)C)C(=O)O	CC(C)C(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)O	train	0.8428571428571429	CC(C)C(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)O
C=C(C)CCOP(=O)(O)OP(=O)(O)O	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O	train	0.425	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O.CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O.O=P(O)(O)OP(=O)(O)O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O.CC(O)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O.CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
COC(=O)CCCC(=O)CC(=O)SC	CSC(=O)CC(=O)O	train	0.4285714285714285	CSC(=O)CC(=O)O.COC(=O)CCCC(=O)SC
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O	COc1cc2c(cc1OC)CN(C(=O)C(C)NC(CCc1ccccc1)C(=O)O)C(C(=O)O)C2	train	0.8524590163934426	COc1cc2c(cc1OC)CN(C(=O)C(C)NC(CCc1ccccc1)C(=O)O)C(C(=O)O)C2
CC(CO)CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C	CC(CO)CCCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C	train	0.6461538461538462	CC(CO)CCCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C.CC(CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C)C(=O)O.CC(CO)CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CC(O)C12C.CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CCC12C
CC(=O)NC(CCCN)C(=O)O	NCCCC(N)C(=O)O	train	0.4666666666666667	NCCCC(N)C(=O)O.CC(=O)O
NC(CS)C(=O)O	NC(CS(=O)O)C(=O)O	train	0.4583333333333333	NC(CS(=O)O)C(=O)O.CC(C)CC(N)C(=O)O.CC(O)C(N)C(=O)O.CC(N)C(=O)O.CC(C)=CCCC(C)=CCCC(C)=CCSCC(N)C(=O)O.NC(CCC(O)=NC(CS)C(=O)O)C(=O)O.NC(CS)C(=O)NCC(=O)O.NCCCCC(N)C(=O)O.NC(CSSCC(O)C(=O)O)C(=O)O.NCC(=O)O.O=C(O)C(=O)CS.NC(Cc1ccccc1)C(=O)O.CSCCC(N)C(=O)O.NC(CSSCC(N)C(=O)O)C(=O)O.CC(O)=NC(CS)C(=O)O.NC(Cc1c[nH]c2ccccc12)C(=O)O.NC(CO)C(=O)O.NC(CCC(=O)NC(CS)C(=O)O)C(=O)O.NC(Cc1ccc(O)cc1)C(=O)O.CC(C)C(N)C(=O)O.NC(CCO)C(=O)O.NC(Cc1cnc[nH]1)C(=O)O.[H]NC(=O)NCCCC(N)C(=O)O.CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NC(CS)C(=O)O.NC(CCSCC(N)C(=O)O)C(=O)O.[H]NC(=O)CC(N)C(=O)O.[H]N=C(N)NCCCC(N)C(=O)O.[H]NC(=O)CCC(N)C(=O)O
CCCCCC(O)CC(=O)SC	CCCCCC(=O)CC(=O)SC	train	0.4375	CCCCCC(=O)CC(=O)SC.CCCCCC=CC(=O)SC
Cc1cc(C(=O)O)c(C(=O)O)cc1O	Cc1ccc(C(=O)O)cc1O	train	0.5	Cc1ccc(C(=O)O)cc1O
N=C(N)NCC(=O)O	CN(CC(=O)O)C(=N)N	train	0.3333333333333333	CN(CC(=O)O)C(=N)N.N=C(N)NCCCC(N)C(=O)O.NCC(=O)O
CC(C)C(N)C(=O)O	CC(N)C(=O)O	train	0.5882352941176471	CC(N)C(=O)O.NCCCC(N)C(=O)O.CC(C)CC(N)C(=O)O.CCC(C)C(N)C(=O)O.NC(Cc1ccccc1)C(=O)O.NC(CCO)C(=O)O.[H]N=C(N)NCCCC(N)C(=O)O.NCC(=O)O.CC(C)C(=O)C(=O)O.[H]NC(=O)NCCCC(N)C(=O)O.NC(CS)C(=O)O.CC(O)C(N)C(=O)O.NC(Cc1c[nH]c2ccccc12)C(=O)O.NCCCCC(N)C(=O)O.CSCCC(N)C(=O)O
CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O	CC(=O)NC1C(N)OC(CO)C(O)C1O	train	0.5555555555555556	CC(=O)NC1C(N)OC(CO)C(O)C1O.CC(=O)NC1C(O)OC(CO)C(O)C1O
O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O	O=C1C(O)C(O)OC(CO)C1O	train	0.5882352941176471	O=C1C(O)C(O)OC(CO)C1O.OCC1OC(O)C(O)C(O)C1O
[H]N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1	[H]N=c1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1	train	0.7037037037037037	[H]N=c1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1.OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O
CC(=O)OC(CO)CO	CC(=O)OC(CO)COP(=O)(O)O	train	0.5925925925925926	CC(=O)OC(CO)COP(=O)(O)O.CC(=O)OCC(CO)OC(C)=O.CC(=O)O.OCC(O)CO
NCC(F)C(=O)O	NC(=O)NCC(F)C(=O)O	train	0.48	NC(=O)NCC(F)C(=O)O
OCC(O)c1ccc(O)c(O)c1	COc1cc(C(O)CO)ccc1O	train	0.6129032258064516	COc1cc(C(O)CO)ccc1O.O=CC(O)c1ccc(O)c(O)c1
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12	CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)[nH]c12	train	0.859375	CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)[nH]c12.CCCc1nn(C)c2c(=O)nc(-c3cc([SH](=O)=O)ccc3OCC)[nH]c12
COC(=O)N(C)C	COC(=O)N(C)CO	train	0.5238095238095238	COC(=O)N(C)CO
CC=CC(=O)SC	CSC(=O)CC(C)O	train	0.2592592592592592	CSC(=O)CC(C)O.CCCC(=O)SC
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2	train	0.6301369863013698	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2.Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1.Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2.CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1.Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2.Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2.Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1)CN2.N=CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1.Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2
CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O	CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	train	0.4065040650406504	CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(C=O)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
O=C(CO)COP(=O)(O)O	O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O	train	0.25	O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O.CC(=O)OCC(=O)COP(=O)(O)O.O=C(CO)CO.O=CC(O)COP(=O)(O)O.O=P(O)(O)OCC1(O)OC(CO)C(O)C1O.O=C(COP(=O)(O)O)C(O)C(O)C(O)C(O)COP(=O)(O)O.O=P(O)(O)OCC(O)CO
CC(=O)OCC(CO)OC(C)=O	CC(=O)OCC(COP(=O)(O)OCCN)OC(C)=O	train	0.4864864864864865	CC(=O)OCC(COP(=O)(O)OCCN)OC(C)=O.CC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O.CC(=O)OCC(COP(=O)(O)CCN)OC(C)=O.CC(=O)OC(CO)CO.CC(=O)OCC(COP(=O)(O)O)OC(C)=O.CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O.CC(=O)OCC(COC1OC(CO)C(O)C(O)C1O)OC(C)=O.CC(=O)O.CC(=O)OCC(O)CO.CC(=O)OCC(COC(C)=O)OC(C)=O
O=C(O)Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1	O=C(O)Cc1ccc(Oc2cc(I)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(I)c2)c(I)c1	train	0.5555555555555556	O=C(O)Cc1ccc(Oc2cc(I)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(I)c2)c(I)c1
[H]NC(=O)CCCCC1CCSS1	[H]NC(=O)CCCCC(S)CCSC(=O)C(C)C	train	0.2340425531914893	[H]NC(=O)CCCCC(S)CCSC(=O)C(C)C.[H]NC(=O)CCCCC(S)CCSC(=O)C(C)CC.[H]NC(=O)CCCCC(S)CCSCN.[H]NC(=O)CCCCC(S)CCSC(=O)CC(C)C
c1ccc(N=Nc2ccccc2)cc1	Nc1ccccc1	train	0.3529411764705882	Nc1ccccc1
COC1OC(COP(=O)(O)OC2OC(CO)C(O)C(O)C2NC(C)=O)C(O)C(O)C1O	COC1OC(COP(=O)(O)O)C(O)C(O)C1O	train	0.54	COC1OC(COP(=O)(O)O)C(O)C(O)C1O.CC(=O)NC1C(O)OC(CO)C(O)C1O
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1	O=P(O)(O)OC1OC(CO)C(O)C(O)C1O	train	0.3582089552238806	O=P(O)(O)OC1OC(CO)C(O)C(O)C1O.CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C2O)C(O)C(O)C1=O.Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
O=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1	O=c1[nH]cnc2[nH]cnc12	train	0.2916666666666667	O=c1[nH]cnc2[nH]cnc12.Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
