parent_smiles	parent_name	child_name	child_smiles	set
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	docetaxel	Hydroxy-Docetaxel	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)CO)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	train
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	Benzo[a]pyrene	Benzo[a]pyrene-7,8-epoxide	C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45	train
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	Verapamil	M9 (D-703)	COc1cc(C(C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O	train
OCCc1ccc2ccc3cccc4ccc1c2c34	2‐(pyren‐1‐yl)ethanol		O=S(=O)(O)OCCc1ccc2ccc3cccc4ccc1c2c34	train
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12	Bufuralol	1'2'-Ethenylbufuralol	C=Cc1cccc2cc(C(O)CNC(C)(C)C)oc12	train
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1	Nicardipine	De-benzylated nicardipine	CNCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	train
O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12	6,7-Dihydroxyflavone		O=C(O)[C@H]1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3cc2O)[C@H](O)[C@@H](O)[C@@H]1O	train
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	Carvedilol		COc1ccccc1OCCNCC(COc1cccc2[nH]c3ccccc3c12)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	train
Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	4-nitro-3-(trifluoromethyl)aniline	2-amino5-nitro-4-(trifluoromethyl)phenol	Nc1cc(C(F)(F)F)c([N+](=O)[O-])cc1O	train
Cc1ccccc1-n1c(C)nc2ccccc2c1=O	methaqualone	hydroxy-methaqualone	Cc1cc(O)ccc1-n1c(C)nc2ccccc2c1=O	train
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1	NE-100		CCCN(CCC)CCc1ccc(OC)c(OCCc2cccc(O)c2)c1	train
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2ccccc12	reduced_dolasetron	6-Hydroxydolasetron	O=C(OC1C[C@@H]2CC3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2cc(O)ccc12	train
CNCC[C@H](Oc1ccccc1C)c1ccccc1	(s)-tomoxetine	N-Desmethyl-(s)-tomoxetine	CNCC[C@@H](Oc1ccccc1CO)c1ccccc1	train
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	linomide	4-hydroxy-N-(4-hydroxyphenyl)-N,1-dimethyl-2-oxo-1,2-dihydroquinoline-3-carboxamide	CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccc(O)cc1	train
CC1(C)[C@@H]2CC[C@@]3(C)[C@@H](C2)[C@@H](C(=O)O)CC[C@@]13O	Hydroxyoxid acid		CC1(C)[C@@H]2CC[C@@]3(C)[C@@H](C2)[C@@H](C(=O)O)CC[C@@]13OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	train
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	Retinoic acid, all-trans	5,6-Epoxy-retinoic acid	CC(/C=C/C12OC1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O	train
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(O)=N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](COCCO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	sdz_imm_125		C/C=C/CC(C)C(O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(COCCO)C(=O)N(C)C(CC(C)C)C(O)=NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	train
COc1ccc(CCNCCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	Norverapamil	2-(3,4-dimethoxyphenyl)acetaldehyde	COc1ccc(CC=O)cc1OC	train
CNC(=O)c1cc(Oc2ccc(NC(O)=Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	Sorafenib		CNC(=O)c1cc(Oc2ccc(NC(=O)N(c3ccc(Cl)c(C(F)(F)F)c3)[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)ccn1	train
CN(C)CCC=C1c2ccccc2CCc2ccccc21	amitriptyline	Nortriptyline	CNCCC=C1c2ccccc2CCc2ccccc21	train
O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12	3,7-Dihydroxyfavone		O=C(O)[C@H]1OC(Oc2c(-c3ccccc3)oc3cc(O)ccc3c2=O)[C@H](O)[C@@H](O)[C@@H]1O	train
CN[C@@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@H]1OC	schembl3207291		CNC1CN(c2ccc3c(n2)N(c2nccs2)CC(C(=O)O)C3=O)CC1OC	train
O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12	dibenzylfluorescein	Fluorescein benzyl ester	O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12	train
CCC[C@@H]1C[C@@H](C(O)=N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1	clindamycin	clindamycin sulfoxide	CCCC1CC(C(O)=NC(C(C)Cl)C2OC(S(C)=O)C(O)C(O)C2O)N(C)C1	train
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	Estradiol	2-hydroxyestradiol	C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	train
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	meperidine	normeperidine	CCOC(=O)C1(c2ccccc2)CCNCC1	train
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	simvastatin	3', 5'-Dihydrodiol	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C(O)C2=CC(O)[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	train
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1	(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol		O=S1c2cc(O)ccc2OC(c2ccc(OCCN3CCCCC3)cc2)C1c1ccc(O)cc1	train
CCCCC/C=C\[C@@H](/C=C\CCCCCCCC(=O)O)OO	(11S)-11-hydroperoxylinoleic acid		CCCCC/C=C\[C@@H](/C=C\CCCCCCCC(=O)O)OOSC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O	train
NNC(=O)c1ccncc1	Isonicotinoylhydrazine		O=C(NNC1OC(C(=O)O)C(O)C(O)C1O)c1ccncc1	train
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	Sulfamethoxazole		CC(O)=Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1	train
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@H](O)[C@]1(C)O	roxithromycin		CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)/C(=N\OCOCCOC)C(C)C(O)C1(C)O	train
C[C@@H](Cc1ccccc1)NCCC#N	Fenproporex	amphetamine	CC(N)Cc1ccccc1	train
O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(C2=NC(c3ccc(C(F)(F)F)cc3)=CC2)cc1	compound_1	M2	O=S(=O)(Nc1ccc(CCNCC(O)c2ccc[n+]([O-])c2)cc1)c1ccc(C2=NC(c3ccc(C(F)(F)F)cc3)=CC2)cc1	train
c1ccc(C2(N3CCCCC3)CCCCC2)cc1	phencyclidine	PCHP	OC1CCN(C2(c3ccccc3)CCCCC2)CC1	train
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	omeprazole	Omeprazole sulfone	COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	train
O=C(O)C/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1	(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid	(3Z)â€5â€{3â€benzenesulfonamidoâ€5â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid	O=C(O)C/C=C\CC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1	train
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1	Ketobemidone	Ketobemidone sulfate	CCC(=O)C1(c2cccc(OS(=O)(=O)O)c2)CCN(C)CC1	train
C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	2-hydroxyestradiol	3-O-methoxyestradiol	COc1cc2c(cc1O)[C@H]1CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]1CC2	train
COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC	deoxypodophyllotoxin		COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC	train
COc1ccc(-c2oc3cc(O)ccc3c(=O)c2O)cc1OC	3,7-Dihydroxy-3p,4p-dimethoxyflavone		COc1ccc(-c2oc3cc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)ccc3c(=O)c2O)cc1OC	train
C[C@@H](c1cc2ccccc2s1)N(O)C(=N)O	(-)-zileuton	Zileuton sulfoxide	C[C@@H](C1=Cc2ccccc2S1=O)N(O)C(=N)O	train
CN1CCCCC1CCc1ccccc1NC(=O)c1ccc(O)cc1	O-demethylencainide	N,O-didemethylencainide	O=C(Nc1ccccc1CCC1CCCCN1)c1ccc(O)cc1	train
CC(O)=Nc1ccc(O)cc1	Acetaminophen		CC(O)=Nc1ccc(OS(=O)(=O)O)cc1	train
CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341	ethylmorphine	Norethylmorphine	CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341	train
C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1	(r)-bupropion	(2R)-2-(tert-butylamino)-1-(3-chloro-4-hydroxyphenyl)propan-1-one	C[C@@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1	train
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	haloperidol	Haloperidol pyridinium	O=C(CCCN1C=CC(=C2C=CC(=[Cl+])C=C2)C=C1)c1ccc(F)cc1	train
O=C(O)C(F)Cl	chlorofluoroacetic acid	chloroacetyl-S-glutathione	NC(CCC(O)=NC(CSC(Cl)C(=O)O)C(O)=NCC(=O)O)C(=O)O	train
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C	Rabeprazole (rabeprazole_thioether)	Rabeprazole	COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C	train
CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1	(+)-bisoprolol	(+)-bisoprolol, O-deisopropyl	CC(C)NC[C@@H](O)COc1ccc(COCCO)cc1	train
C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O	2-hydroxyestrone	3-O-methoxyestrone	COc1cc2c(cc1O)[C@H]1CC[C@]3(C)C(=O)CC[C@H]3[C@@H]1CC2	train
CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3	(-)-etodolac	7-Hydroxyetodolac	CCc1c(O)ccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3	train
C[C@@H](NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C	CTK0G1203		CC(N=C(N=c1cc[nH]cc1)NC(=N)O)C(C)(C)C	train
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	hyocholic acid	hyocholic acid 24-O-glucuronide	C[C@H](CCC(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	train
CN=C(O)Oc1cccc2c1OC(C)(C)C2	Carbofuran	e-hydroxy-carbofuran	CN=C(O)Oc1cccc2c1OC(C)(C)C2O	train
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1	parathion	Paraoxon	CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1	train
O=[S@@](Cc1cc(OCC2CC2)ccn1)c1nc2ccc(F)cc2[nH]1	2Ã¢â‚¬Â[(S)Ã¢â‚¬Â[4Ã¢â‚¬Â(cyclopropylmethoxy)pyridinÃ¢â‚¬Â2Ã¢â‚¬Âyl]methanesulfinyl]Ã¢â‚¬Â5Ã¢â‚¬ÂfluoroÃ¢â‚¬Â1HÃ¢â‚¬Â1,3Ã¢â‚¬Âbenzodiazole	Sulphone	O=S(=O)(Cc1cc(OCC2CC2)ccn1)c1nc2ccc(F)cc2[nH]1	train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	perphenazine	Perphenazine sulfoxide	O=S1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(Cl)ccc21	train
OCc1cc2ccc3cccc4ccc(c1)c2c34	2-hydroxymethylpyrene		O=S(=O)(O)OCc1cc2ccc3cccc4ccc(c1)c2c34	train
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12	Dibenz[a,j]acridine	3,4-DHD	Oc1ccc2c(ccc3nc4ccc5ccccc5c4cc32)c1O	train
Cc1ccccc1C	o-xylene	2,3-Dimethylphenol	Cc1ccc(O)cc1C	train
CC1(C)C(=O)C2(C)CC1CC2O	fenchone metabo3		CC1(C)C(=O)C2(C)CC1CC2OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	train
CC(c1cc2ccccc2s1)N(O)C(=N)O	Zileuton	Zileuton O-glucuronide	CC(c1cc2ccccc2s1)N(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)C(=N)O	train
COc1ccccc1N=C(O)/C(=N/Nc1ccc([N+](=O)[O-])cc1OC)C(C)=O	schembl12998564	py74-M1	COc1cc(O)ccc1N=C(O)/C(=N/Nc1ccc([N+](=O)[O-])cc1OC)C(C)=O	train
N#Cc1cccc2sc(C(=O)NC(=N)N)cc12	KR-33028	5-hydroxy-KR-33028	N#Cc1c(O)ccc2sc(C(=O)NC(=N)N)cc12	train
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1	cerivastatin		COCc1c(C(C)CO)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1	train
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	Linoleic acid	Leukotoxin	CCCCC/C=C\CC1OC1CCCCCCCC(=O)O	train
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21	zinc38309998		CCC(C)(C)C(=O)OC1CC(C)C(O)=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21	train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	Chlorpromazine	Chlorpromazine N-glucuronide	C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1OC(C(=O)O)C(O)C(O)C1O	train
O=[N+]([O-])c1ccc(CCBr)cc1	4-nitrophenethyl bromide	4-nitrophenethyl-glutathione	N[C@@H](CCC(O)=N[C@@H](CSCCc1ccc([N+](=O)[O-])cc1)C(O)=NCC(=O)O)C(=O)O	train
Cn1c(NO)nc2ncc(-c3ccccc3)cc21	N2-OH-PhIP	N2-OH-PhIP-N2-glucuronide	Cn1c(NO[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)nc2ncc(-c3ccccc3)cc21	train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	imatinib	N-desmethylimatinib	Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	train
CN1C(=O)N=C(O)C(C)(C2=CC(=O)CCC2)C1=O	3p-Oxohexobarbital		CN1C(=O)N=C(O)C(C)(C2(SC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)CCCC(=O)C2)C1=O	train
O=C(O)Cc1ccc(O)cc1	4-hydroxyphenylacetic acid	2-Phenylacetic acid	O=C(O)Cc1ccccc1	train
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1	Aprindine	Desethylaprindine	CCNCCCN(c1ccccc1)C1Cc2ccccc2C1	train
COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(N=C(O)OC3CCCC3)cc12	zafirlukast	cyclopentyl NÃ¢â‚¬Â[1Ã¢â‚¬Â(hydroxymethyl)Ã¢â‚¬Â3Ã¢â‚¬Â({2Ã¢â‚¬ÂmethoxyÃ¢â‚¬Â4Ã¢â‚¬Â[(2Ã¢â‚¬Âmethylbenzenesulfonyl)carbamoyl]phenyl}methyl)indolÃ¢â‚¬Â5Ã¢â‚¬Âyl]carbamate	COc1cc(C(O)=NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(CO)c2ccc(N=C(O)OC3CCCC3)cc12	train
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1	Esfenvalerate	4'-OH-esfenvalerate	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccc(O)cc2)c1)c1ccc(Cl)cc1	train
O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32	4-nitropyrene	4-aminopyrene	Nc1cc2cccc3ccc4cccc1c4c32	train
Cc1ccc(O)cc1	4-Methylphenol		Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1	train
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	nefazodone		Clc1cccc(N2CCNCC2)c1	train
Cc1ccc2oc(-c3ccccc3)c(O)c(=O)c2c1	3-Hydroxy-6-methylflavone		Cc1ccc2oc(-c3ccccc3)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(=O)c2c1	train
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	risperidone		Fc1ccc2c(C3CCNCC3)noc2c1	train
C=CCc1ccc(OC)c(OC)c1	methyleugenol	1Ã¢â‚¬Ëœ-hydroxylate methyleugenol	C=CC(O)c1ccc(OC)c(OC)c1	train
C[C@@H](O[C@H]1OCCN(Cc2nc(O)n[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	aprepitant	5‐{[(2S,3S)‐3‐(4‐fluorophenyl)‐2‐hydroxymorpholin‐4‐yl]methyl}‐2,4‐dihydro‐1,2,4‐triazol‐3‐one	Oc1n[nH]c(CN2CCO[C@H](O)[C@@H]2c2ccc(F)cc2)n1	train
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	Flavopiridol		CN1CC[C@H](c2c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	train
CN(C)c1ccc([C@H]2C[C@]3(C)[C@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1	onapristone		CNc1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1	train
C[C@H](C(=O)O)c1ccc2cc(O)ccc2c1	O-Desmethylnaproxen		C[C@H](C(=O)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc2cc(O)ccc2c1	train
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	Lumiracoxib	Lumiracoxib O-glucuronide	Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1	train
CC1=CC[C@@H]2[C@H](C1)C2(C)C	(+)-3-carene	3-Caren-10-ol	CC1(C)[C@@H]2CC=C(CO)C[C@@H]21	train
COc1ccc2nc3ccc(=O)cc-3oc2c1	7-Methoxyresorufin	Resorufin	O=c1ccc2nc3ccc(O)cc3oc-2c1	train
Cc1ccnc2c1N=C(O)c1cc(O)cnc1N2C1CC1	8-Hydroxynevirapine	8-Hydroxynevirapine O-glucuronide	Cc1ccnc2c1N=C(O)c1cc(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cnc1N2C1CC1	train
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	bromocriptine		CC(C)CC1C(=O)N2CC(O)CC2C2(O)OC(N=C(O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	train
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@H]3O[C@H]5CO[C@@H](C)O[C@@H]5[C@@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O	etoposide	Etoposide Catechol	COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O	train
CN1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	(s)-azelastine	(s)-azelastine, N-desmethyl	O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1[C@H]1CCCNCC1	train
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@H](N=C(C)O)CC2	(R)-colchicine	2-demethyicolchicine	COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2	train
Cc1c(F)c(N)c2c(=O)cc(-c3ccc(NO)c(F)c3)oc2c1F	Aminoflavone, N4'-Hydroxyl	Aminoflavone, N4', N5-dihydroxy	Cc1c(F)c(NO)c2c(=O)cc(-c3ccc(NO)c(F)c3)oc2c1F	train
Oc1ccccc1-c1ccccc1	2-phenylphenol	2,5-dihydroxybiphenyl	Oc1ccc(O)c(-c2ccccc2)c1	train
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	quinine		C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	train
Cc1ccccc1	toluene	p-Cresol	Cc1ccc(O)cc1	train
