parent_id,parent_name,child_id,child_name,enzymes,origin
DB00624,Testosterone,DBMET00392,6-beta-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET00491,Estradiol,Aromatase,DB01420
DB01536,Androstenedione,DBMET00490,Estrone,Aromatase,DB01420
DB01536,Androstenedione,DBMET02830,5-alpha androstanedione,,DB01420
DB00627,Niacin,DBMET02629,Niacinamide,,DB12911
DB00627,Niacin,DBMET02630,Nicotinuric Acid,,DB12911
DB00627,Niacin,DBMET02631,Niacinamide N-oxide,,DB12911
DB00627,Niacin,DBMET02632,Trigonelline,,DB12911
DB00627,Niacin,DBMET02633,N1-methyl-4-pyridone-5-carboxamide,,DB12911
DB00627,Niacin,DBMET02634,N1-methyl-2-pyridone-5-carboxamide,,DB12911
DB14028,Nordazepam,DBMET00246,Oxazepam,,DB00628
DB14028,Nordazepam,DBMET00980,p-Hydroxynordiazepam,,DB00628
DB00635,Prednisone,DBMET02859,"17α,21-dihydroxy-pregnan-1,4,6-trien-3,11,30-trione (M-XVII)",,DB15566
DB00635,Prednisone,DBMET02860,20α-dihydro-prednisone (M-V),,DB15566
DB00635,Prednisone,DBMET02861,20β-dihydro-prednisone (M-IV),,DB15566
DB00635,Prednisone,DBMET00627,Prednisolone,Cytochrome P450 3A4,DB15566
DB00635,Prednisone,DBMET02863,6α-hydroxy-prednisone (M-XIII),,DB15566
DB00635,Prednisone,DBMET02864,6βhydroxy-prednisone (M-XII),,DB15566
DB00654,Latanoprost,DBMET02771,Latanoprost acid,Corneal esterases,DB11660
DB01024,Mycophenolic acid,DBMET02606,6-O-desmethyl-MPA (DM-MPA),"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 2C8",DB00688
DB01024,Mycophenolic acid,DBMET02610,7-O-MPA glucoside,UDP-glucuronosyltransferase 1A9,DB00688
DB14681,Cortisone,DBMET02902,Tetrahydrocortisone,,DB00741
DB14681,Cortisone,DBMET02903,Dihydrocortisol,,DB00741
DB00982,Isotretinoin,DBMET03635,13-cis-4-Oxoretinoic acid,,DB00755
DB00982,Isotretinoin,DBMET03636,13-cis-Retinoyl-beta-glucuronide,UDP-glucuronosyltransferase 2B7,DB00755
DB00523,Alitretinoin,DBMET03638,9-cis-4-Oxoretinoic acid,,DB00755
DB09269,Phenylacetic acid,DBMET01954,4-hydroxyphenylacetic acid,,DB00332
DB09269,Phenylacetic acid,DBMET01954,4-hydroxyphenylacetic acid,,DB00332
DB00783,Estradiol,DBMET00567,Estradiol-17beta 3-sulfate,UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00568,2-Methoxyestrone 3-glucuronide,UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00332,4-hydroxyestrone,"Cytochrome P450 1B1, Cytochrome P450 3A5",DB13952
DB00783,Estradiol,DBMET00572,17-beta-Estradiol-3-glucuronide,UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00576,2-methoxy-17beta-estradiol 3-O-(beta-D-glucuronide),,DB13952
DB00783,Estradiol,DBMET00581,17-beta-Estradiol glucuronide,,DB13952
DB00783,Estradiol,DBMET00583,17-alpha-Estradiol-3-glucuronide,UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00600,Estradiol-17alpha 3-D-glucuronoside,UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00606,17-beta-estradiol 3-sulfate-17-(beta-D-glucuronide),UDP-glucuronosyltransferases (UGTs),DB13952
DB00783,Estradiol,DBMET00248,2-hydroxyestrone,"Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 1A1",DB13952
DB00783,Estradiol,DBMET01658,4-Hydroxyestradiol,Cytochrome P450 1B1,DB13952
DB00783,Estradiol,DBMET00642,"17-Beta-Estradiol-3,17-beta-sulfate",,DB13952
DB00783,Estradiol,DBMET00490,Estrone,17-beta-hydroxysteroid dehydrogenase type 1,DB13952
DB00783,Estradiol,DBMET00248,,"Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 1A1",DB13952
DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),Arylamine N-acetyltransferase 1,DB00795
DB00891,Sulfapyridine,DBMET03572,N4-acetylsulfapyridine,,DB00795
DB00891,Sulfapyridine,DBMET03575,5'-hydroxysulfapyridine,,DB00795
DB13919,Candesartan,DBMET00005,O-Deethylated candesartan,Cytochrome P450 2C9,DB00796
DB13919,Candesartan,DBMET00006,Candesartan N2-glucuronide,UDP-glucuronosyltransferase 1A3,DB00796
DB13919,Candesartan,DBMET00007,Candesartan O-glucuronide,Prostaglandin G/H synthase 1,DB00796
DB00806,Pentoxifylline,DBMET03229,(S)-M1,,DB00806
DB00806,Pentoxifylline,DBMET03232,"M4, Pentoxifylline C-5 carboxylic acid",,DB00806
