parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set
DB00472	Fluoxetine		Fluoxetine glucuronide	UDP-glucuronosyltransferases (UGTs)	DB00472	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O	Both	0.4915254237288136	train
DB00542	Benazepril	DB14125	Benazeprilat		DB00542	CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O	O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21	DrugBank	0.8	train
DB00557	Hydroxyzine	DB00341	Cetirizine	Cytochrome P450 3A4, Cytochrome P450 3A5	DB00557	OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	DrugBank	0.7446808510638298	train
DB00599	Thiopental	DB00312	Pentobarbital		DB00599	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	DrugBank	0.7333333333333333	train
DB00624	Testosterone	DB01536	Androstenedione	Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 3A4	DB01420	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O	Both	0.6590909090909091	train
DB00637	Astemizole	DB06457	Tecastemizole	Cytochrome P450 3A4	DB00637	COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1	DrugBank	0.6333333333333333	train
DB00688	Mycophenolate mofetil	DB01024	Mycophenolic acid	Liver carboxylesterase 1, Carboxylic ester hydrolase	DB00688	COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2	COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2	DrugBank	0.65625	train
DB00741	Hydrocortisone	DB14681	Cortisone	11-beta-hydroxysteroid dehydrogenase 1, 11-beta-hydroxysteroid dehydrogenase type 2	DB00741	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.6896551724137931	train
DB00780	Phenelzine	DB09269	Phenylacetic acid		DB00780	NNCCc1ccccc1	O=C(O)Cc1ccccc1	DrugBank	0.3333333333333333	train
DB00780	Phenelzine	DB04325	Phenethylamine		DB00780	NNCCc1ccccc1	NCCc1ccccc1	DrugBank	0.5217391304347826	train
DB04325	Phenethylamine	DB09269	Phenylacetic acid		DB00780	NCCc1ccccc1	O=C(O)Cc1ccccc1	DrugBank	0.375	train
DB00795	Sulfasalazine	DB00244	Mesalazine		DB00795	O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	Nc1ccc(O)c(C(=O)O)c1	DrugBank	0.3137254901960784	train
DB00795	Sulfasalazine	DB00891	Sulfapyridine		DB00795	O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	DrugBank	0.5	train
DB00796	Candesartan cilexetil	DB13919	Candesartan		DB00796	CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	DrugBank	0.6708860759493671	train
DB00806	Pentoxifylline	DB12406	Lisofylline		DB12406	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	DrugBank	0.6818181818181818	train
DB00829	Diazepam	DB14028	Nordazepam	Cytochrome P450 2C9, Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 3A5, Cytochrome P450 3A4	DB00829	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	DrugBank	0.5416666666666666	train
DB00829	Diazepam	DB00231	Temazepam	Prostaglandin G/H synthase 1, Cytochrome P450 2C19	DB00829	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	Both	0.5918367346938775	train
DB00860	Prednisolone	DB00635	Prednisone		DB15566	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.6896551724137931	train
DB00907	Cocaine	DB01515	Benzoylecgonine		DB00907	COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C	CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2	DrugBank	0.8	train
DB00956	Hydrocodone	DB00327	Hydromorphone	Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19	DB15465	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	Both	0.7777777777777778	train
DB01020	Isosorbide mononitrate	DB09401	Isosorbide		DB01020	O=[N+]([O-])OC1COC2C(O)COC12	OC1COC2C(O)COC12	DrugBank	0.5	train
DB01022	Phylloquinone	DB12148	Menatetrenone	UbiA prenyltransferase domain-containing protein 1	DB01022	CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O	DrugBank	0.6122448979591837	train
DB01039	Fenofibrate	DB13873	Fenofibric acid	Liver carboxylesterase 1	DB01039	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O	DrugBank	0.6666666666666666	train
DB01086	Benzocaine	DB02362	Aminobenzoic acid		DB01086	CCOC(=O)c1ccc(N)cc1	Nc1ccc(C(=O)O)cc1	DrugBank	0.4814814814814814	train
DB01149	Nefazodone	DB12110	m-Chlorophenylpiperazine	Cytochrome P450 3A4	DB01149	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	Clc1cccc(N2CCNCC2)c1	Both	0.3387096774193548	train
DB01235	Levodopa	DB00988	Dopamine	Aromatic-L-amino-acid decarboxylase	DB01235	NC(Cc1ccc(O)c(O)c1)C(=O)O	NCCc1ccc(O)c(O)c1	DrugBank	0.4545454545454545	train
DB01250	Olsalazine	DB00244	Mesalazine		DB01250	O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O	Nc1ccc(O)c(C(=O)O)c1	DrugBank	0.5517241379310345	train
DB01255	Lisdexamfetamine	DB01576	Dextroamphetamine		DB01255	CC(Cc1ccccc1)NC(=O)C(N)CCCCN	CC(N)Cc1ccccc1	DrugBank	0.4	train
DB01255	Lisdexamfetamine	DB00123	Lysine		DB01255	CC(Cc1ccccc1)NC(=O)C(N)CCCCN	NCCCCC(N)C(=O)O	DrugBank	0.425	train
DB01394	Colchicine	DB15534	Colchiceine		DB01394	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2	Both	0.8490566037735849	train
DB01408	Bambuterol	DB00871	Terbutaline	Cholinesterase	DB01408	CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1	CC(C)(C)NCC(O)c1cc(O)cc(O)c1	DrugBank	0.5121951219512195	train
DB01420	Testosterone propionate	DB00624	Testosterone		DB01420	CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.6415094339622641	train
DB01435		DB12243	Edaravone	Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 1A2	DB01435	Cc1cc(=O)n(-c2ccccc2)n1C	CC1=NN(c2ccccc2)C(=O)C1	DrugBank	0.3421052631578947	train
DB01577	Metamfetamine	DB01576	Dextroamphetamine	Cytochrome P450 2D6	DB01577	CNC(C)Cc1ccccc1	CC(N)Cc1ccccc1	Both	0.5384615384615384	train
DB01744	Camphor	DB02817	5-Exo-Hydroxycamphor	Cytochrome P450 2D6	DB01744	CC12CCC(CC1=O)C2(C)C	CC12CC(O)C(CC1=O)C2(C)C	Both	0.40625	train
DB03017	Lauric acid	DB03704	12-Hydroxydodecanoic Acid	Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2B6	DB14185	CCCCCCCCCCCC(=O)O	O=C(O)CCCCCCCCCCCO	Both	0.5714285714285714	train
DB03783	Phenacetin	DB00316	Acetaminophen	Cytochrome P450 1A2	DB03783	CCOc1ccc(NC(C)=O)cc1	CC(=O)Nc1ccc(O)cc1	Both	0.5172413793103449	train
DB04575	Quinestrol	DB00977	Ethinylestradiol		DB04575	C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	DrugBank	0.7090909090909091	train
DB06154	Pentaerythritol tetranitrate	DB13526	Pentaerithrityl	Pentaerythritol tetranitrate reductase	DB06154	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	OCC(CO)(CO)CO	DrugBank	0.2	train
DB06756	Betaine	DB02083	N,N-dimethylglycine	Betaine--homocysteine S-methyltransferase 1	DB06756	C[N+](C)(C)CC(=O)[O-]	CN(C)CC(=O)O	DrugBank	0.2083333333333333	train
DB07565	Chloramphenicol succinate	DB00446	Chloramphenicol		DB07565	O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	DrugBank	0.64	train
DB08544	(S)-Fluoxetine	DB06731	Seproxetine	Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5	DB08544	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	Both	0.7	train
DB08804	Nandrolone decanoate	DB13169	Nandrolone	3',5'-cyclic-AMP phosphodiesterase 7B	DB08804	CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O	DrugBank	0.603448275862069	train
DB08908	Dimethyl fumarate	DB14219	Monomethyl fumarate		DB08908	COC(=O)C=CC(=O)OC	COC(=O)C=CC(=O)O	DrugBank	0.7647058823529411	train
DB09042	Tedizolid phosphate	DB14569	Tedizolid		DB09042	Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1	Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1	DrugBank	0.7941176470588235	train
DB09194	Etoperidone	DB12110	m-Chlorophenylpiperazine		DB09194	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	Clc1cccc(N2CCNCC2)c1	Both	0.3962264150943396	train
DB09209	Pholcodine	DB00295	Morphine		DB09209	CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	DrugBank	0.6721311475409836	train
DB09282	Molsidomine	DB13400	Linsidomine	cGMP-specific 3',5'-cyclic phosphodiesterase	DB09282	CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1	[NH-]c1c[n+](N2CCOCC2)no1	DrugBank	0.4565217391304347	train
DB09288	Propacetamol	DB00316	Acetaminophen	Cholinesterase	DB09288	CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1	CC(=O)Nc1ccc(O)cc1	DrugBank	0.4166666666666667	train
DB09357	Dexpanthenol	DB01783	Pantothenic acid		DB09357	CC(C)(CO)C(O)C(=O)NCCCO	CC(C)(CO)C(O)C(=O)NCCC(=O)O	DrugBank	0.6451612903225806	train
DB09419	Xylose	DB11195	Xylitol		DB09301	O=CC(O)C(O)C(O)CO	OCC(O)C(O)C(O)CO	DrugBank	0.5263157894736842	train
DB11195	Xylitol	DB03947	D-Xylulose		DB09419	OCC(O)C(O)C(O)CO	O=C(CO)C(O)C(O)CO	DrugBank	0.4	train
DB09494	Cetyl alcohol	DB03796	Palmitic Acid	Aldo-keto reductase family 1 member A1	DB09494	CCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCC(=O)O	DrugBank	0.4285714285714285	train
DB11217	Arbutin	DB09526	Hydroquinone		DB11217	OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O	Oc1ccc(O)cc1	DrugBank	0.2580645161290322	train
DB13854	Gamolenic acid	DB00154	Dihomo-gamma-linolenic acid	Very long chain fatty acid elongase 5, Very long chain fatty acid elongase 4	DB11358	CCCCCC=CCC=CCC=CCCCCC(=O)O	CCCCCC=CCC=CCC=CCCCCCCC(=O)O	DrugBank	0.9615384615384616	train
DB00154	Dihomo-gamma-linolenic acid	DB04557	Arachidonic Acid	Acyl-CoA 6-desaturase	DB13854	CCCCCC=CCC=CCC=CCCCCCCC(=O)O	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	DrugBank	0.8888888888888888	train
DB11660	Latanoprostene bunod	DB00654	Latanoprost	Carboxylesterase	DB11660	O=C(CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1)OCCCCO[N+](=O)[O-]	CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1	DrugBank	0.6911764705882353	train
DB12406	Lisofylline	DB00806	Pentoxifylline	Cytochrome P450 1A2	DB00806	CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	Both	0.6818181818181818	train
DB12532	Oxetacaine	DB01365	Mephentermine		DB12532	CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1	CNC(C)(C)Cc1ccccc1	DrugBank	0.3333333333333333	train
DB12532	Oxetacaine	DB00191	Phentermine		DB12532	CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1	CC(C)(N)Cc1ccccc1	DrugBank	0.35	train
DB12911	Nicoboxil	DB00627	Niacin	Albumin	DB12911	CCCCOCCOC(=O)c1cccnc1	O=C(O)c1cccnc1	DrugBank	0.425	train
DB12941	Darolutamide	DB15647	Ketodarolutamide	Cytochrome P450 3A4, UDP-glucuronosyltransferase 1A9	DB12941	CC(Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc(C(C)O)[nH]n1	CC(=O)c1cc(C(=O)NC(C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1	DrugBank	0.7878787878787878	train
DB13813	Iodoform	DB05382	Iodine		DB13813	IC(I)I	II	DrugBank	0.2	train
DB04557	Arachidonic Acid	DB00917	Dinoprostone	Prostaglandin G/H synthase 1, Prostaglandin G/H synthase 2, Phospholipase A2, membrane associated	DB00154	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O	DrugBank	0.4230769230769231	train
DB13882	Methyl nicotinate	DB00627	Niacin		DB13882	COC(=O)c1cccnc1	O=C(O)c1cccnc1	DrugBank	0.5862068965517241	train
DB13943	Testosterone cypionate	DB00624	Testosterone		DB13943	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.576271186440678	train
DB13944	Testosterone enanthate	DB00624	Testosterone		DB13944	CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.603448275862069	train
DB13946	Testosterone undecanoate	DB00624	Testosterone		DB13946	CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.603448275862069	train
DB13953	Estradiol benzoate	DB00783	Estradiol		DB13953	CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.6363636363636364	train
DB13954	Estradiol cypionate	DB00783	Estradiol		DB13954	CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.5666666666666667	train
DB13956	Estradiol valerate	DB00783	Estradiol		DB13956	CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.6140350877192983	train
DB14104	Linoleic acid	DB04557	Arachidonic Acid		DB13959	CCCCCC=CCC=CCCCCCCCC(=O)O	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	DrugBank	0.8888888888888888	train
DB13966	Isopropyl myristate	DB08231	Myristic acid	Carboxylesterase	DB13966	CCCCCCCCCCCCCC(=O)OC(C)C	CCCCCCCCCCCCCC(=O)O	DrugBank	0.4814814814814814	train
DB13997	Baloxavir marboxil	DB15675	Baloxavir		DB13997	COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O	O=C1c2c(O)c(=O)ccn2N(C2c3ccccc3SCc3c2ccc(F)c3F)C2COCCN12	DrugBank	0.7160493827160493	train
DB14669	Betamethasone phosphate	DB00443	Betamethasone		DB14669	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	DrugBank	0.7692307692307693	train
DB14733	Ceftobiprole medocaril	DB04918	Ceftobiprole		DB14733	Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1	Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1	DrugBank	0.6979166666666666	train
DB14783	Diroximel fumarate	DB14219	Monomethyl fumarate	Liver esterases	DB14783	COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O	COC(=O)C=CC(=O)O	DrugBank	0.4117647058823529	train
DB14219	Monomethyl fumarate	DB01677	Fumaric acid		DB08908	COC(=O)C=CC(=O)O	O=C(O)C=CC(=O)O	DrugBank	0.5294117647058824	train
DB15465	Benzhydrocodone	DB00956	Hydrocodone		DB15465	COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	DrugBank	0.5882352941176471	train
DB15566	Prednisolone acetate	DB00860	Prednisolone		DB15566	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.7758620689655172	train
DB15661	Molnupiravir	DB15660	N4-Hydroxycytidine		DB15661	CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O	O=c1nc(NO)ccn1C1OC(CO)C(O)C1O	DrugBank	0.3333333333333333	train
DB16627	Melphalan flufenamide	DB01042	Melphalan	Aminopeptidase N	DB16627	CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1	NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	DrugBank	0.5283018867924528	train
DB16629	Serdexmethylphenidate	DB06701	Dexmethylphenidate		DB16629	COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1	COC(=O)C(c1ccccc1)C1CCCCN1	DrugBank	0.3648648648648648	train
DB16956	L-Acetylleucine	DB00149	Leucine		DB16956	CC(=O)NC(CC(C)C)C(=O)O	CC(C)CC(N)C(=O)O	DrugBank	0.4285714285714285	train
DB00136	Calcitriol	DBMET00575	Calcitroic acid		DB00169	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O	DrugBank	0.703125	train
DB00116	Tetrahydrofolic acid	DBMET02316	5,10-methylene tetrahydrofolate (THF)	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	DB00158	Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2	N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21	DrugBank	0.4578313253012048	train
DB00163	Vitamin E	DBMET02310	13'-hydroxy-alpha-tocopherol	Cytochrome P450 3A4, Cytochrome P450 4F2	DB11635	Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2	Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)CO)O2	DrugBank	0.8444444444444444	train
DB00191	Phentermine	DBMET02227	p-hydroxyphentermine		DB12532	CC(C)(N)Cc1ccccc1	CC(C)(N)Cc1ccc(O)cc1	DrugBank	0.6	train
DB00191	Phentermine	DBMET02228	N-hydroxyphentermine		DB12532	CC(C)(N)Cc1ccccc1	CC(C)(Cc1ccccc1)NO	DrugBank	0.5185185185185185	train
DB00277	Theophylline	DBMET00271	1-Methylxanthine	Cytochrome P450 1A2	DB00201	Cn1c(=O)c2[nH]cnc2n(C)c1=O	Cn1c(=O)[nH]c2nc[nH]c2c1=O	DrugBank	0.5142857142857142	train
DB00231	Temazepam	DBMET00650	Oxazepam glucuronide		DB00829	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O	DrugBank	0.3623188405797101	train
DB00244	Mesalazine	DBMET00924	N-acetyl-5-ASA (Ac-5-ASA)	Arylamine N-acetyltransferase 1	DB00795	Nc1ccc(O)c(C(=O)O)c1	CC(=O)Nc1ccc(O)c(C(=O)O)c1	Both	0.5	train
DB00277	Theophylline	DBMET00272	3-methylxanthine	Cytochrome P450 1A2	DB00201	Cn1c(=O)c2[nH]cnc2n(C)c1=O	Cn1c(=O)[nH]c(=O)c2[nH]cnc21	DrugBank	0.5588235294117647	train
DB00277	Theophylline	DBMET00326	1,3-dimethyluric acid	Cytochrome P450 2E1	DB00201	Cn1c(=O)c2[nH]cnc2n(C)c1=O	Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O	DrugBank	0.4	train
DB00279	Liothyronine	DBMET02273	Diiodothyronine		DB00451	NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O	DrugBank	0.7674418604651163	train
DB00279	Liothyronine	DBMET02274	Monoiodothyronine		DB00451	NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O	DrugBank	0.56	train
