parent_name	child_name	reactants	products	origin	source	set	possible_products
Desogestrel	3-alpha-OH-desogestrel	C1CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1	C1(O)CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1	DB00304	Both	train	C1(O)CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1
Danazol	17-hydroxymethylethisterone	C1C2C3CCC(C#C)(O)C3(C)CCC2C2(C)C(=Cc3c(cno3)C2)C1	C1C2C3CCC(C#C)(O)C3(C)CCC2C2(C)C(=CC(=O)C(CO)C2)C1	DB01406	DrugBank	train	C1C2C3CCC(C#C)(O)C3(C)CCC2C2(C)C(=CC(=O)C(CO)C2)C1
5α-dihydronorethisterone	3α,5α-tetrahydronorethisterone	C1C2(C)C(C#C)(O)CCC2C2C(C1)C1C(CC2)CC(=O)CC1	C1C2(C)C(C#C)(O)CCC2C2C(C1)C1C(CC2)CC(O)CC1	DB00717	DrugBank	train	C1C2(C)C(C#C)(O)CCC2C2C(C1)C1C(CC2)CC(O)CC1
Quinestrol	Ethinylestradiol	c1c2c(cc(OC3CCCC3)c1)CCC1C3CCC(C#C)(O)C3(C)CCC12	c1c2c(cc(O)c1)CCC1C3CCC(C#C)(O)C3(C)CCC12	DB04575	DrugBank	train	c1c2c(cc(O)c1)CCC1C3CCC(C#C)(O)C3(C)CCC12
Norgestimate	17-desacetylnorgestimate	C1(C#C)(OC(C)=O)CCC2C1(CC)CCC1C2CCC2=CC(=NO)CCC12	C1(C#C)(O)CCC2C1(CC)CCC1C2CCC2=CC(=NO)CCC12	DB00957	DrugBank	train	C1(C#C)(O)CCC2C1(CC)CCC1C2CCC2=CC(=NO)CCC12
Erlotinib M16		c1(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc(C#C)c(O)cc1	c1(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc(C#C)c(OS(=O)(=O)O)cc1	Erlotinib M16	MetXBioDB	train	c1(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc(C#C)c(OS(=O)(=O)O)cc1
Erlotinib M14		OCCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1	O(CCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)C1OC(C(=O)O)C(O)C(O)C1O	Erlotinib M14	MetXBioDB	train	O(CCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)C1OC(C(=O)O)C(O)C(O)C1O
Erlotinib M18		c1c2c(Nc3cccc(C#C)c3)ncnc2cc(OCCOC)c1O	c1c2c(Nc3cccc(C#C)c3)ncnc2cc(OCCOC)c1OC1OC(C(=O)O)C(O)C(O)C1O	Erlotinib M18	MetXBioDB	train	c1c2c(Nc3cccc(C#C)c3)ncnc2cc(OCCOC)c1OC1OC(C(=O)O)C(O)C(O)C1O
Erlotinib	2-(4-(3-Ethynylanilino)-6-(2-methoxyethoxy)quinazolin-7-yl)oxyethanol	COCCOc1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCOC	COCCOc1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCO	DB00530	Both	train	COCCOc1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCO
Cinnarizine	1-Cinnamylpiperazine	C1CN(CC=Cc2ccccc2)CCN1C(c1ccccc1)c1ccccc1	C1CN(CC=Cc2ccccc2)CCN1	DB00568	Both	train	C1CN(CC=Cc2ccccc2)CCN1
B[a]P 7,8-epoxide		c1c2c3c(c4c(c2)C2C(C=C4)O2)ccc2c3c(c1)ccc2	c1c2c3c(c4c(c2)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C4)ccc2c3c(c1)ccc2	B[a]P 7,8-epoxide	MetXBioDB	train	c1c2c3c(c4c(c2)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C4)ccc2c3c(c1)ccc2
VCH-1,2-epoxide	VCH-diepoxide	C1C(C2CC=CCC2)O1	C1C(C2CCC3C(C2)O3)O1	4-VINYLCYCLOHEXENE	MetXBioDB	train	C1C(C2CCC3C(C2)O3)O1
Pacritinib	Pacritinib M4 metabolite	C1OCC=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc1c(OCCN1CCCC1)cc2	C1OCCCCOCc2cccc(c2)-c2ccnc(n2)Nc2cc1c(OCCN1CCCC1)cc2	DB11697	DrugBank	train	C1OCCCCOCc2cccc(c2)-c2ccnc(n2)Nc2cc1c(OCCN1CCCC1)cc2
Perhexiline	cis-Hydroxy Perhexiline	C1CCCC(C(C2CCCCC2)CC2CCCCN2)C1	C1CCCC(C(C2CCC(O)CC2)CC2CCCCN2)C1	DB01074	Both	train	C1CCCC(C(C2CCC(O)CC2)CC2CCCCN2)C1
sparteine		C1C2C3N(CCCC3)CC1C1N(C2)CCCC1	C1C2C3N(CCCC3O)CC1C1N(C2)CCCC1	sparteine	MetXBioDB	train	C1C2C3N(CCCC3O)CC1C1N(C2)CCCC1
brostallicin	glutathionyl-brostallicin	c1(NC(c2cc(NC(c3cc(NC(C(Br)=C)=O)cn3C)=O)cn2C)=O)cc(C(=O)Nc2cc(C(=O)NCCNC(=N)N)n(C)c2)n(C)c1	c1(NC(c2cc(NC(c3cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn3C)=O)cn2C)=O)cc(C(=O)Nc2cc(C(=O)NCCNC(=N)N)n(C)c2)n(C)c1	brostallicin	MetXBioDB	train	c1(NC(c2cc(NC(c3cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn3C)=O)cn2C)=O)cc(C(=O)Nc2cc(C(=O)NCCNC(=N)N)n(C)c2)n(C)c1
	6'-Hydroxy-O-desmethylangolensin	C(C(=O)c1c(O)cc(O)cc1O)(c1ccc(O)cc1)=C	C(C(=O)c1c(O)cc(O)cc1O)(c1ccc(O)cc1)C	Genistein	MetXBioDB	train	C(C(=O)c1c(O)cc(O)cc1O)(c1ccc(O)cc1)C
(-)-limonene	Perillyl alcohol	C(=C)(C)C1CC=C(C)CC1	C(=C)(C)C1CC=C(CO)CC1	(-)-limonene	MetXBioDB	train	C(=C)(C)C1CC=C(CO)CC1
zinc8660420		c1(OC)cc2c(cc1OC)OCC1Oc3c4c(ccc3C(=O)C12)OC(C(C)=C)C4	c1(OC)cc2c(cc1OC)OCC1Oc3c4c(ccc3C(=O)C12O)OC(C1(C)CO1)C4	zinc8660420	MetXBioDB	train	c1(OC)cc2c(cc1OC)OCC1Oc3c4c(ccc3C(=O)C12O)OC(C1(C)CO1)C4
Calcitriol	Calcitroic acid	C(CC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)CC(C)(C)O	C(CC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)(=O)O	DB00169	DrugBank	train	C(CC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)(=O)O
diclofenac o-imine methine	2-(2,6-dichlorophenylamino)-benzyl-S-thioether glutathione	C1=CC=CC(=C)C1=Nc1c(Cl)cccc1Cl	C1=CC=CC(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C1=Nc1c(Cl)cccc1Cl	DB00586	DrugBank	train	C1=CC=CC(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C1=Nc1c(Cl)cccc1Cl
riddelliine		C12OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OCC3=CCN(CC1)C23	C12OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OCC3=CCN(CC1)C23O	riddelliine	MetXBioDB	train	C12OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OCC3=CCN(CC1)C23O
Segesterone acetate	17α-deacetylsegesterone acetate	C12=CC(=O)CCC1C1CCC3(C)C(CC(=C)C3(OC(C)=O)C(C)=O)C1CC2	C12=CC(=O)CCC1C1CCC3(C)C(CC(=C)C3O)C1CC2	DB14583	DrugBank	train	C12=CC(=O)CCC1C1CCC3(C)C(CC(=C)C3O)C1CC2
25-hydroxyvitamin D	Calcitrol	C1CCC(=CC=C2C(=C)CCC(O)C2)C2C1(C)C(C(C)C=CC(C)C(C)(C)O)CC2	C1CCC(=CC=C2C(=C)C(O)CC(O)C2)C2C1(C)C(C(C)C=CC(C)C(C)(C)O)CC2	DB00153	DrugBank	train	C1CCC(=CC=C2C(=C)C(O)CC(O)C2)C2C1(C)C(C(C)C=CC(C)C(C)(C)O)CC2
vitamin_d2		C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1)C)C)(C)C	C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1)C)(C)O)(C)C	vitamin_d2	MetXBioDB	train	C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1)C)(C)O)(C)C
Vitamin D2		C1(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)C(=C)CCC(O)C1	C1(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)C(=C)CCC(OC2OC(C(=O)O)C(O)C(O)C2O)C1	Vitamin D2	MetXBioDB	train	C1(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)C(=C)CCC(OC2OC(C(=O)O)C(O)C(O)C2O)C1
Calcifediol	Calcitriol	C1(=CC=C2C(=C)CCC(O)C2)CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	C1(=CC=C2C(=C)C(O)CC(O)C2)CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	DB00169	DrugBank	train	C1(=CC=C2C(=C)C(O)CC(O)C2)CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
Cholecalciferol	(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)	C1(C(C)CCCC(C)C)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1	C1(C(C)CC(C(C(C)(C)O)=O)OC2OC(C(=O)O)C(O)C(O)C2O)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1	DB00169	DrugBank	train	C1(C(C)CC(C(C(C)(C)O)=O)OC2OC(C(=O)O)C(O)C(O)C2O)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1
Nornalmefene	Nornalmefene 3-O-sulfate	c12c3c(ccc1O)CC1C4(O)CCC(=C)C(C43CCN1)O2	c12c3c(ccc1OS(=O)(=O)O)CC1C4(O)CCC(=C)C(C43CCN1)O2	DB06230	DrugBank	train	c12c3c(ccc1OS(=O)(=O)O)CC1C4(O)CCC(=C)C(C43CCN1)O2
Nalmefene	Nalmefene 3-O-sulfate	c1c2c3c(c(O)c1)OC1C(=C)CCC4(O)C13CCN(CC1CC1)C4C2	c1c2c3c(c(OS(=O)(=O)O)c1)OC1C(=C)CCC4(O)C13CCN(CC1CC1)C4C2	DB06230	DrugBank	train	c1c2c3c(c(OS(=O)(=O)O)c1)OC1C(=C)CCC4(O)C13CCN(CC1CC1)C4C2
PCI-45752 (M34)	M24	c1nc2n(C(CNC(C=C)=O)CCCO)nc(-c3ccc(Oc4ccccc4)cc3)c2c(N)n1	c1nc2n(C(CNC(C(O)O)=O)CCCO)nc(-c3ccc(Oc4ccccc4)cc3)c2c(N)n1	DB09053	DrugBank	train	c1nc2n(C(CNC(C(O)O)=O)CCCO)nc(-c3ccc(Oc4ccccc4)cc3)c2c(N)n1
Bilirubin	(2S,3S,4S,5R,6S)Ã¢â‚¬Â6Ã¢â‚¬Â{[3Ã¢â‚¬Â(2Ã¢â‚¬Â{[3Ã¢â‚¬Â(2Ã¢â‚¬Âcarboxyethyl)Ã¢â‚¬Â5Ã¢â‚¬Â{[(2Z)Ã¢â‚¬Â4Ã¢â‚¬ÂethenylÃ¢â‚¬Â3Ã¢â‚¬ÂmethylÃ¢â‚¬Â5Ã¢â‚¬ÂoxoÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âylidene]methyl}Ã¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âyl]methyl}Ã¢â‚¬Â5Ã¢â‚¬Â{[(2Z)Ã¢â‚¬Â3Ã¢â‚¬ÂethenylÃ¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â5Ã¢â‚¬ÂoxoÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âylidene]methyl}Ã¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â3Ã¢â‚¬Âyl)propanoyl]oxy}Ã¢â‚¬Â3,4,5Ã¢â‚¬ÂtrihydroxyoxaneÃ¢â‚¬Â2Ã¢â‚¬Âcarboxylic acid	C(Cc1c(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)O)nc(C=C2N=C(O)C(C=C)=C2C)c1C)C(=O)O	C(Cc1c(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)O)nc(C=C2N=C(O)C(C=C)=C2C)c1C)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O	Bilirubin	MetXBioDB	train	C(Cc1c(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)O)nc(C=C2N=C(O)C(C=C)=C2C)c1C)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O
BMS-798430	BMS-558364	C1(Oc2ncc(O)c3ccc(Cl)cc23)CC(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C1	C1(O)CC(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C1	DB11586	DrugBank	train	C1(O)CC(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C1
Asunaprevir	Asunaprevir M2	C(OC(NC(C(N1C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)C(C)(C)C)=O)(C)(C)C	C(OC(NC(C(N1C(C(N)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)C(C)(C)C)=O)(C)(C)C	DB11586	DrugBank	train	C(OC(NC(C(N1C(C(N)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)C(C)(C)C)=O)(C)(C)C
cyclohexene, 4-ethenyl-, (s)-		C1=CCCC(C=C)C1	C1CC(C=C)CC2C1O2	cyclohexene, 4-ethenyl-, (s)-	MetXBioDB	train	C1CC(C=C)CC2C1O2
VCH-7,8-epoxide	VCH-diepoxide	C12CCC(C=C)CC1O2	C12CCC(C3CO3)CC1O2	4-VINYLCYCLOHEXENE	MetXBioDB	train	C12CCC(C3CO3)CC1O2
Quinidine	Quinidine-N-oxide	c1c2c(C(C3N4CC(C=C)C(CC4)C3)O)ccnc2ccc1OC	c1c2c(C(C3N4(O)CC(C=C)C(CC4)C3)O)ccnc2ccc1OC	DB00908	Both	train	c1c2c(C(C3N4(O)CC(C=C)C(CC4)C3)O)ccnc2ccc1OC
2,4-diene-VPA		C(=C)C=C(CCC)C(=O)O	C(=C)C=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O	2,4-diene-VPA	MetXBioDB	train	C(=C)C=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O
4-ene-Valproic acid	2,4-Diene-VPA	OC(C(CCC)CC=C)=O	OC(C(CCC)=CC=C)=O	DB00313	DrugBank	train	OC(C(CCC)=CC=C)=O
Butalbital	5-allyl-5-(3-hydroxy-2-methyl-1-propyl) barbituric acid	O=C1NC(=O)C(CC=C)(CC(C)C)C(=O)N1	O=C1NC(=O)C(CC=C)(CC(C)CO)C(=O)N1	DB00241	DrugBank	train	O=C1NC(=O)C(CC=C)(CC(C)CO)C(=O)N1
Cabergoline	6-allyl-8b-carboxy-ergoline	c1c2ncc3c2c(cc1)C1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CN(CC=C)C1C3	c1c2ncc3c2c(cc1)C1CC(C(=O)O)CN(CC=C)C1C3	DB00248	DrugBank	train	c1c2ncc3c2c(cc1)C1CC(C(=O)O)CN(CC=C)C1C3
Naloxone	Naloxone 3-Glucuronide	N1(CC=C)CCC23C4(O)C1Cc1c2c(c(O)cc1)OC3C(=O)CC4	N1(CC=C)CCC23C4(O)C1Cc1c2c(c(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)OC3C(=O)CC4	DB01183	DrugBank	train	N1(CC=C)CCC23C4(O)C1Cc1c2c(c(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)OC3C(=O)CC4
Oxoprenolol	Oxprenolol glucuronide	C(Oc1c(OCC=C)cccc1)C(O)CNC(C)C	C(Oc1c(OCC=C)cccc1)C(OC1OC(C(=O)O)C(O)C(O)C1O)CNC(C)C	Oxoprenolol	MetXBioDB	train	C(Oc1c(OCC=C)cccc1)C(OC1OC(C(=O)O)C(O)C(O)C1O)CNC(C)C
Diallyl disulfide		S(SCC=C)CC=C	S(SCC=C)CC=CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O	Diallyl disulfide	MetXBioDB	train	S(SCC=C)CC=CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O
Rocuronium	17-desacetyl-rocuronium	C1OCCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5OC(C)=O)C4CCC3CC2O)C1	C1OCCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)C1	DB00728	DrugBank	train	C1OCCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)C1
myristicin	5-allyl-1-methoxy-2,3-dihydroxybenzene	c1c(CC=C)cc2c(c1OC)OCO2	c1c(CC=C)cc(OC)c(O)c1O	myristicin	MetXBioDB	train	c1c(CC=C)cc(OC)c(O)c1O
Magnolol		C=CCc1cc(-c2c(O)ccc(CC=C)c2)c(O)cc1	C=CCc1cc(-c2c(O)ccc(CC=C)c2)c(OC2OC(C(=O)O)C(O)C(O)C2O)cc1	Magnolol	MetXBioDB	train	C=CCc1cc(-c2c(O)ccc(CC=C)c2)c(OC2OC(C(=O)O)C(O)C(O)C2O)cc1
Eugenol		c1c(CC=C)ccc(O)c1OC	c1c(CC=C)ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1OC	Eugenol	MetXBioDB	train	c1c(CC=C)ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1OC
methyleugenol	1Ã¢â‚¬Ëœ-hydroxylate methyleugenol	COc1c(OC)ccc(CC=C)c1	COc1c(OC)ccc(C(C=C)O)c1	methyleugenol	MetXBioDB	train	COc1c(OC)ccc(C(C=C)O)c1
Acalabrutinib	Acalabrutinib M5 Metabolite (ACP-5530)	n1c(NC(c2ccc(-c3nc(C4N(C(C#CC)=O)CCC4)n4c3c(N)ncc4)cc2)=O)cccc1	n1c(NC(c2ccc(-c3nc(C4N(C(C=C(C)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)CCC4)n4c3c(N)ncc4)cc2)=O)cccc1	DB11703	DrugBank	train	n1c(NC(c2ccc(-c3nc(C4N(C(C=C(C)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)CCC4)n4c3c(N)ncc4)cc2)=O)cccc1
Acalabrutinib	Acalabrutinib M25 Metabolite	Nc1c2c(-c3ccc(C(=O)Nc4ccccn4)cc3)nc(C3N(C(C#CC)=O)CCC3)n2ccn1	Nc1c2c(-c3ccc(C(=O)Nc4ccccn4)cc3)nc(C3=CCCN3C(C#CC)=O)n2ccn1	DB11703	DrugBank	train	Nc1c2c(-c3ccc(C(=O)Nc4ccccn4)cc3)nc(C3=CCCN3C(C#CC)=O)n2ccn1
Acalabrutinib M27 Metabolite (ACP-5862)	Acalabrutinib M2 Metabolite	c1cc(-c2nc(C(CCCNC(C#CC)=O)=O)n3c2c(N)ncc3)ccc1C(=O)Nc1ccccn1	c1cc(-c2nc(C(CCCNC(C#CC)=O)=O)n3c2c(N)ncc3)ccc1C(=O)O	DB11703	DrugBank	train	c1cc(-c2nc(C(CCCNC(C#CC)=O)=O)n3c2c(N)ncc3)ccc1C(=O)O
Mifepristone	17alpha-hydroxymifepristone	c1c(N(C)C)ccc(C2CC3(C)C(C#CC)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)c1	c1c(N(C)C)ccc(C2CC3(C)C(C#CCO)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)c1	DB00834	Both	train	c1c(N(C)C)ccc(C2CC3(C)C(C#CCO)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)c1
Monodemethylated mifepristone	Didemethylated mifepristone	C12=C3C(=CC(=O)CC3)CCC1C1CCC(C#CC)(O)C1(C)CC2c1ccc(NC)cc1	C12=C3C(=CC(=O)CC3)CCC1C1CCC(C#CC)(O)C1(C)CC2c1ccc(N)cc1	mifepristone	MetXBioDB	train	C12=C3C(=CC(=O)CC3)CCC1C1CCC(C#CC)(O)C1(C)CC2c1ccc(N)cc1
Dinor-iloprost	Tetranor-iloprost	C1(=CCC(=O)O)CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1	C1(C(=O)O)CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1	DB01088	DrugBank	train	C1(C(=O)O)CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1
Iloprost	Dinor-iloprost	C(C(C(CC#CC)C)O)=CC1C(O)CC2C1CC(=CCCCC(=O)O)C2	C(C(C(CC#CC)C)O)=CC1C(O)CC2C1CC(=CCC(=O)O)C2	DB01088	DrugBank	train	C(C(C(CC#CC)C)O)=CC1C(O)CC2C1CC(=CCC(=O)O)C2
Linagliptin CD10604	Linagliptin CD1790	c1(=O)n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(N3CCCC(=O)C3)nc2n1C	c1(=O)n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(N3CCCC(O)C3)nc2n1C	DB08882	DrugBank	train	c1(=O)n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(N3CCCC(O)C3)nc2n1C
Linagliptin M515(1)	Linigliptin M531(2)	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(NC(C)=O)C4)nc3n(C)c2=O)nc(C)c2c(n1)cccc2	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(NC(C)=O)C4O)nc3n(C)c2=O)nc(C)c2c(n1)cccc2	DB08882	DrugBank	train	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(NC(C)=O)C4O)nc3n(C)c2=O)nc(C)c2c(n1)cccc2
Linagliptin CD1790	Linagliptin M506(1)	C1N(c2n(CC#CC)c3c(n2)n(C)c(=O)n(Cc2nc(C)c4c(n2)cccc4)c3=O)CC(O)CC1	C(Nc1n(CC#CC)c2c(n1)n(C)c(=O)n(Cc1nc(C)c3c(n1)cccc3)c2=O)CCC(O)C(=O)O	DB08882	DrugBank	train	C(Nc1n(CC#CC)c2c(n1)n(C)c(=O)n(Cc1nc(C)c3c(n1)cccc3)c2=O)CCC(O)C(=O)O
