parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	possible_products
DB00304	Desogestrel	DBMET01371	15-alpha-hydroxydesogestrel		DB00304	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC	DrugBank	0.7166666666666667	train	C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC
DB01406	Danazol	DBMET00674	17-hydroxymethylethisterone		DB01406	C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C	C#CC1(O)CCC2C3CCC4=CC(=O)C(CO)CC4(C)C3CCC21C	DrugBank	0.5625	train	C#CC1(O)CCC2C3CCC4=CC(=O)C(CO)CC4(C)C3CCC21C
DBMET02891	5α-dihydronorethisterone	DBMET02892	3α,5α-tetrahydronorethisterone	Aldo-keto reductase family 1 member C4	DB00717	C#CC1(O)CCC2C3CCC4CC(=O)CCC4C3CCC21C	C#CC1(O)CCC2C3CCC4CC(O)CCC4C3CCC21C	DrugBank	0.6326530612244898	train	C#CC1(O)CCC2C3CCC4CC(O)CCC4C3CCC21C
DB04575	Quinestrol	DB00977	Ethinylestradiol		DB04575	C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	DrugBank	0.7090909090909091	train	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
DB00957	Norgestimate	DBMET03015	17-desacetylnorgestimate		DB00957	C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	DrugBank	0.6935483870967742	train	C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC
	Erlotinib M16			SULT	Erlotinib M16	C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1O	C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1OS(=O)(=O)O	MetXBioDB	0.7333333333333333	train	C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1OS(=O)(=O)O
	Erlotinib M14			UGT	Erlotinib M14	C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1	C#Cc1cccc(Nc2ncnc3cc(OCCOC4OC(C(=O)O)C(O)C(O)C4O)c(OCCOC)cc23)c1	MetXBioDB	0.6857142857142857	train	C#Cc1cccc(Nc2ncnc3cc(OCCOC4OC(C(=O)O)C(O)C(O)C4O)c(OCCOC)cc23)c1
	Erlotinib M18			UGT	Erlotinib M18	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(O)cc23)c1	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OC4OC(C(=O)O)C(O)C(O)C4O)cc23)c1	MetXBioDB	0.6571428571428571	train	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OC4OC(C(=O)O)C(O)C(O)C4O)cc23)c1
DB00530	Erlotinib	DBMET01790	2-(4-(3-Ethynylanilino)-6-(2-methoxyethoxy)quinazolin-7-yl)oxyethanol	Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 1A1, Cytochrome P450 1A2	DB00530	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1	Both	0.903846153846154	train	C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1
DB00568	Cinnarizine	DBMET01631	1-Cinnamylpiperazine	Cytochrome P450 2C9, Cytochrome P450 1A2, Cytochrome P450 2A6	DB00568	C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1	C(=Cc1ccccc1)CN1CCNCC1	Both	0.5789473684210527	train	C(=Cc1ccccc1)CN1CCNCC1
	B[a]P 7,8-epoxide			GST	B[a]P 7,8-epoxide	C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45	NC(CCC(=O)NC(CSOC1c2cc3ccc4cccc5ccc(c2C=CC1O)c3c45)C(=O)NCC(=O)O)C(=O)O	MetXBioDB	0.3421052631578947	train	NC(CCC(=O)NC(CSOC1c2cc3ccc4cccc5ccc(c2C=CC1O)c3c45)C(=O)NCC(=O)O)C(=O)O
	VCH-1,2-epoxide		VCH-diepoxide	CYP2B6; CYP2E1	4-VINYLCYCLOHEXENE	C1=CCC(C2CO2)CC1	C1CC2OC2CC1C1CO1	MetXBioDB	0.3448275862068966	train	C1CC2OC2CC1C1CO1
DB11697	Pacritinib	DBMET03438	Pacritinib M4 metabolite	Cytochrome P450 3A4	DB11697	C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1	c1cc2cc(c1)-c1ccnc(n1)Nc1ccc(OCCN3CCCC3)c(c1)COCCCCOC2	DrugBank	0.8615384615384616	train	c1cc2cc(c1)-c1ccnc(n1)Nc1ccc(OCCN3CCCC3)c(c1)COCCCCOC2
DB01074	Perhexiline	DBMET00839	cis-Hydroxy Perhexiline		DB01074	C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	Both	0.8	train	OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
	sparteine			CYP2D6	sparteine	C1CCN2CC3CC(CN4CCCCC34)C2C1	OC12CCCCN1CC1CC2CN2CCCCC12	MetXBioDB	0.5	train	OC12CCCCN1CC1CC2CN2CCCCC12
	brostallicin		glutathionyl-brostallicin	GST	brostallicin	C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCNC(=N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1	Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)cn4C)cn3C)cn2C)cc1C(=O)NCCNC(=N)N	MetXBioDB	0.4805194805194805	train	Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)cn4C)cn3C)cn2C)cc1C(=O)NCCNC(=N)N
			6'-Hydroxy-O-desmethylangolensin	EC 1.6.99.1	Genistein	C=C(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	CC(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	MetXBioDB	0.4324324324324324	train	CC(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1
DB08921	(4R)-limonene	DBMET01190	Uroterpenol		DB08921	C=C(C)C1CC=C(C)CC1	CC1=CCC(C(C)(O)CO)CC1	DrugBank	0.4054054054054054	train	CC1=CCC(C(C)(O)CO)CC1
	zinc8660420			CYP3A4	zinc8660420	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	COc1cc2c(cc1OC)C1(O)C(=O)c3ccc4c(c3OC1CO2)CC(C1(C)CO1)O4	MetXBioDB	0.4342105263157895	train	COc1cc2c(cc1OC)C1(O)C(=O)c3ccc4c(c3OC1CO2)CC(C1(C)CO1)O4
DB00136	Calcitriol	DBMET00575	Calcitroic acid		DB00169	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O	DrugBank	0.703125	train	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O
DBMET02617	diclofenac o-imine methine	DBMET02618	2-(2,6-dichlorophenylamino)-benzyl-S-thioether glutathione		DB00586	C=C1C=CC=CC1=Nc1c(Cl)cccc1Cl	NC(CCC(=O)NC(CSCC1C=CC=CC1=Nc1c(Cl)cccc1Cl)C(=O)NCC(=O)O)C(=O)O	DrugBank	0.2328767123287671	train	NC(CCC(=O)NC(CSCC1C=CC=CC1=Nc1c(Cl)cccc1Cl)C(=O)NCC(=O)O)C(=O)O
	riddelliine		riddelliine N-Oxide	CYP3A4	riddelliine	C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23	C=C1CC(=CC)C(=O)OC2CC[N+]3([O-])CC=C(COC(=O)C1(O)CO)C23	MetXBioDB	0.6086956521739131	train	C=C1CC(=CC)C(=O)OC2CC[N+]3([O-])CC=C(COC(=O)C1(O)CO)C23
DB14583	Segesterone acetate	DBMET02131	17α-deacetylsegesterone acetate		DB14583	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O	DrugBank	0.559322033898305	train	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O
DBMET02434	25-hydroxyvitamin D	DBMET02435	Calcitrol	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial, 1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	DB00153	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)(C)O)CC(O)CC1O	DrugBank	0.8	train	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)(C)O)CC(O)CC1O.C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)OC1OC(C(=O)O)C(O)C(O)C1O
	vitamin_d2			CYP3A4	vitamin_d2	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)(O)C(C)C	MetXBioDB	0.75	train	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)(O)C(C)C
DB00146	Calcifediol	DB00136	Calcitriol	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	DB00169	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	DrugBank	0.7903225806451613	train	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
DB00169	Cholecalciferol	DBMET00609	(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)		DB00169	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)C(C)(C)O	DrugBank	0.5432098765432098	train	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)C(C)(C)O
DBMET01860	Nornalmefene	DBMET01861	Nornalmefene 3-O-glucuronide		DB06230	C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5	C=C1CCC2(O)C3Cc4ccc(OC5OC(OO)C(O)C(O)C5O)c5c4C2(CCN3)C1O5	DrugBank	0.639344262295082	train	C=C1CCC2(O)C3Cc4ccc(OC5OC(OO)C(O)C(O)C5O)c5c4C2(CCN3)C1O5
DB06230	Nalmefene	DBMET01858	Nalmefene 3-O-glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A8	DB06230	C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	C=C1CCC2(O)C3Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5c4C2(CCN3CC2CC2)C1O5	DrugBank	0.6438356164383562	train	C=C1CCC2(O)C3Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5c4C2(CCN3CC2CC2)C1O5
DBMET02027	PCI-45752 (M34)	DBMET02028	M24		DB09053	C=CC(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21	Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C(CCCO)CNC(=O)C(O)O	DrugBank	0.803030303030303	train	Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C(CCCO)CNC(=O)C(O)O
	Bilirubin		(2S,3S,4S,5R,6S)Ã¢â‚¬Â6Ã¢â‚¬Â{[3Ã¢â‚¬Â(2Ã¢â‚¬Â{[3Ã¢â‚¬Â(2Ã¢â‚¬Âcarboxyethyl)Ã¢â‚¬Â5Ã¢â‚¬Â{[(2Z)Ã¢â‚¬Â4Ã¢â‚¬ÂethenylÃ¢â‚¬Â3Ã¢â‚¬ÂmethylÃ¢â‚¬Â5Ã¢â‚¬ÂoxoÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âylidene]methyl}Ã¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âyl]methyl}Ã¢â‚¬Â5Ã¢â‚¬Â{[(2Z)Ã¢â‚¬Â3Ã¢â‚¬ÂethenylÃ¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â5Ã¢â‚¬ÂoxoÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â2Ã¢â‚¬Âylidene]methyl}Ã¢â‚¬Â4Ã¢â‚¬ÂmethylÃ¢â‚¬Â1HÃ¢â‚¬ÂpyrrolÃ¢â‚¬Â3Ã¢â‚¬Âyl)propanoyl]oxy}Ã¢â‚¬Â3,4,5Ã¢â‚¬ÂtrihydroxyoxaneÃ¢â‚¬Â2Ã¢â‚¬Âcarboxylic acid	UGT	Bilirubin	C=CC1=C(C)C(O)=NC1=Cc1[nH]c(Cc2[nH]c(C=C3N=C(O)C(C=C)=C3C)c(C)c2CCC(=O)O)c(CCC(=O)O)c1C	C=CC1=C(C)C(O)=NC1=Cc1[nH]c(Cc2[nH]c(C=C3N=C(O)C(C=C)=C3C)c(C)c2CCC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c(CCC(=O)O)c1C	MetXBioDB	0.7101449275362319	train	C=CC1=C(C)C(O)=NC1=Cc1[nH]c(Cc2[nH]c(C=C3N=C(O)C(C=C)=C3C)c(C)c2CCC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c(CCC(=O)O)c1C
DBMET02050	BMS-798430	DBMET02051	BMS-558364		DB11586	C=CC1CC1(NC(=O)C1CC(Oc2ncc(O)c3ccc(Cl)cc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1	C=CC1CC1(NC(=O)C1CC(O)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1	DrugBank	0.6483516483516484	train	C=CC1CC1(NC(=O)C1CC(O)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
DB11586	Asunaprevir	DBMET02052	Asunaprevir M2		DB11586	C=CC1CC1(NC(=O)C1CC(Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1	COc1cnc(OC2CC(C(N)=O)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C2)c2cc(Cl)ccc12	DrugBank	0.6739130434782609	train	COc1cnc(OC2CC(C(N)=O)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C2)c2cc(Cl)ccc12
	cyclohexene, 4-ethenyl-, (s)-			CYP2B6;CYP2E1	cyclohexene, 4-ethenyl-, (s)-	C=CC1CC=CCC1	C=CC1CCC2OC2C1	MetXBioDB	0.3	train	C=CC1CCC2OC2C1
	VCH-7,8-epoxide		VCH-diepoxide	CYP2B6; CYP2E1	4-VINYLCYCLOHEXENE	C=CC1CCC2OC2C1	C1CC2OC2CC1C1CO1	MetXBioDB	0.3928571428571428	train	C1CC2OC2CC1C1CO1
DB00908	Quinidine	DBMET01731	Quinidine-N-oxide	Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2E1	DB00908	C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	C=CC1C[N+]2([O-])CCC1CC2C(O)c1ccnc2ccc(OC)cc12	Both	0.6086956521739131	train	C=CC1C[N+]2([O-])CCC1CC2C(O)c1ccnc2ccc(OC)cc12
	2,4-diene-VPA			UGT	2,4-diene-VPA	C=CC=C(CCC)C(=O)O	C=CC=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O	MetXBioDB	0.4523809523809524	train	C=CC=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O
DBMET00060	4-ene-Valproic acid		2,4-Diene-VPA		DB00313	C=CCC(CCC)C(=O)O	C=CC=C(CCC)C(=O)O	DrugBank	0.3235294117647059	train	C=CC=C(CCC)C(=O)O
DB00241	Butalbital	DBMET02454	5-allyl-5-(3-hydroxy-2-methyl-1-propyl) barbituric acid		DB00241	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O	DrugBank	0.7058823529411765	train	C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O
DB00248	Cabergoline	DBMET00757	6-allyl-8b-carboxy-ergoline		DB00248	C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21	C=CCN1CC(C(=O)O)CC2c3cccc4[nH]cc(c34)CC21	DrugBank	0.6301369863013698	train	C=CCN1CC(C(=O)O)CC2c3cccc4[nH]cc(c34)CC21
DB01183	Naloxone	DBMET00424	noroxymorphone		DB01183	C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5	DrugBank	0.5737704918032787	train	O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5
	Oxoprenolol		Oxprenolol glucuronide	UGT	Oxoprenolol	C=CCOc1ccccc1OCC(O)CNC(C)C	C=CCOc1ccccc1OCC(CNC(C)C)OC1OC(C(=O)O)C(O)C(O)C1O	MetXBioDB	0.5263157894736842	train	C=CCOc1ccccc1OCC(CNC(C)C)OC1OC(C(=O)O)C(O)C(O)C1O
	Diallyl disulfide			GST	Diallyl disulfide	C=CCSSCC=C	C=CCSSCC=CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O	MetXBioDB	0.22	train	C=CCSSCC=CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O
DB00728	Rocuronium	DBMET00673	17-desacetyl-rocuronium		DB00728	C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1	C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2O)CCCC1	DrugBank	0.7808219178082192	train	C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2O)CCCC1
	myristicin		5-allyl-1-methoxy-2,3-dihydroxybenzene	CYP3A4;CYP1A2	myristicin	C=CCc1cc(OC)c2c(c1)OCO2	C=CCc1cc(O)c(O)c(OC)c1	MetXBioDB	0.5	train	C=CCc1cc(O)c(O)c(OC)c1
	Magnolol			UGT	Magnolol	C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1	C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c1	MetXBioDB	0.4893617021276595	train	C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c1
	Eugenol			UGT1A9	Eugenol	C=CCc1ccc(O)c(OC)c1	C=CCc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(OC)c1	MetXBioDB	0.46	train	C=CCc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(OC)c1
	methyleugenol		1Ã¢â‚¬Ëœ-hydroxylate methyleugenol	CYP1A2;CYP2C9;CYP2C19;CYP2D6	methyleugenol	C=CCc1ccc(OC)c(OC)c1	C=CC(O)c1ccc(OC)c(OC)c1	MetXBioDB	0.4444444444444444	train	C=CC(O)c1ccc(OC)c(OC)c1
DB11703	Acalabrutinib	DBMET02885	Acalabrutinib M5 Metabolite (ACP-5530)		DB11703	CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O	DrugBank	0.6262626262626263	train	CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O
DBMET02878	Acalabrutinib M27 Metabolite (ACP-5862)	DBMET02879	Acalabrutinib M16 Metabolite		DB11703	CC#CC(=O)NCCCC(=O)c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	CC#CC(=O)NCCCC(O)c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	DrugBank	0.76	train	CC#CC(=O)NCCCC(O)c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12
DB00834	Mifepristone	DBMET01704	17alpha-hydroxymifepristone	Cytochrome P450 3A4	DB00834	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C	CN(C)c1ccc(C2CC3(C)C(CCC3(O)C#CCO)C3CCC4=CC(=O)CCC4=C23)cc1	Both	0.8333333333333334	train	CN(C)c1ccc(C2CC3(C)C(CCC3(O)C#CCO)C3CCC4=CC(=O)CCC4=C23)cc1
	Monodemethylated mifepristone		Didemethylated mifepristone	CYP3A4	mifepristone	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(NC)cc3)CC21C	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N)cc3)CC21C	MetXBioDB	0.8253968253968254	train	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N)cc3)CC21C
DBMET03767	Dinor-iloprost	DBMET03768	Tetranor-iloprost		DB01088	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCC(=O)O)CC21	CC#CCC(C)C(O)C=CC1C(O)CC2CC(C(=O)O)CC21	DrugBank	0.6785714285714286	train	CC#CCC(C)C(O)C=CC1C(O)CC2CC(C(=O)O)CC21
DB01088	Iloprost	DBMET03767	Dinor-iloprost		DB01088	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCC(=O)O)CC21	DrugBank	0.8103448275862069	train	CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCC(=O)O)CC21
