reactants	products	set	tanimoto
NC(Cc1cnc[nH]1)C(=O)O	NCCCCC(N)C(=O)O	train	0.2972972972972973
Cc1nc(C)nc(C)n1	Cc1nc(C)nc(O)n1	train	0.6153846153846154
C[N+](C)(C)CCOP(=O)(O)OCC(O)CO	CC(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C	train	0.625
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1	O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1	train	0.6956521739130435
Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O	Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O	train	0.6153846153846154
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	[H]N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	train	0.618421052631579
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)O)O2	Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O)O2	train	0.6071428571428571
O=CCc1c[nH]c2ccccc12	NCCc1c[nH]c2ccccc12	train	0.5454545454545454
CC(=O)NCCCNCCCCN	NCCCCN	train	0.2916666666666667
O=Cc1ccc2ccccc2c1	OCc1ccc2ccccc2c1	train	0.3793103448275862
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O	CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	train	0.5952380952380952
CC12CC3CC(C)(C1)CC(N)(C3)C2	CC12CC3CC(N)(C1)CC(CO)(C3)C2	train	0.6206896551724138
O=C(O)C(O)C(O)C(O)C(O)CO	O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	train	0.5
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	train	0.8301886792452831
Cc1cn(C2CC(OP(=O)(O)OCC3OC(C)CC3O)C(COP(=O)(O)OC3CC(C)OC3COP(=O)(O)O)O2)c(=O)nc1N	CC1CC(O)C(COP(=O)(O)OC2CC(n3ccc(N)nc3=O)OC2COP(=O)(O)OC2CC(C)OC2COP(=O)(O)O)O1	train	0.7575757575757576
CC(O)=NC1C(O)OC(COP(=O)(O)O)C(O)C1O	CC(O)=NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)COP(=O)(O)O	train	0.3559322033898305
O=S(=O)(O)Oc1ccc2[nH]cc(CCO)c2c1	OCCc1c[nH]c2ccc(O)cc12	train	0.5609756097560976
CCC=CCC=CCC=CCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1	CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	train	0.625
NC(CC1=CC(=O)C(=O)C=C1)C(=O)O	NC(Cc1ccc(O)c(O)c1)C(=O)O	train	0.3846153846153846
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	train	0.5681818181818182
NC(CCC(O)=NC(CS)C(=O)NCC(=O)O)C(=O)O	CCCCCC(O)C=CC1C(SCC(N=C(O)CCC(N)C(=O)O)C(=O)NCC(=O)O)CC(=O)C1CC=CCCCC(=O)O	train	0.3924050632911392
O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1	train	0.4038461538461538
NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)O	NC(Cc1c[nH]c2ccccc12)C(=O)O	train	0.5882352941176471
NCCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	NCCc1ccc(Oc2ccc(O)c(I)c2)c(I)c1	train	0.7
CC(O)CC(=O)O	CC(=O)CC(=O)O	train	0.3333333333333333
CC(=O)OCC(O)COP(=O)(O)O	O=P(O)(O)OCC(O)CO	train	0.5517241379310345
Cc1ncc(CO)c(C=O)c1O	Cc1ncc(CO)c(C(=O)O)c1O	train	0.5555555555555556
CC(=CC=O)CCCC(C)CCCC(C)CCCC(C)C	CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C	train	0.6060606060606061
Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	train	0.582089552238806
[H]N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1	[H]N=c1ccn(C2OC(COP(=O)(O)OC3(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(O)CO)O3)C(O)C2O)c(O)n1	train	0.5375
CC(=O)OCC(CO)OC(C)=O	CC(=O)OCC(COP(=O)(O)O)OC(C)=O	train	0.5806451612903226
CC(=O)CC(=O)O	CC(O)CC(=O)O	train	0.3333333333333333
CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O	CC(=O)NC1C(O)OC(CO)C(O)C1O	train	0.5454545454545454
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C	train	0.75
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	train	0.6268656716417911
O=C(O)CC(CC(=O)O)C(=O)O	O=C(O)C=C(CC(=O)O)C(=O)O	train	0.2307692307692307
CC(C)C(O)CCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C	CC(C)C(O)CCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CC(O)C12C	train	0.7419354838709677
CC(=O)CC(=O)O	CC(O)CC(=O)O	train	0.3333333333333333
COc1cc2c(cc1OC1OC(C(=O)O)C(O)C(O)C1O)CCC1C2CCC2(C)C(=O)CCC12	COc1cc2c(cc1O)CCC1C2CCC2(C)C(=O)CCC12	train	0.609375
O=C(O)C(=O)CO	NC(CO)C(=O)O	train	0.2857142857142857
CCCCCCCCCCCCCCCC(O)C(N)COP(=O)(O)O	CCCCCCCCCCCCCCCC(O)C(N)CO	train	0.5588235294117647
CC(C)=CCOP(=O)(O)OP(=O)(O)O	C=C(C)CCOP(=O)(O)OP(=O)(O)O	train	0.4848484848484848
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C	CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	train	0.5555555555555556
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O	train	0.4925373134328358
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O	train	0.9444444444444444
O=CCc1ccccc1	O=C(O)Cc1ccccc1	train	0.4347826086956521
O=c1nc(O)ccn1C1OC(CO)C2OP(=O)(O)OC21	O=c1nc(O)ccn1C1OC(CO)C(OP(=O)(O)O)C1O	train	0.5357142857142857
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	train	0.8333333333333334
C1=CC2OC2c2ccccc21	NC(CCC(=O)NC(CSC1C=Cc2ccccc2C1O)C(=O)NCC(=O)O)C(=O)O	train	0.234375
COC1OC(COS(=O)(=O)O)C(OS(=O)(=O)O)C(OC)C1NC(C)=O	COC1OC(CO)C(OS(=O)(=O)O)C(OC)C1NC(C)=O	train	0.7777777777777778
CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O	OCC1OC(O)C(O)C(O)C1O	train	0.4117647058823529
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3	CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3	train	0.6842105263157895
CC(O)C(N)C(=O)O	NC(CCO)C(=O)O	train	0.32
O=C1NC(O)C(c2ccccc2)CO1	O=C1NC(=O)C(c2ccccc2)CO1	train	0.4736842105263157
CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O	CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1O	train	0.5434782608695652
CSCC(N)C(=O)O	CSCC(NC(C)=O)C(=O)O	train	0.4444444444444444
CC(=O)NNC(=O)c1ccncc1	NNC(=O)c1ccncc1	train	0.5517241379310345
CC(C)CC(N)C(=O)O	CC(C)C(N)C(=O)O	train	0.4347826086956521
CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C)C(=O)O	CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	train	0.3813559322033898
CC(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O	CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O	train	0.951219512195122
CCCCCCCCCCCC(O)CC(=O)SC	CCCCCCCCCCCC=CC(=O)SC	train	0.3888888888888889
CC1CCC(C)C(=O)C1	CC1=CCC(C)CC1=O	train	0.3
O=CC(O)COP(=O)(O)O	O=CC(O)CO	train	0.4
NCCC(=O)c1cc(O)ccc1N	Oc1ccc2nccc(O)c2c1	train	0.2195121951219512
Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1	Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	train	0.8596491228070176
[H]NC(=O)CCC(N)C(=O)O	NC(Cc1ccccc1)C(=O)O	train	0.3666666666666666
NC(CCC(=O)NC(CSC1C=Cc2ccccc2C1O)C(=O)NCC(=O)O)C(=O)O	C1=CC2OC2c2ccccc21	train	0.234375
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O	train	0.9411764705882352
COC1OC(CO)C(O)C(O)C1NC(C)=O	CC(=O)NC1C(O)OC(CO)C(O)C1O	train	0.6666666666666666
NC(CSSCC(N)C(=O)O)C(=O)O	CC(C)CC(N)C(=O)O	train	0.4782608695652174
O=P(O)(OCC(O)CO)OC1C(O)C(O)C(O)C(O)C1O	O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	train	0.4375
O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1	O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1	train	0.8363636363636363
CSCCC(=O)C(=O)COP(=O)(O)O	CSCCC(=O)C(O)=CO	train	0.4117647058823529
Nc1ccccc1C(=O)CC(N)C(=O)O	Nc1c(OC2OC(CO)C(O)C(O)C2O)cccc1C(=O)CC(N)C(=O)O	train	0.4423076923076923
CC12CCC3C(CCC4=CC(=O)CCC43CO)C1CCC2O	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	train	0.7446808510638298
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(COP(=O)(O)O)OC(C)C3O)OC(C)C2O)C(O)C1O	train	0.3384615384615385
CSC(=O)CC(=O)O	CSC(=O)CC(C)=O	train	0.6
NC(Cc1ccc(O)c(I)c1)C(=O)O	NC(Cc1cc(I)c(O)c(I)c1)C(=O)O	train	0.6764705882352942
O=C(O)CCCCC=CCC(=O)CCC=CC=CC(O)CCCC(=O)O	O=C(O)CCCCC=CCC(=O)C=CC=CC=CC(O)CCCC(=O)O	train	0.6744186046511628
CC(C)(CO)C(O)C(=O)NCCC(=O)O	CC(C)(COP(=O)(O)O)C(O)C(O)=NCCC(=O)O	train	0.3043478260869565
C[N+](C)(C)CC=O	C[N+](C)(C)CC(=O)[O-]	train	0.2727272727272727
CC(=O)CCC(NC(=O)c1ccc(N2C=[N+]3c4c(nc(N)[nH]c4=O)NCC3C2)cc1)C(=O)[O-]	CC(=O)CCC(NC(=O)c1ccc(NCC2CNc3nc(N)[nH]c(=O)c3N2C=N)cc1)C(=O)O	train	0.4777777777777778
CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1	CC(=O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1	train	0.574468085106383
NC(CC(=O)O)C(=O)O	O=C(O)CC(=O)C(=O)O	train	0.2608695652173913
NC(=O)NCCCC(N)C(=O)O	N=C(N)NCCCC(N)C(=O)O	train	0.75
[H]N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O	train	0.6103896103896104
NCCCC(=O)O	CC(=O)NCCCC(=O)O	train	0.4
OCC(O)C(O)C(O)C(O)CO	O=C(CO)C(O)C(O)C(O)CO	train	0.5
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C	CC(C)CCCC(C)(O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C	train	0.576271186440678
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	train	0.625
O=C(O)C(=O)CC(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	O=C(O)C(=O)CC(O)C(O)C(O)C(O)C(O)CO	train	0.5454545454545454
CC12CCC3C(CCC4=CC(=O)CCC43CO)C1CCC2=O	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O	train	0.7441860465116279
CC1=C(C)C(=O)C=C2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O[C]21	Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2	train	0.4827586206896552
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(C)=O	CCCCCCCCCCCCCC=CC(O)C(CO)NC(C)=O	train	0.5636363636363636
[H]N=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(O)n1	[H]N=c1ccn(C2CC(O)C(CO)O2)c(O)n1	train	0.6875
NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O	NC1OC(COP(=O)(O)O)C(O)C1O	train	0.55
CC(=O)Nc1c(NC=O)[nH]c(=O)n(C)c1=O	Cn1c(=O)[nH]c2ncn(C)c2c1=O	train	0.3333333333333333
CCCCCCCCCCCCCC(=O)SC	CCCCCCCCCCCCCC(=O)O	train	0.5652173913043478
[H]NC(=O)CC(N)C(=O)O	[H]N=C(N)NCCCC(N)C(=O)O	train	0.4
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	train	0.9583333333333334
Nc1ccccc1C(=O)CC(=O)C(=O)O	O=C(O)c1cc(=O)c2ccccc2[nH]1	train	0.2045454545454545
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	train	0.9574468085106383
[H]N=C(N)NCCCC(N)C(=O)O	CC(N)C(=O)O	train	0.2758620689655172
O=c1c(-c2ccccc2)coc2ccccc12	O=C1c2ccccc2OCC1c1ccccc1	train	0.2272727272727272
CC(=O)NCCCC=O	CC(=O)NCCCCN	train	0.5384615384615384
C[N+](C)(C)CCOP(=O)([O-])OCC(O)CO	C[N+](C)(C)CCOP(=O)([O-])O	train	0.5142857142857142
O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1O	O=C(O)C1OC(O)C(O)C(O)C1O	train	0.2419354838709677
CC(=O)OC(CO)CO	CC(=O)O	train	0.2631578947368421
O=C(O)C(CS)NC(=O)C1CCCN1	NC(CS)C(=O)O	train	0.2631578947368421
CC(C)=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	train	0.7678571428571429
NC(CC(O)C=O)C(=O)O	NC(CC(O)C(=O)O)C(=O)O	train	0.56
CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O	CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(C)=O	train	0.951219512195122
CCCCCCCCCCCCCC=CC(O)C(N)COP(=O)(O)O	CCCCCCCCCCCCCCCC(=O)O	train	0.2325581395348837
CC(=O)OCC(O)COP(=O)(O)OCC(O)CO	CC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(C)=O	train	0.75
CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	CC(C=O)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	train	0.7627118644067796
CCC(C)C(=O)O	CC(=O)O	train	0.2941176470588235
CCC=CCC(O)C=CC=CCC=CC=CC=CC1OC1CCC(=O)O	CCC=CCC(O)C=CC=CCC=CC=CC=CC(O)C(O)CCC(=O)O	train	0.5769230769230769
O=C(CO)C(O)C(O)C(O)C(O)COP(=O)(O)O	O=C(CO)C(O)C(O)C(O)C(O)CO	train	0.5483870967741935
CCCCCC=CCC(O)CCC(O)CC(=O)O	CCCCCC=CCC(O)CCC(=O)CC(=O)O	train	0.6666666666666666
O=C(O)CCC(=O)C(=O)O	O=C(O)CCC(O)C(=O)O	train	0.3478260869565217
[H]N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(O)n1	[H]N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(O)n1	train	0.96
O=C(O)CC(C(=O)O)C(O)C(=O)O	O=C(O)CC(O)(CC(=O)O)C(=O)O	train	0.32
CC(O)C(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CCCN1)C(=O)O	NC(Cc1c[nH]c2ccccc12)C(=O)O	train	0.4126984126984127
CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(C)=O	CC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O	train	0.7073170731707317
O=C(O)C(=O)COP(=O)(O)O	O=C(O)C(O)COP(=O)(O)O	train	0.4444444444444444
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1	train	0.6666666666666666
O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O	O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O	train	0.8888888888888888
C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C	C#CC1(O)CCC2C3CC(O)c4cc(OS(=O)(=O)O)ccc4C3CCC21C	train	0.7457627118644068
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O	train	0.320754716981132
[H]N=C(O)CCCCC(S)CCSC(=O)CCCC(=O)O	[H]NC(=O)CCCCC(S)CCS	train	0.4102564102564102
O=P(O)(O)OCC1OC(O)(CO)C(O)C1O	OCC1OC(O)(CO)C(O)C1O	train	0.5588235294117647
CCCC(=O)SC	CC=CC(=O)SC	train	0.28
NC(CCC(=O)NC(CS)C(=O)NCC(=O)NCCCCNCCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(=O)O)C(=O)O	NC(CCC(=O)NC1CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)NCCCNCCCCNC(=O)CNC1=O)C(=O)O	train	0.273972602739726
O=c1cc[nH]c(=O)[nH]1	O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1	train	0.2045454545454545
NC(CCC(=O)NC(CSC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1O)C(=O)NCC(=O)O)C(=O)O	NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O	train	0.4166666666666667
CCCCCC=CCC(O)C=CC=CCCC(=O)CCCC(=O)O	CCCCCC=CCC(O)C=CC=CCCC(=O)CCCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	train	0.3243243243243243
Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1	Nc1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1	train	0.8367346938775511
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1	train	0.8333333333333334
C=C1Nc2ccccc2C(c2ccccc2)=NC1C	C=C1Nc2ccccc2C(c2ccccc2)=NC1(C)O	train	0.5116279069767442
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12	train	0.6
CC(CCC(O)=NCC(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C	CC(CCC(O)=NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	train	0.734375
CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O	CCCCCC=CCC(=O)C=CC=CC=CC(O)CCCC(=O)O	train	0.7272727272727273
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2	NC(CCC(=O)O)C(=O)O	train	0.203125
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C	train	0.5737704918032787
CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O	OCC1OC(O)C(O)C(O)C1O	train	0.4117647058823529
O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O	O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	train	0.9411764705882352
NC(CCS)C(=O)O	NC(CCSCC(N)C(=O)O)C(=O)O	train	0.5
CC1=C2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)OC2(OO)C2(C)OC2(C)C1=O	CC1=C(CCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C)C(=O)C2(C)OC2(C)C1=O	train	0.4516129032258064
NC1OC(CO)C2OP(=O)(O)OC12	NC1OC(CO)C(O)C1OP(=O)(O)O	train	0.3414634146341463
