parent_name	child_name	reactants	products	origin	source	set	possible_products
Desogestrel	2-hydroxydesogestrel	C1CC2C(=CC1)CCC1C3CCC(C#C)(O)C3(CC)CC(=C)C12	C1(O)CC2C(=CC1)CCC1C3CCC(C#C)(O)C3C(CC)C(=C)C12	DB00304	DrugBank	train	C1(O)CC2C(=CC1)CCC1C3CCC(C#C)(O)C3C(CC)C(=C)C12
Danazol	Ethisterone	OC1(C#C)CCC2C1(C)CCC1C2CCC2=Cc3c(cno3)CC12C	OC1(C#C)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12C	DB01406	DrugBank	train	OC1(C#C)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12C
5α-dihydronorethisterone	3α,5α-tetrahydronorethisterone	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(=O)CC2	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(O)CC2	DB00717	DrugBank	train	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(O)CC2
Quinestrol	Ethinylestradiol	c1cc2c(cc1OC1CCCC1)CCC1C3CCC(C#C)(O)C3(C)CCC12	c1cc2c(cc1O)CCC1C3CCC(C#C)(O)C3(C)CCC12	DB04575	DrugBank	train	c1cc2c(cc1O)CCC1C3CCC(C#C)(O)C3(C)CCC12
Norgestimate	17-desacetylnorgestimate	ON=C1CCC2C3CCC4(CC)C(C#C)(OC(C)=O)CCC4C3CCC2=C1	ON=C1CCC2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=C1	DB00957	DrugBank	train	ON=C1CCC2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=C1
Erlotinib M16		C(COc1c(OCCOC)cc2c(Nc3cc(C#C)c(O)cc3)ncnc2c1)OC	C(COc1c(OCCOC)cc2c(Nc3cc(C#C)c(OS(=O)(=O)O)cc3)ncnc2c1)OC	Erlotinib M16	MetXBioDB	train	C(COc1c(OCCOC)cc2c(Nc3cc(C#C)c(OS(=O)(=O)O)cc3)ncnc2c1)OC
Erlotinib M14		O(c1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCO)CCOC	O(c1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCOC1OC(C(=O)O)C(O)C(O)C1O)CCOC	Erlotinib M14	MetXBioDB	train	O(c1cc2c(Nc3cccc(C#C)c3)ncnc2cc1OCCOC1OC(C(=O)O)C(O)C(O)C1O)CCOC
Erlotinib M18		N(c1cccc(C#C)c1)c1ncnc2c1cc(O)c(OCCOC)c2	N(c1cccc(C#C)c1)c1ncnc2c1cc(OC1OC(C(=O)O)C(O)C(O)C1O)c(OCCOC)c2	Erlotinib M18	MetXBioDB	train	N(c1cccc(C#C)c1)c1ncnc2c1cc(OC1OC(C(=O)O)C(O)C(O)C1O)c(OCCOC)c2
Erlotinib	2-(4-(3-Ethynylanilino)-6-(2-methoxyethoxy)quinazolin-7-yl)oxyethanol	c1c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc1	c1c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCO)c3)cc1	DB00530	Both	train	c1c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCO)c3)cc1
Cinnarizine	Cinnarizine metabolite M1	c1ccccc1C(c1ccccc1)N1CCN(CC=Cc2ccccc2)CC1	c1ccccc1C(c1ccccc1)N1CCNCC1	DB00568	Both	train	c1ccccc1C(c1ccccc1)N1CCNCC1
B[a]P 7,8-epoxide		c12ccc3c4c(cc5c3c1c(cc5)ccc2)C1C(C=C4)O1	c12ccc3c4c(cc5c3c1c(cc5)ccc2)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C4	B[a]P 7,8-epoxide	MetXBioDB	train	c12ccc3c4c(cc5c3c1c(cc5)ccc2)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C4
VCH-1,2-epoxide	VCH-diepoxide	C1C(C2CC=CCC2)O1	C1C(C2CCC3C(C2)O3)O1	4-VINYLCYCLOHEXENE	MetXBioDB	train	C1C(C2CCC3C(C2)O3)O1
Pacritinib	Pacritinib M1 metabolite	c1c2cc(cc1)-c1nc(ncc1)Nc1cc(c(OCCN3CCCC3)cc1)COCC=CCOC2	c1c2cc(cc1)-c1nc(ncc1)Nc1cc(c(OCCN3CCCC3=O)cc1)COCC=CCOC2	DB11697	DrugBank	train	c1c2cc(cc1)-c1nc(ncc1)Nc1cc(c(OCCN3CCCC3=O)cc1)COCC=CCOC2
Perhexiline	cis-Hydroxy Perhexiline	C1CCCC(C(CC2CCCCN2)C2CCCCC2)C1	C1C(O)CCC(C(CC2CCCCN2)C2CCCCC2)C1	DB01074	Both	train	C1C(O)CCC(C(CC2CCCCN2)C2CCCCC2)C1
sparteine		C1N2CCCCC2C2CC1C1N(C2)CCCC1	C1N2CCCCC2(O)C2CC1C1N(C2)CCCC1	sparteine	MetXBioDB	train	C1N2CCCCC2(O)C2CC1C1N(C2)CCCC1
brostallicin	glutathionyl-brostallicin	C(c1cc(NC(C(Br)=C)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1	C(c1cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1	brostallicin	MetXBioDB	train	C(c1cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1
	6'-Hydroxy-O-desmethylangolensin	Oc1c(C(C(c2ccc(O)cc2)=C)=O)c(O)cc(O)c1	Oc1c(C(C(c2ccc(O)cc2)C)=O)c(O)cc(O)c1	Genistein	MetXBioDB	train	Oc1c(C(C(c2ccc(O)cc2)C)=O)c(O)cc(O)c1
(4R)-limonene	Uroterpenol	C1C(C)=CCC(C(C)=C)C1	C1C(C)=CCC(C(C)(O)CO)C1	DB08921	DrugBank	train	C1C(C)=CCC(C(C)(O)CO)C1
zinc8660420		c12ccc3c(c1OC1C(C2=O)c2cc(OC)c(OC)cc2OC1)CC(C(=C)C)O3	c12ccc3c(c1OC1C(C2=O)c2cc(O)c(OC)cc2OC1)CC(C(=C)C)O3	zinc8660420	MetXBioDB	train	c12ccc3c(c1OC1C(C2=O)c2cc(O)c(OC)cc2OC1)CC(C(=C)C)O3
Calcitriol	Calcitroic acid	C1(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	C1(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O	DB00169	DrugBank	train	C1(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O
diclofenac o-imine methine	2-(2,6-dichlorophenylamino)-benzyl-S-thioether glutathione	N(=C1C(=C)C=CC=C1)c1c(Cl)cccc1Cl	N(=C1C(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C=CC=C1)c1c(Cl)cccc1Cl	DB00586	DrugBank	train	N(=C1C(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C=CC=C1)c1c(Cl)cccc1Cl
riddelliine	riddelliine N-Oxide	C12=CCN3CCC(OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OC1)C32	C12=CCN3(O)CCC(OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OC1)C32	riddelliine	MetXBioDB	train	C12=CCN3(O)CCC(OC(=O)C(=CC)CC(=C)C(O)(CO)C(=O)OC1)C32
Segesterone acetate	5α-dihydrosegesterone acetate	CC(OC1(C(C)=O)C(=C)CC2C1(C)CCC1C2CCC2=CC(=O)CCC12)=O	CC(OC1(C(C)=O)C(=C)CC2C1(C)CCC1C2CCC2C1CCC(=O)C2)=O	DB14583	DrugBank	train	CC(OC1(C(C)=O)C(=C)CC2C1(C)CCC1C2CCC2C1CCC(=O)C2)=O
25-hydroxyvitamin D	Calcitrol	C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1)C)C)(C)(C)O	C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)C)(C)(C)O	DB00153	DrugBank	train	C(C(C=CC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)C)(C)(C)O
Ergocalciferol	25-hydroxyvitamin D	C1(C(C)C=CC(C)C(C)C)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1	C1(C(C)C=CC(C)C(C)(C)O)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1	DB00153	DrugBank	train	C1(C(C)C=CC(C)C(C)(C)O)C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1
Calcifediol	Calcitriol	C1(O)CCC(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1	C1(O)CC(O)C(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1	DB00169	DrugBank	train	C1(O)CC(O)C(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1
Cholecalciferol	Calcifediol	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)C	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)(C)O	DB00169	DrugBank	train	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)(C)O
Nornalmefene	Nornalmefene 3-O-glucuronide	c1(O)c2c3c(cc1)CC1C4(O)CCC(=C)C(C43CCN1)O2	c1(OC2OC(OO)C(O)C(O)C2O)c2c3c(cc1)CC1C4(O)CCC(=C)C(C43CCN1)O2	DB06230	DrugBank	train	c1(OC2OC(OO)C(O)C(O)C2O)c2c3c(cc1)CC1C4(O)CCC(=C)C(C43CCN1)O2
Nalmefene	Nalmefene 3-O-glucuronide	c12c3c(ccc1O)CC1C4(O)CCC(=C)C(C43CCN1CC1CC1)O2	c12c3c(ccc1OC1OC(C(=O)O)C(O)C(O)C1O)CC1C4(O)CCC(=C)C(C43CCN1CC1CC1)O2	DB06230	DrugBank	train	c12c3c(ccc1OC1OC(C(=O)O)C(O)C(O)C1O)CC1C4(O)CCC(=C)C(C43CCN1CC1CC1)O2
PCI-45752 (M34)	M24	C(C(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c1ncnc2N)=C	C(C(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c1ncnc2N)(O)O	DB09053	DrugBank	train	C(C(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c1ncnc2N)(O)O
Bilirubin	6-[3-[2-[[3-(2-carboxyethyl)-5-[(Z)-(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoyloxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	C(c1nc(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)O)c(CCC(=O)O)c1C)=C1N=C(O)C(C=C)=C1C	C(c1nc(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c(CCC(=O)O)c1C)=C1N=C(O)C(C=C)=C1C	Bilirubin	MetXBioDB	train	C(c1nc(Cc2nc(C=C3C(C=C)=C(C)C(O)=N3)c(C)c2CCC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)c(CCC(=O)O)c1C)=C1N=C(O)C(C=C)=C1C
BMS-798430	BMS-558364	C(OC(NC(C(N1C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(O)c3ccc(Cl)cc23)C1)=O)C(C)(C)C)=O)(C)(C)C	C(OC(NC(C(N1C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(O)C1)=O)C(C)(C)C)=O)(C)(C)C	DB11586	DrugBank	train	C(OC(NC(C(N1C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(O)C1)=O)C(C)(C)C)=O)(C)(C)C
Asunaprevir	Asunaprevir M8	CC(C(C(N1C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)NC(=O)OC(C)(C)C)(C)C	CC(C(C(N1C(C(NC2(C(=O)O)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)NC(=O)OC(C)(C)C)(C)C	DB11586	DrugBank	train	CC(C(C(N1C(C(NC2(C(=O)O)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1)=O)NC(=O)OC(C)(C)C)(C)C
cyclohexene, 4-ethenyl-, (s)-		C1(C=C)CC=CCC1	C1(C2CO2)CC=CCC1	cyclohexene, 4-ethenyl-, (s)-	MetXBioDB	train	C1(C2CO2)CC=CCC1
VCH-7,8-epoxide	VCH-diepoxide	C12CCC(C=C)CC1O2	C12CCC(C3CO3)CC1O2	4-VINYLCYCLOHEXENE	MetXBioDB	train	C12CCC(C3CO3)CC1O2
Quinine	3-hydroxyquinine	c1(OC)cc2c(C(C3N4CC(C=C)C(CC4)C3)O)ccnc2cc1	c1(OC)cc2c(C(C3N4CC(C=C)(O)C(CC4)C3)O)ccnc2cc1	DB00468	Both	train	c1(OC)cc2c(C(C3N4CC(C=C)(O)C(CC4)C3)O)ccnc2cc1
2,4-diene-VPA		C(C=C)=C(CCC)C(=O)O	C(C=C)=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O	2,4-diene-VPA	MetXBioDB	train	C(C=C)=C(CCC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O
4-ene-Valproic acid	2,4-Diene-VPA	O=C(C(CCC)CC=C)O	O=C(C(CCC)=CC=C)O	DB00313	DrugBank	train	O=C(C(CCC)=CC=C)O
Butalbital	5-isobutyl-5-(2,3-dihydroxypropyl) barbituric acid	O=C1NC(=O)C(CC=C)(CC(C)C)C(=O)N1	O=C1NC(=O)C(CC(O)CO)(CC(C)C)C(=O)N1	DB00241	DrugBank	train	O=C1NC(=O)C(CC(O)CO)(CC(C)C)C(=O)N1
Cabergoline	6-allyl-8b-carboxy-ergoline	C1N(CC=C)C2C(CC1C(=O)N(CCCN(C)C)C(=O)NCC)c1c3c(cnc3ccc1)C2	C1N(CC=C)C2C(CC1C(=O)O)c1c3c(cnc3ccc1)C2	DB00248	DrugBank	train	C1N(CC=C)C2C(CC1C(=O)O)c1c3c(cnc3ccc1)C2
Naloxone	noroxymorphone	O1C2C(=O)CCC3(O)C24c2c1c(O)ccc2CC3N(CC=C)CC4	O1C2C(=O)CCC3(O)C24c2c1c(O)ccc2CC3NCC4	DB01183	DrugBank	train	O1C2C(=O)CCC3(O)C24c2c1c(O)ccc2CC3NCC4
Oxoprenolol	Oxprenolol glucuronide	N(CC(COc1c(OCC=C)cccc1)O)C(C)C	N(CC(COc1c(OCC=C)cccc1)OC1OC(C(=O)O)C(O)C(O)C1O)C(C)C	Oxoprenolol	MetXBioDB	train	N(CC(COc1c(OCC=C)cccc1)OC1OC(C(=O)O)C(O)C(O)C1O)C(C)C
diallyl disulfide	DADSO	C(=C)CSSCC=C	C(=C)CS[SH](CC=C)O	diallyl disulfide	MetXBioDB	train	C(=C)CS[SH](CC=C)O
Rocuronium	17-desacetyl-rocuronium	C1CN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5OC(C)=O)C4CCC3CC2O)CCO1	C1CN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)CCO1	DB00728	DrugBank	train	C1CN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)CCO1
myristicin	5-allyl-1-methoxy-2,3-dihydroxybenzene	c1(CC=C)cc(OC)c2c(c1)OCO2	c1(CC=C)cc(O)c(O)c(OC)c1	myristicin	MetXBioDB	train	c1(CC=C)cc(O)c(O)c(OC)c1
Magnolol		c1c(CC=C)ccc(O)c1-c1cc(CC=C)ccc1O	c1c(CC=C)ccc(O)c1-c1cc(CC=C)ccc1OC1OC(C(=O)O)C(O)C(O)C1O	Magnolol	MetXBioDB	train	c1c(CC=C)ccc(O)c1-c1cc(CC=C)ccc1OC1OC(C(=O)O)C(O)C(O)C1O
eugenol	Hydroxychavicol	c1(CC=C)ccc(O)c(OC)c1	c1(CC=C)ccc(O)c(O)c1	eugenol	MetXBioDB	train	c1(CC=C)ccc(O)c(O)c1
methyleugenol	1Ã¢â‚¬Ëœ-hydroxylate methyleugenol	O(c1ccc(CC=C)cc1OC)C	O(c1ccc(C(C=C)O)cc1OC)C	methyleugenol	MetXBioDB	train	O(c1ccc(C(C=C)O)cc1OC)C
Acalabrutinib	Acalabrutinib M27 Metabolite (ACP-5862)	c1(NC(c2ccc(-c3nc(C4N(C(C#CC)=O)CCC4)n4c3c(N)ncc4)cc2)=O)ccccn1	c1(NC(c2ccc(-c3nc(C(CCCNC(C#CC)=O)=O)n4c3c(N)ncc4)cc2)=O)ccccn1	DB11703	DrugBank	train	c1(NC(c2ccc(-c3nc(C(CCCNC(C#CC)=O)=O)n4c3c(N)ncc4)cc2)=O)ccccn1
Acalabrutinib	Acalabrutinib M14 Metabolite (ACP-5825)	c1cc(NC(c2ccc(-c3nc(C4N(C(C#CC)=O)CCC4)n4c3c(N)ncc4)cc2)=O)ncc1	c1cc(NC(c2ccc(-c3nc(C4N(C(C#CC)=O)CCC4O)n4c3c(N)ncc4)cc2)=O)ncc1	DB11703	DrugBank	train	c1cc(NC(c2ccc(-c3nc(C4N(C(C#CC)=O)CCC4O)n4c3c(N)ncc4)cc2)=O)ncc1
Acalabrutinib M27 Metabolite (ACP-5862)	Acalabrutinib M16 Metabolite	N(C(C#CC)=O)CCCC(c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)=O	N(C(C#CC)=O)CCCC(c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)O	DB11703	DrugBank	train	N(C(C#CC)=O)CCCC(c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)O
Mifepristone	Monodemethylated mifepristone	c1cc(C2CC3(C)C(C#CC)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)ccc1N(C)C	c1cc(C2CC3(C)C(C#CC)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)ccc1NC	DB00834	Both	train	c1cc(C2CC3(C)C(C#CC)(O)CCC3C3C2=C2C(=CC(=O)CC2)CC3)ccc1NC
Monodemethylated mifepristone	Didemethylated mifepristone	CC12C(C#CC)(O)CCC1C1C(=C3C(=CC(=O)CC3)CC1)C(c1ccc(NC)cc1)C2	CC12C(C#CC)(O)CCC1C1C(=C3C(=CC(=O)CC3)CC1)C(c1ccc(N)cc1)C2	mifepristone	MetXBioDB	train	CC12C(C#CC)(O)CCC1C1C(=C3C(=CC(=O)CC3)CC1)C(c1ccc(N)cc1)C2
Dinor-iloprost	Tetranor-iloprost	OC(C(CC#CC)C)C=CC1C(O)CC2C1CC(=CCC(=O)O)C2	OC(C(CC#CC)C)C=CC1C(O)CC2C1CC(C(=O)O)C2	DB01088	DrugBank	train	OC(C(CC#CC)C)C=CC1C(O)CC2C1CC(C(=O)O)C2
Iloprost	Dinor-iloprost	C1C2C(C=CC(C(CC#CC)C)O)C(O)CC2CC1=CCCCC(=O)O	C1C2C(C=CC(C(CC#CC)C)O)C(O)CC2CC1=CCC(=O)O	DB01088	DrugBank	train	C1C2C(C=CC(C(CC#CC)C)O)C(O)CC2CC1=CCC(=O)O
Linagliptin CD10604	Linagliptin CD1790	Cn1c2nc(N3CCCC(=O)C3)n(CC#CC)c2c(=O)n(Cc2nc(C)c3c(n2)cccc3)c1=O	Cn1c2nc(N3CCCC(O)C3)n(CC#CC)c2c(=O)n(Cc2nc(C)c3c(n2)cccc3)c1=O	DB08882	DrugBank	train	Cn1c2nc(N3CCCC(O)C3)n(CC#CC)c2c(=O)n(Cc2nc(C)c3c(n2)cccc3)c1=O
Linagliptin M515(1)	Linagliptin M531(1)	n1(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(N3CCCC(NC(C)=O)C3)nc2n(C)c1=O	n1(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CCO)c(N3CCCC(NC(C)=O)C3)nc2n(C)c1=O	DB08882	DrugBank	train	n1(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CCO)c(N3CCCC(NC(C)=O)C3)nc2n(C)c1=O
Linagliptin CD1790	Linagliptin M490(1)	C1N(c2n(CC#CC)c3c(n2)n(C)c(=O)n(Cc2nc(C)c4c(n2)cccc4)c3=O)CC(O)CC1	C1N(c2n(CC#CCO)c3c(n2)n(C)c(=O)n(Cc2nc(C)c4c(n2)cccc4)c3=O)CC(O)CC1	DB08882	DrugBank	train	C1N(c2n(CC#CCO)c3c(n2)n(C)c(=O)n(Cc2nc(C)c4c(n2)cccc4)c3=O)CC(O)CC1
Linagliptin M504(2)	Linagliptin M476(1)	C(C#CC)n1c(NCCCC(=O)C(=O)O)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C	C(C#CC)n1c(NCCCC(=O)O)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C	DB08882	DrugBank	train	C(C#CC)n1c(NCCCC(=O)O)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C
Linagliptin M506(1)	Linagliptin M504(2)	c12c(c(C)nc(Cn3c(=O)c4n(CC#CC)c(NCCCC(C(=O)O)O)nc4n(C)c3=O)n1)cccc2	c12c(c(C)nc(Cn3c(=O)c4n(CC#CC)c(NCCCC(C(=O)O)=O)nc4n(C)c3=O)n1)cccc2	DB08882	DrugBank	train	c12c(c(C)nc(Cn3c(=O)c4n(CC#CC)c(NCCCC(C(=O)O)=O)nc4n(C)c3=O)n1)cccc2
Acalabrutinib M7 Metabolite (ACP-5531)	Acalabrutinib M10 Metabolite (ACP-5461)	C1CCN(C(C=C(C)SCC(N)C(=O)NCC(=O)O)=O)C1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N	C1CCN(C(C=C(C)SCC(N)C(=O)O)=O)C1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N	DB11703	DrugBank	train	C1CCN(C(C=C(C)SCC(N)C(=O)O)=O)C1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N
Mupirocin	Monic acid	O(C(C=C(C)CC1C(O)C(O)C(CC2OC2C(C)C(C)O)CO1)=O)CCCCCCCCC(=O)O	OC(C=C(C)CC1C(O)C(O)C(CC2OC2C(C)C(C)O)CC1)=O	DB00410	DrugBank	train	OC(C=C(C)CC1C(O)C(O)C(CC2OC2C(C)C(C)O)CC1)=O
