parent_name	child_name	reactants	products	origin	source	set	possible_products
Desogestrel	16-hydroxy-desogestrel	C1C2(CC)C(C#C)(O)CCC2C2C(C1=C)C1C(=CCCC1)CC2	C1C2(CC)C(C#C)(O)C(O)CC2C2C(C1=C)C1C(=CCCC1)CC2	DB00304	DrugBank	train	C1C2(CC)C(C#C)(O)C(O)CC2C2C(C1=C)C1C(=CCCC1)CC2
Desogestrel	Desogestrel 17-O-glucuronide	C12C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC1=CCCC2	C12C3C(=C)CC4(CC)C(C#C)(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC1=CCCC2	Desogestrel	MetXBioDB	train	C12C3C(=C)CC4(CC)C(C#C)(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC1=CCCC2
Danazol	Ethisterone	C#CC1(O)CCC2C1(C)CCC1C2CCC2=Cc3c(cno3)CC12C	C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12C	DB01406	DrugBank	train	C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12C
5α-dihydronorethisterone	3α,5α-tetrahydronorethisterone	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(=O)CC2	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(O)CC2	DB00717	DrugBank	train	C1C(C#C)(O)C2(C)C(C1)C1C(CC2)C2C(CC1)CC(O)CC2
Quinestrol	Ethinylestradiol	C12(C)C(C#C)(O)CCC1C1C(CC2)c2c(cc(OC3CCCC3)cc2)CC1	C12(C)C(C#C)(O)CCC1C1C(CC2)c2c(cc(O)cc2)CC1	DB04575	DrugBank	train	C12(C)C(C#C)(O)CCC1C1C(CC2)c2c(cc(O)cc2)CC1
Norgestimate	17-desacetylnorgestimate	C1=C2CCC3C4CCC(C#C)(OC(C)=O)C4(CC)CCC3C2CCC1=NO	C1=C2CCC3C4CCC(C#C)(O)C4(CC)CCC3C2CCC1=NO	DB00957	DrugBank	train	C1=C2CCC3C4CCC(C#C)(O)C4(CC)CCC3C2CCC1=NO
Erlotinib M16		c1(O)c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc1	c1(OS(=O)(=O)O)c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc1	Erlotinib M16	MetXBioDB	train	c1(OS(=O)(=O)O)c(C#C)cc(Nc2ncnc3c2cc(OCCOC)c(OCCOC)c3)cc1
Erlotinib M14		C(COc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)O	C(COc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)OC1OC(C(=O)O)C(O)C(O)C1O	Erlotinib M14	MetXBioDB	train	C(COc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)OC1OC(C(=O)O)C(O)C(O)C1O
Erlotinib M18		c1nc(Nc2cccc(C#C)c2)c2c(n1)cc(OCCOC)c(O)c2	c1nc(Nc2cccc(C#C)c2)c2c(n1)cc(OCCOC)c(OC1OC(C(=O)O)C(O)C(O)C1O)c2	Erlotinib M18	MetXBioDB	train	c1nc(Nc2cccc(C#C)c2)c2c(n1)cc(OCCOC)c(OC1OC(C(=O)O)C(O)C(O)C1O)c2
Erlotinib	2-(4-(3-Ethynylanilino)-6-(2-methoxyethoxy)quinazolin-7-yl)oxyethanol	O(CCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1)C	OCCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1	DB00530	Both	train	OCCOc1c(OCCOC)cc2c(Nc3cccc(C#C)c3)ncnc2c1
Cinnarizine	Cinnarizine metabolite M2	C1N(CC=Cc2ccccc2)CCN(C(c2ccccc2)c2ccccc2)C1	C1N(CC=Cc2ccc(O)cc2)CCN(C(c2ccccc2)c2ccccc2)C1	DB00568	Both	train	C1N(CC=Cc2ccc(O)cc2)CCN(C(c2ccccc2)c2ccccc2)C1
cinnarizine	Cinnamaldehyde	c1c(C=CCN2CCN(C(c3ccccc3)c3ccccc3)CC2)cccc1	c1c(C=CC=O)cccc1	cinnarizine	MetXBioDB	train	c1c(C=CC=O)cccc1
B[a]P 7,8-epoxide		c1cc2c3c(cc4c2c2c1cccc2cc4)C1C(C=C3)O1	c1cc2c3c(cc4c2c2c1cccc2cc4)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C3	B[a]P 7,8-epoxide	MetXBioDB	train	c1cc2c3c(cc4c2c2c1cccc2cc4)C(OSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C(O)C=C3
VCH-1,2-epoxide	VCH-diepoxide	C1C(C2CO2)CC=CC1	C1C(C2CO2)CCC2C1O2	4-VINYLCYCLOHEXENE	MetXBioDB	train	C1C(C2CO2)CCC2C1O2
Pacritinib	Pacritinib M2 metabolite	c1(OCCN2CCCC2)ccc2cc1COCC=CCOCc1cc(ccc1)-c1nc(ncc1)N2	c1(O)ccc2cc1COCC=CCOCc1cc(ccc1)-c1nc(ncc1)N2	DB11697	DrugBank	train	c1(O)ccc2cc1COCC=CCOCc1cc(ccc1)-c1nc(ncc1)N2
Perhexiline	cis-Hydroxy Perhexiline	C1CCC(C(C2CCCCC2)CC2CCCCN2)CC1	C1CCC(C(C2CCC(O)CC2)CC2CCCCN2)CC1	DB01074	Both	train	C1CCC(C(C2CCC(O)CC2)CC2CCCCN2)CC1
sparteine		C12CC(C3N(CCCC3)C1)CN1C2CCCC1	C12CC(C3N(C(O)CCC3)C1)CN1C2CCCC1	sparteine	MetXBioDB	train	C12CC(C3N(C(O)CCC3)C1)CN1C2CCCC1
brostallicin	glutathionyl-brostallicin	C(c1cc(NC(C(Br)=C)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1	C(c1cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1	brostallicin	MetXBioDB	train	C(c1cc(NC(C(Br)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)=O)cn1C)(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCNC(=N)N)n(C)c3)n(C)c2)n(C)c1
	4-hydroxyphenyl-2-propenoic acid	c1c(O)ccc(C(=C)C(=O)c2c(O)cc(O)cc2O)c1	c1c(O)ccc(C(=C)C(=O)O)c1	Genistein	MetXBioDB	train	c1c(O)ccc(C(=C)C(=O)O)c1
(4R)-limonene	Carveol	C1(C(=C)C)CC=C(C)CC1	C1(C(=C)C)CC=C(C)C(O)C1	DB08921	Both	train	C1(C(=C)C)CC=C(C)C(O)C1
zinc8660420		c12c(cc(OC)c(OC)c1)C1C(Oc3c4c(ccc3C1=O)OC(C(=C)C)C4)CO2	c12c(cc(OC)c(OC)c1)C1(O)C(Oc3c4c(ccc3C1=O)OC(C(=C)C)C4)CO2	zinc8660420	MetXBioDB	train	c12c(cc(OC)c(OC)c1)C1(O)C(Oc3c4c(ccc3C1=O)OC(C(=C)C)C4)CO2
Calcitriol	Calcitroic acid	C1CCC(=CC=C2C(=C)C(O)CC(O)C2)C2C1(C)C(C(C)CCCC(C)(C)O)CC2	C1CCC(=CC=C2C(=C)C(O)CC(O)C2)C2C1(C)C(C(C)CC(=O)O)CC2	DB00169	DrugBank	train	C1CCC(=CC=C2C(=C)C(O)CC(O)C2)C2C1(C)C(C(C)CC(=O)O)CC2
diclofenac o-imine methine	2-(2,6-dichlorophenylamino)-benzyl-S-thioether glutathione	Clc1c(N=C2C(=C)C=CC=C2)c(Cl)ccc1	Clc1c(N=C2C(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C=CC=C2)c(Cl)ccc1	DB00586	DrugBank	train	Clc1c(N=C2C(CSCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)C=CC=C2)c(Cl)ccc1
riddelliine		C1(=CC)CC(=C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C32	C1(=CC)CC(=C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C32O	riddelliine	MetXBioDB	train	C1(=CC)CC(=C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C32O
Segesterone acetate	20α­-dihydrosegesterone acetate	CC(C1(OC(C)=O)C(=C)CC2C1(C)CCC1C2CCC2=CC(=O)CCC12)=O	CC(C1(OC(C)=O)C(=C)CC2C1(C)CCC1C2CCC2C1CCC(=O)C2)O	DB14583	DrugBank	train	CC(C1(OC(C)=O)C(=C)CC2C1(C)CCC1C2CCC2C1CCC(=O)C2)O
Segesterone acetate	4, 5-dihydro-17α-deacetylsegesterone acetate	C12CCC3(C)C(CC(=C)C3(OC(C)=O)C(C)=O)C1CCC1=CC(=O)CCC21	C12CCC3(C)C(CC(=C)C3(O)C(C)=O)C1CCC1C2CCC(=O)C1	DB14583	DrugBank	train	C12CCC3(C)C(CC(=C)C3(O)C(C)=O)C1CCC1C2CCC(=O)C1
25-hydroxyvitamin D	Calcitrol	CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)C=CC(C)C(C)(C)O	CC12CCCC(=CC=C3C(=C)C(O)CC(O)C3)C1CCC2C(C)C=CC(C)C(C)(C)O	DB00153	DrugBank	train	CC12CCCC(=CC=C3C(=C)C(O)CC(O)C3)C1CCC2C(C)C=CC(C)C(C)(C)O
Ergocalciferol	24(R),25dihydroxyvitamin D	CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)C=CC(C(C)C)C	CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)C=CC(C(C)(C)O)O	DB00153	DrugBank	train	CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)C=CC(C(C)(C)O)O
Calcifediol	Calcitriol	C12C(=CC=C3C(=C)CCC(O)C3)CCCC1(C)C(C(C)CCCC(C)(C)O)CC2	C12C(=CC=C3C(=C)C(O)CC(O)C3)CCCC1(C)C(C(C)CCCC(C)(C)O)CC2	DB00169	DrugBank	train	C12C(=CC=C3C(=C)C(O)CC(O)C3)CCCC1(C)C(C(C)CCCC(C)(C)O)CC2
Cholecalciferol	Calcifediol	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)C	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)(C)O	DB00169	DrugBank	train	C12(C)CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)(C)O
Nornalmefene	Nornalmefene 3-O-sulfate	c1cc2c3c(c1O)OC1C(=C)CCC4(O)C13CCNC4C2	c1cc2c3c(c1OS(=O)(=O)O)OC1C(=C)CCC4(O)C13CCNC4C2	DB06230	DrugBank	train	c1cc2c3c(c1OS(=O)(=O)O)OC1C(=C)CCC4(O)C13CCNC4C2
Nalmefene	Nalmefene 3-O-sulfate	C1(=C)CCC2(O)C34C1Oc1c3c(ccc1O)CC2N(CC1CC1)CC4	C1(=C)CCC2(O)C34C1Oc1c3c(ccc1OS(=O)(=O)O)CC2N(CC1CC1)CC4	DB06230	DrugBank	train	C1(=C)CCC2(O)C34C1Oc1c3c(ccc1OS(=O)(=O)O)CC2N(CC1CC1)CC4
PCI-45752 (M34)	M24	Nc1c2c(-c3ccc(Oc4ccccc4)cc3)nn(C(CNC(C=C)=O)CCCO)c2ncn1	Nc1c2c(-c3ccc(Oc4ccccc4)cc3)nn(C(CNC(C(O)O)=O)CCCO)c2ncn1	DB09053	DrugBank	train	Nc1c2c(-c3ccc(Oc4ccccc4)cc3)nn(C(CNC(C(O)O)=O)CCCO)c2ncn1
Bilirubin	6-[3-[2-[[3-(2-carboxyethyl)-5-[(Z)-(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoyloxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	C(C1=C(C)C(=Cc2nc(Cc3nc(C=C4C(C=C)=C(C)C(O)=N4)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)N=C1O)=C	C(C1=C(C)C(=Cc2nc(Cc3nc(C=C4C(C=C)=C(C)C(O)=N4)c(C)c3CCC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)c(CCC(=O)O)c2C)N=C1O)=C	Bilirubin	MetXBioDB	train	C(C1=C(C)C(=Cc2nc(Cc3nc(C=C4C(C=C)=C(C)C(O)=N4)c(C)c3CCC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)c(CCC(=O)O)c2C)N=C1O)=C
BMS-798430	BMS-558364	C1(S(NC(C2(NC(=O)C3CC(Oc4ncc(O)c5ccc(Cl)cc45)CN3C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(C=C)C2)=O)(=O)=O)CC1	C1(S(NC(C2(NC(=O)C3CC(O)CN3C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(C=C)C2)=O)(=O)=O)CC1	DB11586	DrugBank	train	C1(S(NC(C2(NC(=O)C3CC(O)CN3C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(C=C)C2)=O)(=O)=O)CC1
Asunaprevir	Asunaprevir M10	N1(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1	N1(C(=O)C(N)C(C)(C)C)C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1	DB11586	DrugBank	train	N1(C(=O)C(N)C(C)(C)C)C(C(NC2(C(=O)NS(=O)(=O)C3CC3)C(C=C)C2)=O)CC(Oc2ncc(OC)c3c2cc(Cl)cc3)C1
cyclohexene, 4-ethenyl-, (s)-		C1=CCCC(C=C)C1	C1=CCCC(C2CO2)C1	cyclohexene, 4-ethenyl-, (s)-	MetXBioDB	train	C1=CCCC(C2CO2)C1
VCH-7,8-epoxide	VCH-diepoxide	C1CC(C=C)CC2C1O2	C1CC(C2CO2)CC2C1O2	4-VINYLCYCLOHEXENE	MetXBioDB	train	C1CC(C2CO2)CC2C1O2
Quinine	3-hydroxyquinine	O(c1cc2c(C(C3N4CC(C=C)C(CC4)C3)O)ccnc2cc1)C	O(c1cc2c(C(C3N4CC(C=C)(O)C(CC4)C3)O)ccnc2cc1)C	DB00468	Both	train	O(c1cc2c(C(C3N4CC(C=C)(O)C(CC4)C3)O)ccnc2cc1)C
2,4-diene-VPA		O=C(C(=CC=C)CCC)O	O=C(C(=CC=C)CCC)OC1OC(C(=O)O)C(O)C(O)C1O	2,4-diene-VPA	MetXBioDB	train	O=C(C(=CC=C)CCC)OC1OC(C(=O)O)C(O)C(O)C1O
4-ene-Valproic acid	2,4-Diene-VPA	C(CCC)(C(=O)O)CC=C	C(CCC)(C(=O)O)=CC=C	DB00313	DrugBank	train	C(CCC)(C(=O)O)=CC=C
Butalbital	5-isobutyl-5-(2,3-dihydroxypropyl) barbituric acid	C(CC1(CC=C)C(=O)NC(=O)NC1=O)(C)C	C(CC1(CC(O)CO)C(=O)NC(=O)NC1=O)(C)C	DB00241	DrugBank	train	C(CC1(CC(O)CO)C(=O)NC(=O)NC1=O)(C)C
Cabergoline	6-allyl-8b-carboxy-ergoline	C1(C(=O)N(CCCN(C)C)C(=O)NCC)CN(CC=C)C2C(C1)c1c3c(cnc3ccc1)C2	C1(C(=O)O)CN(CC=C)C2C(C1)c1c3c(cnc3ccc1)C2	DB00248	DrugBank	train	C1(C(=O)O)CN(CC=C)C2C(C1)c1c3c(cnc3ccc1)C2
Naloxone	Naloxol	C1C2(O)C34CCN(CC=C)C2Cc2c3c(c(O)cc2)OC4C(=O)C1	C1C2(O)C34CCN(CC=C)C2Cc2c3c(c(O)cc2)OC4C(O)C1	DB01183	DrugBank	train	C1C2(O)C34CCN(CC=C)C2Cc2c3c(c(O)cc2)OC4C(O)C1
Oxoprenolol	Oxprenolol glucuronide	CC(NCC(COc1c(OCC=C)cccc1)O)C	CC(NCC(COc1c(OCC=C)cccc1)OC1OC(C(=O)O)C(O)C(O)C1O)C	Oxoprenolol	MetXBioDB	train	CC(NCC(COc1c(OCC=C)cccc1)OC1OC(C(=O)O)C(O)C(O)C1O)C
diallyl disulfide	DADSO	S(SCC=C)CC=C	[SH](SCC=C)(CC=C)O	diallyl disulfide	MetXBioDB	train	[SH](SCC=C)(CC=C)O
Rocuronium	17-desacetyl-rocuronium	O1CCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5OC(C)=O)C4CCC3CC2O)CC1	O1CCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)CC1	DB00728	DrugBank	train	O1CCN(C2CC3(C)C4CCC5(C)C(CC(N6(CC=C)CCCC6)C5O)C4CCC3CC2O)CC1
myristicin	5-allyl-1-methoxy-2,3-dihydroxybenzene	c1(CC=C)cc(OC)c2c(c1)OCO2	c1(CC=C)cc(O)c(O)c(OC)c1	myristicin	MetXBioDB	train	c1(CC=C)cc(O)c(O)c(OC)c1
Magnolol		c1(-c2cc(CC=C)ccc2O)c(O)ccc(CC=C)c1	c1(-c2cc(CC=C)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c(O)ccc(CC=C)c1	Magnolol	MetXBioDB	train	c1(-c2cc(CC=C)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c(O)ccc(CC=C)c1
eugenol	Hydroxychavicol	C(C=C)c1ccc(O)c(OC)c1	C(C=C)c1ccc(O)c(O)c1	eugenol	MetXBioDB	train	C(C=C)c1ccc(O)c(O)c1
methyleugenol	1Ã¢â‚¬Ëœ-hydroxylate methyleugenol	c1(CC=C)ccc(OC)c(OC)c1	c1(C(C=C)O)ccc(OC)c(OC)c1	methyleugenol	MetXBioDB	train	c1(C(C=C)O)ccc(OC)c(OC)c1
Acalabrutinib	Acalabrutinib M2 Metabolite	C1CCN(C(C#CC)=O)C1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N	C(CCNC(C#CC)=O)C(c1nc(-c2ccc(C(=O)O)cc2)c2n1ccnc2N)=O	DB11703	DrugBank	train	C(CCNC(C#CC)=O)C(c1nc(-c2ccc(C(=O)O)cc2)c2n1ccnc2N)=O
Acalabrutinib	Acalabrutinib M37 Metabolite	c1c(-c2nc(C3N(C(C#CC)=O)CCC3)n3c2c(N)ncc3)ccc(C(=O)Nc2ccccn2)c1	c1c(-c2nc(C3N(C(C#CC)=O)CCC3)nc2C(N)=N)ccc(C(=O)Nc2ccccn2)c1	DB11703	DrugBank	train	c1c(-c2nc(C3N(C(C#CC)=O)CCC3)nc2C(N)=N)ccc(C(=O)Nc2ccccn2)c1
Acalabrutinib M27 Metabolite (ACP-5862)	Acalabrutinib M3 Metabolite	O=C(c1n2ccnc(N)c2c(-c2ccc(C(=O)Nc3ccccn3)cc2)n1)CCCNC(C#CC)=O	O=C(c1n2ccnc(N)c2c(-c2ccc(C(=O)Nc3ccccn3)cc2)n1)CCC(=O)O	DB11703	DrugBank	train	O=C(c1n2ccnc(N)c2c(-c2ccc(C(=O)Nc3ccccn3)cc2)n1)CCC(=O)O
Mifepristone	Monodemethylated mifepristone	O=C1CCC2=C3C(c4ccc(N(C)C)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC2=C1	O=C1CCC2=C3C(c4ccc(NC)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC2=C1	DB00834	Both	train	O=C1CCC2=C3C(c4ccc(NC)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC2=C1
Monodemethylated mifepristone	Didemethylated mifepristone	C12=C3C(c4ccc(NC)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC1=CC(=O)CC2	C12=C3C(c4ccc(N)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC1=CC(=O)CC2	mifepristone	MetXBioDB	train	C12=C3C(c4ccc(N)cc4)CC4(C)C(C#CC)(O)CCC4C3CCC1=CC(=O)CC2
Dinor-iloprost	Tetranor-iloprost	CC(CC#CC)C(O)C=CC1C(O)CC2C1CC(=CCC(=O)O)C2	CC(CC#CC)C(O)C=CC1C(O)CC2C1CC(C(=O)O)C2	DB01088	DrugBank	train	CC(CC#CC)C(O)C=CC1C(O)CC2C1CC(C(=O)O)C2
Iloprost	Dinor-iloprost	C(C=C1CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1)CCC(=O)O	C(C=C1CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1)C(=O)O	DB01088	DrugBank	train	C(C=C1CC2C(C=CC(C(CC#CC)C)O)C(O)CC2C1)C(=O)O
Linagliptin CD10604	Linagliptin CD1790	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(=O)C4)nc3n(C)c2=O)nc(C)c2c(n1)cccc2	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(O)C4)nc3n(C)c2=O)nc(C)c2c(n1)cccc2	DB08882	DrugBank	train	c1(Cn2c(=O)c3n(CC#CC)c(N4CCCC(O)C4)nc3n(C)c2=O)nc(C)c2c(n1)cccc2
Linagliptin M515(1)	Linagliptin M531(1)	c1c2c(c(C)nc(Cn3c(=O)c4n(CC#CC)c(N5CCCC(NC(C)=O)C5)nc4n(C)c3=O)n2)ccc1	c1c2c(c(C)nc(Cn3c(=O)c4n(CC#CCO)c(N5CCCC(NC(C)=O)C5)nc4n(C)c3=O)n2)ccc1	DB08882	DrugBank	train	c1c2c(c(C)nc(Cn3c(=O)c4n(CC#CCO)c(N5CCCC(NC(C)=O)C5)nc4n(C)c3=O)n2)ccc1
Linagliptin CD1790	Linagliptin M490(1)	n1(CC#CC)c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C	n1(CC#CCO)c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C	DB08882	DrugBank	train	n1(CC#CCO)c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3c(n1)cccc3)c(=O)n2C
Linagliptin M504(2)	Linagliptin M476(1)	n1c(NCCCC(=O)C(=O)O)n(CC#CC)c2c1n(C)c(=O)n(Cc1nc(C)c3c(n1)cccc3)c2=O	n1c(NCCCC(=O)O)n(CC#CC)c2c1n(C)c(=O)n(Cc1nc(C)c3c(n1)cccc3)c2=O	DB08882	DrugBank	train	n1c(NCCCC(=O)O)n(CC#CC)c2c1n(C)c(=O)n(Cc1nc(C)c3c(n1)cccc3)c2=O
Linagliptin M506(1)	Linagliptin M504(2)	O=c1n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(NCCCC(C(=O)O)O)nc2n1C	O=c1n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(NCCCC(C(=O)O)=O)nc2n1C	DB08882	DrugBank	train	O=c1n(Cc2nc(C)c3c(n2)cccc3)c(=O)c2n(CC#CC)c(NCCCC(C(=O)O)=O)nc2n1C
Acalabrutinib M7 Metabolite (ACP-5531)	Acalabrutinib M10 Metabolite (ACP-5461)	CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)SCC(N)C(=O)NCC(=O)O	CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)SCC(N)C(=O)O	DB11703	DrugBank	train	CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2n1ccnc2N)SCC(N)C(=O)O
