parent_id,parent_name,child_id,child_name,enzymes,parent_smiles,child_smiles
DBMET00351,para-hydroxyatorvastatin,DBMET01266,para-hydroxyatorvastatin lactone,,CC(C)c1c(C(=O)Nc2ccc(O)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,CC(C)c1c(C(=O)Nc2ccc(O)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O
DBMET00352,ortho-hydroxyatorvastatin,DBMET01267,ortho-hydroxyatorvastatin lactone,,CC(C)c1c(C(=O)Nc2ccccc2O)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,CC(C)c1c(C(=O)Nc2ccccc2O)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O
DB01171,Moclobemide,DBMET02153,Moclobemide M1,,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
DB01192,Oxymorphone,DBMET00321,oxymorphone,Cytochrome P450 2D6,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
DB01409,Tiotropium,DBMET02592,Dithienylglycolic Acid,,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12
DB05015,Belinostat,DBMET01443,Belinostat glucuronide,UDP-glucuronosyltransferase 1A1,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
DB06217,Vernakalant,DBMET01446,RSD1385,Cytochrome P450 2D6,COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC,COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC
DB06781,Difluprednate,DBMET00837,difluoroprednisolone butyrate,,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
DB08893,Mirabegron,DBMET03330,Mirabegron M8 metabolite,,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1
DBMET03332,Mirabegron M16 metabolite,DBMET03333,Mirabegron M5 metabolite,,Nc1ccc(CCNCC(O)c2ccccc2)cc1,Nc1ccc(CCNCC(O)c2ccccc2)cc1
DB08932,Macitentan,DBMET03419,M6,"Cytochrome P450 3A4, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 2C19",CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1
DB09053,Ibrutinib,DBMET02023,PCI-45773 (M35),,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
DBMET02025,PCI-45741 (M25),DBMET02026,M20,,C=CC(=O)NCC(CCC(=O)O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,C=CC(=O)NCC(CCC(=O)O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
DBMET02027,PCI-45752 (M34),DBMET02024,M17,,C=CC(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,C=CC(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
DB09068,Vortioxetine,DBMET01391,Vortioxetine Metabolite 2,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2B6",Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
DB09081,Idebenone,DBMET01521,QS10,,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
DBMET01937,N-(2-hydroxymethyl-3-chlorophenyl)-anthranilic acid,DBMET01940,N-(2-hydroxymethyl-3-chlorophenyl)-4-hydroxy-anthranilic acid,,O=C(OC1OC(O)C(O)C(O)C1O)c1ccccc1Nc1cccc(Cl)c1CO,O=C(OC1OC(O)C(O)C(O)C1O)c1ccccc1Nc1cccc(Cl)c1CO
DBMET00596,25-Hydroxyvitamin D2-25-glucuronide,DBMET00608,25-Hydroxyvitamin D2 25-(beta-glucuronide),"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)OC1OC(C(=O)O)C(O)C(O)C1O,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)OC1OC(C(=O)O)C(O)C(O)C1O
DB11282,Diethyltoluamide,DB11282,Diethyltoluamide,"Cytochrome P450 1A1, Cytochrome P450 2B6, Cytochrome P450 2D6, Cytochrome P450 2E1",CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1
DB03501,Galactose-uridine-5'-diphosphate,DB01861,Uridine diphosphate glucose,UDP-galactose 4-epimerase,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
DB11751,Cabotegravir,DBMET03246,Cabotegravir M1 Metabolite,"UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 1A1",CC1COC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,CC1COC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12
DB14510,Ferrous cation,DB14510,Ferrous cation,Ferritin heavy chain,[Fe+2],[Fe+2]
DB15456,Vericiguat,DBMET03244,Vericiguat N-glucuronide,"UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 1A1",COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N
DB15694,Cedazuridine,DBMET03186,"(4S)-2′-Deoxy-2′,2′-difluoro-3,4,5,6-tetrahydrouridine",,O=C1NC(O)CCN1C1OC(CO)C(O)C1(F)F,O=C1NC(O)CCN1C1OC(CO)C(O)C1(F)F
DB16217,Leniolisib,DBMET03652,Leniolisib M7 metabolite,"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 1A2, Cytochrome P450 2D6",CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
