parent_id,parent_name,child_id,child_name,enzymes,parent_smiles,child_smiles
DB00184,Nicotine,DBMET00516,Nicotine imine,"Cytochrome P450 2A6, Cytochrome P450 2B6",CN1CCCC1c1cccnc1,C[N+]1=CCCC1c1cccnc1
DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion","Cytochrome P450 2A6, Cytochrome P450 2B6, Cytochrome P450 3A4",CN1CCCC1c1cccnc1,C[N+]1=CCCC1c1cccnc1
DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide,"Cytochrome P450 3A4, Cytochrome P450 2D6",CC1OC2(CS1)CN1CCC2CC1,CC1OC2(CS1)CN1CCC2CC1
DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide,Cytochrome P450 3A4,CC1OC2(CS1)CN1CCC2CC1,CC1OC2(CS1)CN1CCC2CC1
DB00185,Cevimeline,DBMET00433,cevimeline N-oxide,Flavin-containing monooxygenase 1,CC1OC2(CS1)CN1CCC2CC1,CC1OC2(CS1)CN1CCC2CC1
DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 3A4",CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 3A4",CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)(O)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)(O)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)C(O)C(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)C(O)C(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)C(O)C(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28,,CC(C)CC(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1,CC(C)C(O)C(O)NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1
DB00277,Theophylline,DBMET00271,1-Methylxanthine,Cytochrome P450 1A2,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c2nc[nH]c2c1=O
DB00215,Citalopram,DBMET03704,desmethylcitalopram,"Cytochrome P450 2C19, Cytochrome P450 3A4",CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB00215,Citalopram,DBMET03706,Citalopram propionic aldehyde,"Amine oxidase [flavin-containing] A, Amine oxidase [flavin-containing] B",CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1
DB00215,Citalopram,DBMET03708,citalopram N-oxide,Cytochrome P450 2D6,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C[N+](C)([O-])CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DBMET03704,desmethylcitalopram,DBMET03705,didemethylcitalopram,Cytochrome P450 2D6,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1
DBMET03704,desmethylcitalopram,DBMET03706,Citalopram propionic aldehyde,"Amine oxidase [flavin-containing] A, Amine oxidase [flavin-containing] B",CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1
DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,Aldehyde oxidase,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1,N#Cc1ccc2c(c1)COC2(CCC(=O)O)c1ccc(F)cc1
DBMET03705,didemethylcitalopram,DBMET03706,Citalopram propionic aldehyde,"Amine oxidase [flavin-containing] A, Amine oxidase [flavin-containing] B",N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1
DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,Aldehyde oxidase,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1,N#Cc1ccc2c(c1)COC2(CCC(=O)O)c1ccc(F)cc1
DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,Aldehyde oxidase,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1,N#Cc1ccc2c(c1)COC2(CCC(=O)O)c1ccc(F)cc1
DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine,"Cytochrome P450 3A4, Cytochrome P450 3A5",Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1cc(O)nc2c1N=C(O)c1cccnc1N2C1CC1
DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 3A4",Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1ccnc2c1N=C(O)c1cc(O)cnc1N2C1CC1
DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine,,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1c(O)cnc2c1N=C(O)c1cccnc1N2C1CC1
DB00238,Nevirapine,DBMET01713,2-OH-nevirapine,Cytochrome P450 3A4,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1cc(O)nc2c1N=C(O)c1cccnc1N2C1CC1
DB00238,Nevirapine,DBMET01714,8-OH-nevirapine,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 3A4",Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1ccnc2c1N=C(O)c1cc(O)cnc1N2C1CC1
DB00238,Nevirapine,DBMET01715,3-OH-nevirapine,Cytochrome P450 2B6,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1c(O)cnc2c1N=C(O)c1cccnc1N2C1CC1
DB00243,Ranolazine,DBMET02244,CVT-2738,"Cytochrome P450 3A4, Cytochrome P450 2D6",COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,Cc1cccc(C)c1NC(=O)CN1CCNCC1
DB00243,Ranolazine,DBMET02247,CVT-2513,,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,Cc1cccc(C)c1NC(=O)CN1CCNCC1
DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),Arylamine N-acetyltransferase 1,Nc1ccc(O)c(C(=O)O)c1,CC(=O)Nc1ccc(O)c(C(=O)O)c1
DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,NAD(P)H dehydrogenase [quinone] 1,O=C1NC(=O)C(c2ccccc2)(c2ccc(O)c(O)c2)N1,O=C1NC(=O)C(C2=CC(=O)C(=O)C=C2)(c2ccccc2)N1
DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,Catechol O-methyltransferase,O=C1NC(=O)C(c2ccccc2)(c2ccc(O)c(O)c2)N1,O=Cc1cc(C2(c3ccccc3)NC(=O)NC2=O)ccc1O
DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,NAD(P)H dehydrogenase [quinone] 1,O=C1NC(=O)C(c2ccccc2)(c2ccc(O)c(O)c2)N1,O=C1NC(=O)C(C2=CC(=O)C(=O)C=C2)(c2ccccc2)N1
DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,Catechol O-methyltransferase,O=C1NC(=O)C(c2ccccc2)(c2ccc(O)c(O)c2)N1,O=Cc1cc(C2(c3ccccc3)NC(=O)NC2=O)ccc1O
DB00273,Topiramate,DBMET02909,10-hydroxy topiramate,,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,CC1(C)OC2C3OC(C)(CO)OC3COC2(COS(N)(=O)=O)O1
DB00273,Topiramate,DBMET02910,9-hydroxy topiramate,,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,CC1(C)OC2C3OC(C)(CO)OC3COC2(COS(N)(=O)=O)O1
DB00277,Theophylline,DBMET00271,1-Methylxanthine,Cytochrome P450 1A2,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c2nc[nH]c2c1=O
DB00279,Liothyronine,DBMET02273,Diiodothyronine,,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,,Cc1cccc(C)c1N,Cc1cccc(C(=O)O)c1N
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",,Cc1cccc(C)c1N,Cc1cc(O)cc(C)c1N
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,,Cc1cccc(C)c1N,Cc1cccc(C(=O)O)c1N
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,,Cc1cccc(C)c1N,Cc1cccc(C(=O)O)c1N
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",,Cc1cccc(C)c1N,Cc1cc(O)cc(C)c1N
DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",,Cc1cccc(C)c1N,Cc1cc(O)cc(C)c1N
DB06700,Desvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine","Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 2C9",CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,CNCC(c1ccc(O)cc1)C1(O)CCCCC1
DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET00958,"N,O-didesmethylvenlafaxine glucuronide",,CNCC(c1ccc(O)cc1)C1(O)CCCCC1,CNCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1
DB00295,Morphine,DB06409,Morphine glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3",CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5
DB00295,Morphine,,morphine-3-glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1",CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CCCN(C)C(CC)C1C=CC(O)C2Oc3c(OC4OC(C)C(O)C(O)C4O)cccc3C12
DBMET01176,Tenofovir Monophosphate,DBMET01177,Tenofovir Diphosphate,"Nucleoside diphosphokinase, Creatine Kinases",CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)OP(=O)(O)O,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)OP(=O)(O)OP(=O)(O)O
DB00304,Desogestrel,DBMET01366,6-alpha-hydroxydesogestrel,,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CC(O)C4=CCCCC4C3C(=C)CC21CC
DB00304,Desogestrel,DBMET01367,6-beta-hydroxydesogestrel,,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CC(O)C4=CCCCC4C3C(=C)CC21CC
DB00304,Desogestrel,DBMET01642,3-alpha-OH-desogestrel,"Cytochrome P450 2C9, Cytochrome P450 2C19",C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC
DB00304,Desogestrel,DBMET01643,3-beta-OH-desogestrel,"Cytochrome P450 2C9, Cytochrome P450 2C19",C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC
DB00304,Desogestrel,DBMET00723,3alpha-Hydroxydesogestrel,"Cytochrome P450 2C9, Cytochrome P450 2C19",C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC
DB00304,Desogestrel,DBMET00724,3beta-Hydroxydesogestrel,"Cytochrome P450 2C19, Cytochrome P450 2C9",C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC
DB00313,Valproic acid,DBMET00066,(3Z)-2-Propylpent-3-enoic acid (3Z-Ene-VPA),,CCCC(CCC)C(=O)O,CC=CC(CCC)C(=O)O
DB00313,Valproic acid,DBMET00067,(3E)-2-Propylpent-3-enoic acid (3E-Ene-VPA),,CCCC(CCC)C(=O)O,CC=CC(CCC)C(=O)O
DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,,CCCC(C(=O)O)C(O)CC,CCCC(C(=O)O)C(=O)CC
DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,,CCCC(C(=O)O)C(O)CC,CCCC(C(=O)O)C(=O)CC
DB00321,Amitriptyline,DBMET00051,E-10-Hydroxyamitriptyline,"Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 2B6",CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CC(O)c2ccccc21
DB00321,Amitriptyline,DBMET00051,E-10-Hydroxyamitriptyline,Cytochrome P450 2D6,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CC(O)c2ccccc21
DB00540,Nortriptyline,DBMET00053,Desmethylnortriptyline,Cytochrome P450 2C19,CNCCC=C1c2ccccc2CCc2ccccc21,NCCC=C1c2ccccc2CCc2ccccc21
DBMET00052,E-10-Hydroxynortriptyline,DBMET00482,E-10-Hydroxydesmethylnortriptyline,,CNCCC=C1c2ccccc2CC(O)c2ccccc21,NCCC=C1c2ccccc2CC(O)c2ccccc21
DB00327,Hydromorphone,DBMET00866,Hydromorphone-3-glucuronide,"UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 2B7",CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5
DB00328,Indomethacin,DBMET00157,Indomethacin acyl glucuronide,UDP-glucuronosyltransferase 1A1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00330,Ethambutol,DBMET03256,Ethambutol Aldehyde,,CCC(CO)NCCNC(CC)CO,CCC(CO)NCCNC(CC)CO
DBMET03256,Ethambutol Aldehyde,DBMET03257,"2,2'-(Ethylenediimino)di-butryic acid",,CCC(CO)NCCNC(CC)CO,CCC(CO)NCCNC(CC)CO
DB00333,Methadone,DBMET00181,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine","Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 2C9",CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CC=C1N(C)C(C)CC1(c1ccccc1)c1ccccc1
DB00333,Methadone,DBMET03778,"[S-(E)]-2-Ethylidene-1,5-dimethyl-3,3-diphenyl-pyrrolidine","Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 2C9",CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CC=C1N(C)C(C)CC1(c1ccccc1)c1ccccc1
DBMET01152,Thioguanosine monophosphate,DBMET01153,Methyl-thioguanosine monophosphate,Thiopurine S-methyltransferase,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,CSC1N=C(N)Nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
DBMET01152,Thioguanosine monophosphate,DBMET01154,Thioguanosine diphosphate,,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1
DBMET01154,Thioguanosine diphosphate,DBMET01155,Thioguanosine triphosphate,,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1
DBMET01154,Thioguanosine diphosphate,DBMET01156,Thiodeoxyguanosine diphosphate,,Nc1nc(=S)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1,Nc1nc(=S)c2ncn(C3CC(O)C(COP(=O)(O)OP(=O)(O)O)O3)c2[nH]1
DBMET01156,Thiodeoxyguanosine diphosphate,DBMET01157,Thiodeoxyguanosine triphosphate,,Nc1nc(=S)c2ncn(C3CC(O)C(COP(=O)(O)OP(=O)(O)O)O3)c2[nH]1,Nc1nc(=S)c2ncn(C3CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c2[nH]1
DB00379,Mexiletine,DBMET00259,2-hydroxymexiletine,"Cytochrome P450 1A2, Cytochrome P450 2D6",Cc1cccc(C)c1OCC(C)N,Cc1cccc(CO)c1OCC(C)N
DB00379,Mexiletine,DBMET00260,p-hydroxymexiletine,"Cytochrome P450 1A2, Cytochrome P450 2D6",Cc1cccc(C)c1OCC(C)N,Cc1cc(O)cc(C)c1OCC(C)N
DB00402,Eszopiclone,DBMET00135,Zopiclone N-oxide,"Cytochrome P450 3A4, Cytochrome P450 2E1",CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,C[N+]1([O-])CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
DB00402,Eszopiclone,DBMET00300,N-desmethylzopiclone,"Cytochrome P450 2C8, Cytochrome P450 3A4",CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCNCC1
DBMET03194,Remoxipride Metabolite NCL 118,DBMET03196,Remoxipride Metabolite NCM 009,,COc1ccc(Br)c(OC)c1C(=O)NCC1CCC(=O)N1,COc1ccc(Br)c(OC)c1C(=O)NCC1(O)CCC(=O)N1
DBMET03194,Remoxipride Metabolite NCL 118,DBMET03196,Remoxipride Metabolite NCM 009,,COc1ccc(Br)c(OC)c1C(=O)NCC1CCC(=O)N1,COc1ccc(Br)c(OC)c1C(=O)NCC1(O)CCC(=O)N1
DB00420,Promazine,DBMET00108,N-Desmethylpromazine,"Cytochrome P450 1A2, Cytochrome P450 2C19, Cytochrome P450 2C9",CN(C)CCCN1c2ccccc2Sc2ccccc21,CNCCCN1c2ccccc2Sc2ccccc21
DB00420,Promazine,DBMET01728,N-Desmethyl promazine,"Cytochrome P450 1A2, Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2A6, Cytochrome P450 2B6, Cytochrome P450 2D6, Cytochrome P450 2E1",CN(C)CCCN1c2ccccc2Sc2ccccc21,CNCCCN1c2ccccc2Sc2ccccc21
DBMET02483,7-alpha-thiomethylspironolactone,DBMET02484,3alpha-hydroxythiomethylspironolactone,,CSC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,CSC1CC2=CC(O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
DBMET02483,7-alpha-thiomethylspironolactone,DBMET02485,3beta-hydroxythiomethylspironolactone,,CSC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,CSC1CC2=CC(O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
DB00422,Methylphenidate,DBMET02308,α-phenyl-2-piperidine acetic acid (ritalinic acid),Carboxylesterase,COC(=O)C(c1ccccc1)C1CCCCN1,O=C(O)C(c1ccccc1)C1CCCCN1
DB00444,Teniposide,DBMET01761,Teniposide catechol,"Cytochrome P450 3A4, Cytochrome P450 3A5",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O
DB00444,Teniposide,DBMET01262,Teniposide catechol derivative,"Cytochrome P450 3A5, Cytochrome P450 3A4",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O
DB00448,Lansoprazole,DBMET00184,Lansoprazole sulfone,Cytochrome P450 3A4,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,Cc1c(OCC(F)(F)F)ccnc1CS(=O)(=O)c1nc2ccccc2[nH]1
DB00279,Liothyronine,DBMET02273,Diiodothyronine,Thyroxine 5-deiodinase,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O
DBMET00314,2-hydroxydesipramine,DBMET01956,2-hydroxydesipramine glucuronide,,CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21
DBMET02537,4-(6-hydroxy-2-naphthyl)- butan-2-ol,DBMET02538,4-(6-hydroxy-2-naphthyl)- butan-2-ol glucuronide (6-OH conjugated),,CC(O)CCc1ccc2cc(O)ccc2c1,CC(O)CCc1ccc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2c1
DBMET02537,4-(6-hydroxy-2-naphthyl)- butan-2-ol,DBMET02541,4-(6-hydroxy-2-naphthyl)- butan-2-ol glucuronide (2-OH conjugated),,CC(O)CCc1ccc2cc(O)ccc2c1,CC(CCc1ccc2cc(O)ccc2c1)OC1OC(C(=O)O)C(O)C(O)C1O
DBMET02537,4-(6-hydroxy-2-naphthyl)- butan-2-ol,DBMET02538,4-(6-hydroxy-2-naphthyl)- butan-2-ol glucuronide (6-OH conjugated),,CC(O)CCc1ccc2cc(O)ccc2c1,CC(O)CCc1ccc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2c1
