parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set,transformation
DB00731,Nateglinide,DBMET01830,2-{[4-(1-hydroxypropan-2-yl)cyclohexyl]formamido}-3-phenylpropanoic acid,"Cytochrome P450 2C9, Cytochrome P450 3A4",DB00731,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,Both,0.813953488372093,test,[H]>>O
DB00879,Emtricitabine,DBMET02868,Emtricitabine 3'-sulfoxide (M-III),,DB00879,N=c1nc(O)n(C2CSC(CO)O2)cc1F,Nc1nc(=O)n(C2C[S+]([O-])C(CO)O2)cc1F,DrugBank,0.3278688524590163,test,S>>[O-][S+]
DB00889,Granisetron,DBMET00406,9'-desmethylgranisetron,"Cytochrome P450 3A4, Cytochrome P450 1A1",DB00889,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CN1C2CCCC1CC(NC(=O)c1n[nH]c3ccccc13)C2,Both,0.6415094339622641,test,C>>[H]
DB00912,Repaglinide,DBMET00294,hydroxyrepaglinide,Cytochrome P450 2C8,DB00912,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCC(O)C2)ccc1C(=O)O,Both,0.8,test,[H]>>O
DB00918,Almotriptan,DBMET01581,2-OH-almotriptan,"Cytochrome P450 2D6, Cytochrome P450 3A4",DB00918,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3O)cc12,Both,0.7017543859649122,test,[H]>>O
DB00960,Pindolol,DBMET03286,Pindolol Glucuronide,,DB00960,CC(C)NCC(O)COc1cccc2[nH]ccc12,CC(C)NCC(COc1cccc2[nH]ccc12)OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.5483870967741935,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DB01011,Metyrapone,DBMET00909,Metyrapol,,DB01011,CC(C)(C(=O)c1cccnc1)c1cccnc1,CC(C)(c1cccnc1)C(O)c1cccnc1,DrugBank,0.45,test,O>>O
DB01033,Mercaptopurine,DBMET00780,8-hydroxythioguanine,Aldehyde oxidase,DB01033,S=c1nc[nH]c2nc[nH]c12,Oc1nc2[nH]cnc(=S)c2[nH]1,DrugBank,0.5333333333333333,test,[H]>>O
DB01036,Tolterodine,DBMET00142,N-Dealkylated tolterodine,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A4",DB01036,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,Cc1ccc(O)c(C(CCNC(C)C)c2ccccc2)c1,Both,0.6363636363636364,test,CCC>>[H]
DB01194,Brinzolamide,DBMET03671,N-desethylbrinzolamide,"Cytochrome P450 3A4, Cytochrome P450 2A6, Cytochrome P450 2B6, Cytochrome P450 2C8, Cytochrome P450 2C9",DB01194,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,COCCCN1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,DrugBank,0.7454545454545455,test,CC>>[H]
DB01218,Halofantrine,DBMET00371,N-debutylhalofantrine,Cytochrome P450 3A4,DB01218,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,Both,0.7192982456140351,test,CCCC>>[H]
DB01233,Metoclopramide,DBMET02779,Monodeethylmetoclopramide,"Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 1A2",DB01233,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1OC,DrugBank,0.421875,test,CC>>O=CC(F)(F)C(F)(F)C(F)(F)F
DB01262,Decitabine,DBMET03187,5-aza-2'-deoxycytidine-monophosphate,Deoxycytidine kinase,DB01262,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,Nc1ncn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1,DrugBank,0.717391304347826,test,[H]>>O=[PH](O)O
DB01280,Nelarabine,DBMET03666,6-O-methylguanine,,DB01280,COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O,COc1nc(N)nc2[nH]cnc12,DrugBank,0.3584905660377358,test,OCC1OCC(O)C1O>>[H]
DB01452,Diamorphine,DBMET01172,6-Monoacetylmorphine,"Liver carboxylesterase 1, Cocaine esterase",DB01452,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,CC(=O)OC1C=CC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,DrugBank,0.8421052631578947,test,CC=O>>[H]
DB06695,Dabigatran etexilate,DBMET03376,BIBR0951/M2,Cocaine esterase,DB06695,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C)c1ccccn1,DrugBank,0.7590361445783133,test,CCCCCCOC=O>>[H]
DB06738,Ketobemidone,DBMET01297,Dihydroxy ketobemidone,Prostaglandin G/H synthase 1,DB06738,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,CCC(=O)C1(c2ccc(O)c(O)c2)CCN(C)CC1,DrugBank,0.6904761904761905,test,[H]>>O
DB08911,Trametinib,DBMET03641,Trametinib M1 metabolite,,DB08911,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3cccc(N)c3)c12,DrugBank,0.7746478873239436,test,CC=O>>[H]
DB09225,Zotepine,DBMET01795,Norzotepine,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 2B6, Cytochrome P450 2C19",DB09225,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,CNCCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,Both,0.7021276595744681,test,C>>[H]
DB12016,Ponesimod,DBMET03309,Ponesimod M32 Metabolite,,DB12016,CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,CCCN=C1SC(=Cc2ccc(O)c(Cl)c2)C(=O)N1c1ccccc1C,DrugBank,0.6956521739130435,test,CC(O)CO>>[H]
DB12184,Gepirone,DBMET03723,3'-OH-gepirone,Cytochrome P450 3A4,DB12184,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1O,Both,0.6938775510204082,test,[H]>>O
DB13746,Bioallethrin,DBMET02076,M1 (Bioallethrin),,DB13746,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)CO)C2(C)C)CC1=O,Both,0.8235294117647058,test,[H]>>O
DB14568,Ivosidenib,DBMET03502,Ivosidenib M30 metabolite,,DB14568,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(N)=O)c2ccccc2Cl)c1,DrugBank,0.7926829268292683,test,FC1(F)CCC1>>[H]
DB16390,Mobocertinib,DBMET03412,AP32960,Cytochrome P450 3A Subfamily,DB16390,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC,DrugBank,0.8928571428571429,test,C>>[H]
DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A8",DB00193,CN(C)CC1CCCCC1(O)c1cccc(O)c1,CN(C)CC1CCCCC1(O)c1cccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1,Both,0.5245901639344263,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",Cytochrome P450 2D6,DB00193,CNCC1CCCCC1(O)c1cccc(OC)c1,CNCC1CCCCC1(O)c1cccc(O)c1,DrugBank,0.7111111111111111,test,C>>[H]
DBMET00225,(+)-3-Methoxymorphinan,DBMET01318,3-Hydroxymorphinan,Cytochrome P450 2D6,DB00514,COc1ccc2c(c1)C13CCCCC1C(C2)NCC3,Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3,DrugBank,0.6739130434782609,test,C>>[H]
DBMET01318,3-Hydroxymorphinan,DBMET01319,3-Hydroxymorphinan O-glucuronide,"UDP-glucuronosyltransferases (UGTs), UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B17",DB00514,Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3,O=C(O)C1OC(Oc2ccc3c(c2)C24CCCCC2C(C3)NCC4)C(O)C(O)C1O,Both,0.5245901639344263,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DBMET02517,oxociprofloxacin,DBMET02515,Desethylene ciprofloxacin,,DB00537,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,DrugBank,0.532258064516129,test,CC=O>>[H]
DBMET03148,Galantaminone,DBMET03149,O-desmethyl-galantaminone,,DB00674,COc1ccc2c3c1OC1CC(=O)C=CC31CCN(C)C2,CN1CCC23C=CC(=O)CC2Oc2c(O)ccc(c23)C1,DrugBank,0.75,test,C>>[H]
DBMET03138,O-desmethyl-galantamine,DBMET03141,O-desmethyl-galantamine glucuronide,,DB00674,CN1CCC23C=CC(O)CC2Oc2c(O)ccc(c23)C1,CN1CCC23C=CC(O)CC2Oc2c(OC4C(O)C(O)C(O)C(O)C4C(=O)O)ccc(c23)C1,DrugBank,0.6349206349206349,test,[H]>>O=C(O)C1CC(O)C(O)C(O)C1O
DBMET03404,Daunorubicinol,DBMET03405,Daunorubicinol aglycone,,DB00694,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3OC1CC(N)C(O)C(C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3O,DrugBank,0.6527777777777778,test,CC1OCCC(N)C1O>>[H]
DBMET01321,Nateglinide metabolite M2/M3,DBMET01322,Nateglinide metabolite M11/M12,,DB00731,CC(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(O)(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,DrugBank,0.6470588235294118,test,[H]>>O
DBMET01323,Nateglinide metabolite M1,DBMET01322,Nateglinide metabolite M11/M12,,DB00731,CC(C)(O)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(O)(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,DrugBank,0.8043478260869565,test,[H]>>O
DBMET00332,4-hydroxyestrone,DBMET01658,4-Hydroxyestradiol,,DB13952,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,DrugBank,0.625,test,O>>O
DBMET00248,2-hydroxyestrone,DBMET00247,2-hydroxyestradiol,Catechol O-methyltransferase,DB13952,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,DrugBank,0.6170212765957447,test,O>>O
DBMET01658,4-Hydroxyestradiol,DBMET03007,4-methoxyestradiol,Catechol O-methyltransferase,DB13952,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,COc1c(O)ccc2c1CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.7659574468085106,test,[H]>>C
DBMET03287,3-Hydroxy Pindolol,DBMET03289,Pindolol 3-glucuronide,,DB00960,CC(C)N(O)CC(O)COc1cccc2[nH]ccc12,CC(C)N(CC(O)COc1cccc2[nH]ccc12)OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.5555555555555556,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DBMET00366,2-hydroxyethinylestradiol,DBMET03022,2-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C,DrugBank,0.8,test,[H]>>C
DBMET03023,4-hydroxyethinylestradiol,DBMET03024,4-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C,C#CC1(O)CCC2C3CCc4c(ccc(O)c4OC)C3CCC21C,DrugBank,0.7843137254901961,test,[H]>>C
DBMET03025,6-hydroxyethinylestradiol,DBMET03028,6-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C,C#CC1(O)CCC2C3CC(OC)c4cc(O)ccc4C3CCC21C,DrugBank,0.7647058823529411,test,[H]>>C
DBMET03029,7-hydroxyethinylestradiol,DBMET03030,7-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)CCC2C3C(O)Cc4cc(O)ccc4C3CCC21C,C#CC1(O)CCC2C3C(OC)Cc4cc(O)ccc4C3CCC21C,DrugBank,0.7843137254901961,test,[H]>>C
DBMET03031,16α-hydroxyethinylestradiol,DBMET03032,16α-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C,C#CC1(O)C(OC)CC2C3CCc4cc(O)ccc4C3CCC21C,DrugBank,0.7777777777777778,test,[H]>>C
DBMET00657,6-Thioinosine 5'-monophosphate,DBMET01151,Thioxanthine monophosphate,GMP synthase [glutamine-hydrolyzing],DB01033,O=P(O)(O)OCC1OC(n2cnc3c(S)ncnc32)C(O)C1O,O=P(O)(O)OCC1OC(n2cnc3c(S)nc(O)nc32)C(O)C1O,DrugBank,0.7692307692307693,test,[H]>>O
DBMET00142,N-Dealkylated tolterodine,DBMET01256,N-Dealkylated 5-hydroxymethyl tolterodine,,DB01036,Cc1ccc(O)c(C(CCNC(C)C)c2ccccc2)c1,CC(C)NCCC(c1ccccc1)c1cc(CO)ccc1O,DrugBank,0.7380952380952381,test,[H]>>O
DBMET00143,5-Hydroxymethyl tolterodine,DBMET01256,N-Dealkylated 5-hydroxymethyl tolterodine,,DB01036,CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C,CC(C)NCCC(c1ccccc1)c1cc(CO)ccc1O,DrugBank,0.6444444444444445,test,CCC>>[H]
DBMET03187,5-aza-2'-deoxycytidine-monophosphate,DBMET03188,5-aza-2'-deoxycytidine-diphosphate,UMP-CMP kinase,DB01262,Nc1ncn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1,Nc1ncn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,DrugBank,0.8333333333333334,test,[H]>>O=[PH](O)O
DBMET00412,9-β-D-arabinofuranosylguanine,DBMET03664,ara-GMP,"Deoxyguanosine kinase, mitochondrial, Deoxycytidine kinase",DB01280,Nc1nc2c(n[c]n2C2OC(CO)C(O)C2O)c(=O)[nH]1,Nc1nc2c(n[c]n2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,DrugBank,0.7272727272727273,test,[H]>>O=[PH](O)O
DBMET03666,6-O-methylguanine,DB02377,Guanine,,DB01280,COc1nc(N)nc2[nH]cnc12,Nc1nc(=O)c2[nH]cnc2[nH]1,DrugBank,0.2857142857142857,test,CO>>O
DBMET01172,6-Monoacetylmorphine,DBMET00313,morphine,"Liver carboxylesterase 1, Cocaine esterase",DB01452,CC(=O)OC1C=CC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DrugBank,0.7017543859649122,test,CC=O>>[H]
DBMET03376,BIBR0951/M2,DB14726,Dabigatran,Liver carboxylesterase 1,DB06695,CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C)c1ccccn1,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,DrugBank,0.8405797101449275,test,CC>>[H]
DBMET03377,BIBR1087/M1,DB14726,Dabigatran,Cocaine esterase,DB06695,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)O)c4ccccn4)ccc3n2C)cc1,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,DrugBank,0.7435897435897436,test,CCCCCCOC=O>>[H]
DBMET00238,Norketobemidone,DBMET01296,Dihydroxy norketobemidone,,DB06738,CCC(=O)C1(c2cccc(O)c2)CCNCC1,CCC(=O)C1(c2ccc(O)c(O)c2)CCNCC1,DrugBank,0.6829268292682927,test,[H]>>O
DBMET01297,Dihydroxy ketobemidone,DBMET01298,p-Hydroxymethoxy ketobemidone,,DB06738,CCC(=O)C1(c2ccc(O)c(O)c2)CCN(C)CC1,CCC(=O)C1(c2ccc(O)c(OC)c2)CCN(C)CC1,DrugBank,0.7441860465116279,test,[H]>>C
DBMET03641,Trametinib M1 metabolite,DBMET03642,Trametinib M2 metabolite,,DB08911,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3cccc(N)c3)c12,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3cccc(NC4OC(C(=O)O)C(O)C(O)C4O)c3)c12,DrugBank,0.6626506024096386,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DBMET03643,Trametinib M3 metabolite,DBMET03644,Trametinib M4 metabolite,,DB08911,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(O)c(N)c3)c12,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)c(N)c3)c12,DrugBank,0.6904761904761905,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DBMET03309,Ponesimod M32 Metabolite,DBMET03310,Ponesimod M48 Metabolite,,DB12016,CCCN=C1SC(=Cc2ccc(O)c(Cl)c2)C(=O)N1c1ccccc1C,CCCN=C1SC(=Cc2ccc(O)c(Cl)c2)C(O)N1c1ccccc1C,DrugBank,0.640625,test,O>>O
DBMET03311,Ponesimod M12 Metabolite (ACT-204426),DBMET03312,Ponesimod M13 Metabolite (ACT-338275),,DB12016,CCCN=C1SC(=Cc2ccc(OCC(O)C(=O)O)c(Cl)c2)C(=O)N1c1ccccc1C,CCCN=C1SC(=Cc2ccc(OCCC(=O)O)c(Cl)c2)C(=O)N1c1ccccc1C,DrugBank,0.7887323943661971,test,O>>[H]
DBMET03723,3'-OH-gepirone,DBMET03724,"3',5-di-OH-gepirone",,DB12184,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1O,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O,DrugBank,0.82,test,[H]>>O
DBMET03725,5-OH-gepirone,DBMET03724,"3',5-di-OH-gepirone",,DB12184,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O,DrugBank,0.72,test,[H]>>O
