parent_name,child_name,parent_smiles,child_smiles,origin,source,set,tanimoto
Chloramphenicol succinate,Chloramphenicol,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,DB07565,DrugBank,train,0.64
(R)-Fluoxetine,4-(trifluoromethyl)phenol,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1,DB08472,Both,train,0.275
(S)-Fluoxetine,Seproxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,DB08544,Both,train,0.7
Nandrolone decanoate,Nandrolone,CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,DB08804,DrugBank,train,0.603448275862069
Dimethyl fumarate,Monomethyl fumarate,COC(=O)C=CC(=O)OC,COC(=O)C=CC(=O)O,DB08908,DrugBank,train,0.7647058823529411
Tedizolid phosphate,Tedizolid,Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1,DB09042,DrugBank,train,0.7941176470588235
Etoperidone,m-Chlorophenylpiperazine,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,Clc1cccc(N2CCNCC2)c1,DB09194,Both,train,0.39622641509433965
Pholcodine,Morphine,CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB09209,DrugBank,train,0.6721311475409836
Droxicam,Piroxicam,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,DB09215,DrugBank,train,0.3770491803278688
Molsidomine,Linsidomine,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,[NH-]c1c[n+](N2CCOCC2)no1,DB09282,DrugBank,train,0.45652173913043476
Propacetamol,Acetaminophen,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DB09288,DrugBank,train,0.4166666666666667
Dexpanthenol,Pantothenic acid,CC(C)(CO)C(O)C(=O)NCCCO,CC(C)(CO)C(O)C(=O)NCCC(=O)O,DB09357,DrugBank,train,0.6451612903225806
Xylose,Xylitol,O=CC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO,DB09419,DrugBank,train,0.5263157894736842
Xylitol,D-Xylulose,OCC(O)C(O)C(O)CO,O=C(CO)C(O)C(O)CO,DB11195,DrugBank,train,0.4
Cetyl alcohol,Palmitic Acid,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCC(=O)O,DB09494,DrugBank,train,0.42857142857142855
Gamolenic acid,Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB13854,DrugBank,train,0.9615384615384616
Dihomo-gamma-linolenic acid,Arachidonic Acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB00154,DrugBank,train,0.8888888888888888
Latanoprostene bunod,Latanoprost,O=C(CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1)OCCCCO[N+](=O)[O-],CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,DB11660,DrugBank,train,0.6911764705882353
Brincidofovir,Cidofovir,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,DB12151,DrugBank,train,0.6271186440677966
Lisofylline,Pentoxifylline,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB12406,Both,train,0.6818181818181818
Oxetacaine,Mephentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CNC(C)(C)Cc1ccccc1,DB12532,DrugBank,train,0.3333333333333333
Oxetacaine,Phentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CC(C)(N)Cc1ccccc1,DB12532,DrugBank,train,0.35
Trofosfamide,Ifosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,DB12902,DrugBank,train,0.5384615384615384
Nicoboxil,Niacin,CCCCOCCOC(=O)c1cccnc1,O=C(O)c1cccnc1,DB12911,DrugBank,train,0.425
Darolutamide,Ketodarolutamide,CC(Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc(C(C)O)[nH]n1,CC(=O)c1cc(C(=O)NC(C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,DB12941,DrugBank,train,0.7878787878787878
Acemetacin,Indomethacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,DrugBank,train,0.8113207547169812
Iodoform,Iodine,IC(I)I,II,DB13813,DrugBank,train,0.2
Arachidonic Acid,Dinoprostone,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,DB04557,DrugBank,train,0.4230769230769231
Methyl nicotinate,Niacin,COC(=O)c1cccnc1,O=C(O)c1cccnc1,DB13882,DrugBank,train,0.5862068965517241
Testosterone enanthate,Testosterone,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13944,DrugBank,train,0.603448275862069
Testosterone undecanoate,Testosterone,CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13946,DrugBank,train,0.603448275862069
Estradiol acetate,Estradiol,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13952,DrugBank,train,0.6862745098039216
Estradiol benzoate,Estradiol,CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13953,DrugBank,train,0.6363636363636364
Estradiol cypionate,Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13954,DrugBank,train,0.5666666666666667
Linoleic acid,Arachidonic Acid,CCCCCC=CCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB14104,DrugBank,train,0.8888888888888888
Baloxavir marboxil,Baloxavir,COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O,O=C1c2c(O)c(=O)ccn2N(C2c3ccccc3SCc3c2ccc(F)c3F)C2COCCN12,DB13997,DrugBank,train,0.7160493827160493
Betamethasone phosphate,Betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,DB14669,DrugBank,train,0.7692307692307693
Ceftobiprole medocaril,Ceftobiprole,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1,Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1,DB14733,DrugBank,train,0.6979166666666666
Diroximel fumarate,Monomethyl fumarate,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,COC(=O)C=CC(=O)O,DB14783,DrugBank,train,0.4117647058823529
Monomethyl fumarate,Fumaric acid,COC(=O)C=CC(=O)O,O=C(O)C=CC(=O)O,DB14219,DrugBank,train,0.5294117647058824
Benzhydrocodone,Hydrocodone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,DB15465,DrugBank,train,0.5882352941176471
Prednisolone acetate,Prednisolone,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank,train,0.7758620689655172
Molnupiravir,N4-Hydroxycytidine,CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O,O=c1nc(NO)ccn1C1OC(CO)C(O)C1O,DB15661,DrugBank,train,0.3333333333333333
Melphalan flufenamide,Melphalan,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DB16627,DrugBank,train,0.5283018867924528
Serdexmethylphenidate,Dexmethylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1,COC(=O)C(c1ccccc1)C1CCCCN1,DB16629,DrugBank,train,0.36486486486486486
L-Acetylleucine,Leucine,CC(=O)NC(CC(C)C)C(=O)O,CC(C)CC(N)C(=O)O,DB16956,DrugBank,train,0.42857142857142855
Calcitriol,Calcitroic acid,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,DB00146,DrugBank,train,0.703125
Tetrahydrofolic acid,"5,10-methylene tetrahydrofolate (THF)",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,DB00158,DrugBank,train,0.4578313253012048
Vitamin E,13'-hydroxy-alpha-tocopherol,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)CO)O2,DB11635,DrugBank,train,0.8444444444444444
Phentermine,p-hydroxyphentermine,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1ccc(O)cc1,DB12532,DrugBank,train,0.6
Phentermine,N-hydroxyphentermine,CC(C)(N)Cc1ccccc1,CC(C)(Cc1ccccc1)NO,DB12532,DrugBank,train,0.5185185185185185
Theophylline,1-Methylxanthine,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c2nc[nH]c2c1=O,DB00201,DrugBank,train,0.5142857142857142
Temazepam,Oxazepam glucuronide,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O,DB00829,DrugBank,train,0.36231884057971014
Mesalazine,N-acetyl-5-ASA (Ac-5-ASA),Nc1ccc(O)c(C(=O)O)c1,CC(=O)Nc1ccc(O)c(C(=O)O)c1,DB00795,Both,train,0.5
Theophylline,3-methylxanthine,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,DB00201,DrugBank,train,0.5588235294117647
Theophylline,"1,3-dimethyluric acid",Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,DB00201,DrugBank,train,0.4
Liothyronine,Diiodothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.7674418604651163
Liothyronine,Monoiodothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.56
Liothyronine,Triiodothyronine sulfate,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.7083333333333334
Morphine,Morphine ethereal sulfate,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5,DB00318,DrugBank,train,0.5625
Morphine,Normorphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,DB00318,DrugBank,train,0.6
Acetaminophen,Acetaminophen glucuronide,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,DB03783,Both,train,0.36585365853658536
Acetaminophen,Acetaminophen sulfate,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,DB03783,Both,train,0.5
Acetaminophen,NAPQI,CC(=O)Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1,DB03783,Both,train,0.25806451612903225
Codeine,norcodeine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,DB00295,Both,train,0.6379310344827587
Codeine,Codeine-6-glucuronide,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341,DB00295,Both,train,0.6376811594202898
Nortriptyline,E-10-Hydroxynortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CC(O)c2ccccc21,DB00321,Both,train,0.65
Nortriptyline,Desmethylnortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,NCCC=C1c2ccccc2CCc2ccccc21,DB00321,Both,train,0.6176470588235294
Hydromorphone,Hydromorphone-3-glucuronide,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5,DB00956,Both,train,0.6323529411764706
Hydromorphone,Norhydromorphone,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,O=C1CCC2C3Cc4ccc(O)c5c4C2(CCN3)C1O5,DB00956,Both,train,0.625
Indomethacin,5-Hydroxyindomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Cc1c(CC(=O)O)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1,DB13783,Both,train,0.74
Indomethacin,Indomethacin acyl glucuronide,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,Both,train,0.6461538461538462
Indomethacin,Deacyl indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2[nH]c(C)c(CC(=O)O)c2c1,DB13783,DrugBank,train,0.45454545454545453
