parent_smiles,child_smiles,set
CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],CCCCCCCCCCCCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],train
O=C(O)COP(=O)(O)O,O=C(O)CO,train
COc1cc2c(cc1O)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,COc1cc2c(cc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,train
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
CSP(O)(O)=S,CSP(=O)(O)O,train
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)OC(O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)OC(O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,train
CCCCCCCCCCCCCC=C[C@@H](O)[C@@H]([NH3+])COP(=O)([O-])OCC[N+](C)(C)C,CCCCCCCCCCCCCC=C[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(C)=O,train
[H]/N=C(/O)CCCCC(S)CCS,[H]/N=C(/[O-])CCCCC(S)CCSC(=O)CCC(=O)O,train
C=C(CC)C(=O)c1ccc(OCC(=O)SC[C@H](N=C([O-])CC[C@H](N)C(=O)O)C(O)=NCC(=O)[O-])c(Cl)c1Cl,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](N=C([O-])CC[C@@H](N)C(=O)O)C(=O)O)[C@@H](O)CCCC(=O)[O-],train
CSCCC(=O)/C(O)=C/O,O=CO,train
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@]5(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O,train
CCCCCCCC/C=C\C/C=C\CCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)SCCN=C([O-])CCN=C([O-])[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],train
O=c1cc[nH]c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,train
NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O,N[C@@H](Cc1c[nH]cn1)C(=O)O,train
C[C@H](N=C(O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,N[C@@H](Cc1ccc(O)cc1)C(=O)O,train
CCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(C)(=O)OP(C)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(C)(C)=O,train
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,O=C1CCC2CCCC2C1CCc1cccc(O)c1,train
NCC(=O)O,CC(C)[C@H](N)C(=O)O,train
COc1cc(CC=O)ccc1O,COc1cc(CCN)ccc1O,train
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2cc(/C=C/C=C(C)/C=C/C3=C(C)CCCC3(C)C)cc[n+]2CCO)C(C)(C)CCC1,CC1=C(C=C/C(C)=C\C=C\c2cc[n+](CCO)c(/C=C(C)/C=C/C=C(C)/C=C/C3=C(C)CCCC3(C)C)c2)C(C)(C)CCC1,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,train
Cc1c2ccccc2c(COS(=O)(=O)O)c2ccc3ccccc3c12,Cc1c2ccccc2c(CO)c2ccc3ccccc3c12,train
CC(=O)CC(=O)[O-],O=C([O-])CCC(=O)[O-],train
NC(CCC(=O)NC(CSCC(=O)Cl)C(=O)NCC(=O)O)C(=O)O,ClC1(Cl)CO1,train
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,train
[H]/N=C(\O)C[C@H](N)C(=O)O,N[C@@H](Cc1ccccc1)C(=O)O,train
CC(CCCC(C)[C@@H]1CCC2C3C(O)CC4CC(O)CC[C@@]4(C)C3CC(O)[C@]21C)C(O)O,CC(C=O)CCC[C@@H](C)[C@H]1CCC2C3C(C[C@@H](O)[C@@]21C)C1(C)CC[C@H](O)CC1C[C@@H]3O,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,train
NC(=O)NCCC[C@H]([NH3+])C(=O)[O-],CN(C)C(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],train
CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1,train
CCCCC/C=C\CC=CC/C=C\CCCCCCC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCC/C=C\CC=CC/C=C\CCCCCC[C@H](O)CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],train
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CCCCCCC/C=C\CCCCCCCC(=O)O[C@@H]1CC[C@]2(C)C(=CCC3C2CC[C@]2(C)C3CCC2[C@@H](C)CCCC(C)C)C1,train
OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,train
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,train
CCC1(c2ccccc2)NC(=O)N(C)C1=O,CC[C@@]1(c2ccc(O)cc2)N=C(O)N(C)C1=O,train
CC(C)CCC[C@@H](C)[C@H]1CCC2C3C(CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,CC(CO)CCC[C@@H](C)[C@H]1CCC2C3C(CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,train
C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,CC(=O)Nc1ccc(C2=NNC(=O)C[C@H]2C)cc1,train
[NH3+]CCc1ccc(O)c(O)c1,C[C@]1(C(=O)O)NCCc2cc(O)c(O)cc21,train
CNCCC=C1c2ccccc2CCc2ccccc21,CNCC/C=C1\c2ccccc2CC(O)c2ccccc21,train
O=P([O-])([O-])OC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])OC[C@@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,train
N[C@@H](Cc1cnc[nH]1)C(=O)O,N[C@@H](CCCC[NH3+])C(=O)O,train
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)CC(=O)[O-],CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],train
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,C=C1C=C2C=CC3C(CCC4(C)C(C(C)C)CCC34)C2(C)CC1,train
Cc1nc(C)nc(C)n1,Cc1nc(C)nc(O)n1,train
C[N+](C)(C)CCOP(=O)(O)OC[C@H](O)CO,CC(=O)O[C@H](CO)COP(=O)(O)OCC[N+](C)(C)C,train
Nc1nc2ccc(OC(F)(F)F)cc2s1,Nc1nc2ccc(OC(F)(F)F)c(O)c2s1,train
O=c1ccn([C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,O=c1ccn([C@H]2C[C@H](O)[C@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1,train
CN(C/C=C/C#CC(C)(C)CO)Cc1cccc2ccccc12,CC(C)(C#C/C=C/CNCc1cccc2ccccc12)CO,train
Nc1c[nH+]cn1[C@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1c(C(=O)[O-])ncn1[C@@H]1O[C@@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,train
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,N[C@H](Cc1cc(I)c(Oc2ccc(OC3O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@@H]3O)c(I)c2)c(I)c1)C(=O)[O-],train
O=[Se](=O)(O)O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O[Se](=O)(=O)O)C(O)C1O,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,[H]/N=C(/[O-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,train
CNC,CN,train
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)[O-])O2,Cc1c(C)c2c(c(C)c1[O-])CCC(C)(CCC(=O)O[C@H]1O[C@@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]1O)O2,train
OC1C=CCCC1,OC1C=CCCC1,train
O=CCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12,train
CC(O)=NCCC[NH2+]CCCC[NH3+],[NH3+]CCCC[NH3+],train
O=Cc1ccc2ccccc2c1,OCc1ccc2ccccc2c1,train
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,train
CC12CC3CC(C)(C1)CC(N)(C3)C2,CC12CC3CC(N)(C1)CC(CO)(C3)C2,train
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O,train
Cc1cn(C2CC(OP(=O)(O)OCC3OC(C)CC3O)C(COP(=O)(O)OC3CC(C)OC3COP(=O)(O)O)O2)c(=O)nc1N,CC1CC(O)C(COP(=O)(O)OC2CC(n3ccc(N)nc3=O)OC2COP(=O)(O)OC2CC(C)OC2COP(=O)(O)O)O1,train
CC([O-])=N[C@@H]1C(O)O[C@H](COP(=O)([O-])O)[C@@H](O)[C@@H]1O,CC([O-])=N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])O,train
O=S(=O)([O-])Oc1ccc2[nH]cc(CCO)c2c1,OCCc1c[nH]c2ccc(O)cc12,train
CC/C=C\CC=CC/C=C\CCCCCCCC(=O)OC1CC[C@]2(C)C(=CC[C@H]3[C@H]2CC[C@@]2(C)[C@H]([C@@H](C)CCCC(C)C)CC[C@H]32)C1,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,train
N[C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,train
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,train
C/C(C(=O)O)=C1/C=C(Cl)C(=O)O1,CC(C(=O)O)C(=O)/C=C(/Cl)C(=O)O,train
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1,train
N[C@@H](CCC([O-])=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O,CCCCCC(O)/C=C/[C@@H]1C(SC[C@@H](N=C([O-])CC[C@@H](N)C(=O)O)C(O)=NCC(=O)O)CC(=O)[C@@H]1C/C=C\CCCC(=O)[O-],train
O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O,O=c1ccn(C2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,train
N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@H](CCC(=O)[O-])C(O)=NCC(=O)O,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,train
[NH3+]CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,[NH3+]CCc1ccc(Oc2ccc(O)c(I)c2)c(I)c1,train
CC(O)CC(=O)O,CC(=O)CC(=O)O,train
CC(=O)OC[C@@H](O)COP(=O)(O)O,O=P(O)(O)OC[C@H](O)CO,train
C1CNCCN1,O=NC1CCNCC1,train
NC(N)=NN=Cc1c(Cl)cccc1Cl,N=C(NO)N/N=C/c1c(Cl)cccc1Cl,train
Cc1ncc(CO)c(C=O)c1O,Cc1ncc(CO)c(C(=O)O)c1O,train
C/C(=C\C=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,train
CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O[C@]2(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@@H]([C@H](O)[C@@H](CO)O[C@]3(C(=O)[O-])C[C@H](O)[C@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)O2)[C@H]1O,CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O[C@]2(C(=O)[O-])C[C@H](O)[C@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)[C@H]1O,train
Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,train
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCS,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])O)C(O)C([O-])=NCCC([O-])=NCCSC(=O)CC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](N)C(=O)[O-])[C@@H](O)CCCC(=O)[O-],train
CC/C=C/C/C=C/C/C=C/C/C=C/CC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],train
[H]/N=c1/ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c([O-])n1,[H]/N=c1\ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@]3(C(=O)[O-])C[C@H](O)[C@@H](N=C(C)[O-])[C@H]([C@H](O)[C@H](O)CO)O3)[C@@H](O)[C@H]2O)c(O)n1,train
CC(=O)OC[C@H](CO)OC(C)=O,CC(=O)OC[C@H](COP(=O)([O-])[O-])OC(C)=O,train
CC(=O)CC(=O)O,CC(O)CC(=O)O,train
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Nc1nc(N)c2nc(-c3ccc(O)cc3)c(N)nc2n1,train
CC(=O)N[C@@H]1[C@H](NC(=O)C[C@H]([NH3+])C(=O)[O-])O[C@H](CO)[C@@H](O)[C@@H]1O,CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,train
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1ccc(NC=O)c(C(=O)CCNC(C)=O)c1,train
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,train
CC(=O)N[C@@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,O=c1ccn([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,train
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCS,CCCCCCCCCCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],train
O=C(O)CC(CC(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,train
CC(C)C(O)CC[C@H](C)C1CCC2C3C(CC[C@]21C)[C@]1(C)CCC(=O)C=C1C[C@@H]3O,CC(C)C(O)CC[C@H](C)C1CCC2C3C(C[C@@H](O)[C@]21C)[C@]1(C)CCC(=O)C=C1C[C@@H]3O,train
C[C@H](C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],train
CC(=O)CC(=O)[O-],C[C@H](O)CC(=O)[O-],train
NNCCc1ccccc1,O=C(O)Cc1ccccc1,train
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2cc(O)ccc2[nH]1,train
CCCC(=O)[O-],CC(=O)CC(=O)[O-],train
COc1cc2c(cc1OC1OC(C(=O)O)C(O)C(O)C1O)CCC1C2CCC2(C)C(=O)CCC12,COc1cc2c(cc1O)CCC1C2CC[C@]2(C)C(=O)CCC12,train
Oc1ccccc1,Oc1ccc(O)cc1,train
