parent_name,parent_smiles,child_name,child_smiles,origin,set,source
Melphalan flufenamide,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,Melphalan flufenamide,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,DB16627,train,Parent-Parent Augmented
Perospirone,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,Perospirone,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,Perospirone,train,Parent-Parent Augmented
Terbinafine dihydrodiol derivative (2),CN(CC=CC#CC(C)(C)C)Cc1cccc2c(O)c(O)ccc12,Terbinafine dihydrodiol derivative (2),CN(CC=CC#CC(C)(C)C)Cc1cccc2c(O)c(O)ccc12,DB00857,train,Parent-Parent Augmented
fenchone metabo5,CC12CCC(O)(C1)C(C)(C)C2=O,fenchone metabo5,CC12CCC(O)(C1)C(C)(C)C2=O,fenchone metabo5,train,Parent-Parent Augmented
Monomethyl Auristatin-F,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(NC)C(C)C)C(C)C,Monomethyl Auristatin-F,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(NC)C(C)C)C(C)C,DB15719,train,Parent-Parent Augmented
Verapamil metabolite D-617,CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,Verapamil metabolite D-617,CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,DB00661,train,Parent-Parent Augmented
Methoxymorpholinyldoxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,Methoxymorpholinyldoxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,Methoxymorpholinyldoxorubicin,train,Parent-Parent Augmented
25-Hydroxyvitamin D2,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)O,25-Hydroxyvitamin D2,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)O,25-Hydroxyvitamin D2,train,Parent-Parent Augmented
4-Hydroxypropofol,CC(C)c1cc(O)cc(C(C)C)c1O,4-Hydroxypropofol,CC(C)c1cc(O)cc(C(C)C)c1O,DB00818,train,Parent-Parent Augmented
Mycophenolate mofetil,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,Mycophenolate mofetil,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,DB00688,train,Parent-Parent Augmented
nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],nisoldipine,train,Parent-Parent Augmented
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB00806,train,Parent-Parent Augmented
Tenofovir Monophosphate,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)OP(=O)(O)O,Tenofovir Monophosphate,CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)OP(=O)(O)O,DB00300,train,Parent-Parent Augmented
Brodifacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,Brodifacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,Brodifacoum,train,Parent-Parent Augmented
Phenelzine,NNCCc1ccccc1,Phenelzine,NNCCc1ccccc1,DB00780,train,Parent-Parent Augmented
"4,5-Dihydrodrospirenone",CC12CCC(O)CC1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,"4,5-Dihydrodrospirenone",CC12CCC(O)CC1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,"4,5-Dihydrodrospirenone",train,Parent-Parent Augmented
Lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,Lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,DB04948,train,Parent-Parent Augmented
reduced_dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,reduced_dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,reduced_dolasetron,train,Parent-Parent Augmented
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",train,Parent-Parent Augmented
Phenylephrine,CNCC(O)c1cccc(O)c1,Phenylephrine,CNCC(O)c1cccc(O)c1,Phenylephrine,train,Parent-Parent Augmented
p-Methoxyacetanilide,COc1ccc(NC(C)=O)cc1,p-Methoxyacetanilide,COc1ccc(NC(C)=O)cc1,p-Methoxyacetanilide,train,Parent-Parent Augmented
qun,CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,qun,CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,qun,train,Parent-Parent Augmented
Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,DB00559,train,Parent-Parent Augmented
9-cis-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,9-cis-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,9-cis-retinal,train,Parent-Parent Augmented
