parent_name,parent_smiles,child_name,child_smiles,origin,tanimoto
(-)-ethosuximide,CCC1(C)CC(O)=NC1=O,,CC(O)C1(C)CC(O)=NC1=O,(-)-ethosuximide,0.48484848484848486
(-)-etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,6-Hydroxyetodolac,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,(-)-etodolac,0.7169811320754716
(-)-etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,7-Hydroxyetodolac,CCc1c(O)ccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,(-)-etodolac,0.7037037037037037
(-)-limonene,C=C(C)C1CC=C(C)CC1,Carveol,C=C(C)C1CC=C(C)C(O)C1,(-)-limonene,0.48484848484848486
(-)-limonene,C=C(C)C1CC=C(C)CC1,Perillyl alcohol,C=C(C)C1CC=C(CO)CC1,(-)-limonene,0.59375
(-)-pseudococaine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,Norcocaine,COC(=O)C1C2CCC(CC1OC(=O)c1ccccc1)N2,(-)-pseudococaine,0.5769230769230769
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,"cis, trans-5'-OH-thalidomide",O=C1N=C(O)C(N2C(=O)c3ccccc3C2=O)CC1O,(-)-thalidomide,0.5476190476190477
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,5-OH-thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccc(O)cc2C1=O,(-)-thalidomide,0.7435897435897436
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,(-)-thalidomide arene oxide,O=C1N=C(O)CCC1N1C(=O)C2=CC3OC3C=C2C1=O,(-)-thalidomide,0.5952380952380952
(-)-zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,Zileuton sulfoxide,CC(c1cc2ccccc2[s+]1[O-])N(O)C(N)=O,(-)-zileuton,0.48936170212765956
(-)-zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,Hydroxyzileuton,CC(c1cc2ccc(O)cc2s1)N(O)C(N)=O,(-)-zileuton,0.7073170731707317
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,cis-hydroxyperhexilline,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,Perhexiline,0.8
(+)-3-carene,CC1=CCC2C(C1)C2(C)C,3-Caren-10-ol,CC1(C)C2CC=C(CO)CC21,(+)-3-carene,0.5333333333333333
(+)-3-carene,CC1=CCC2C(C1)C2(C)C,Carene epoxide,CC12CC3C(CC1O2)C3(C)C,(+)-3-carene,0.23529411764705882
(+)-bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,"(+)-bisoprolol, O-deisopropyl",CC(C)NCC(O)COc1ccc(COCCO)cc1,(+)-bisoprolol,0.7727272727272727
(+)-fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,f ipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,(+)-fipronil,0.6037735849056604
(+)-halofantrine,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,"(+)-halofantrine, N-desbutyl",CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,(+)-halofantrine,0.7192982456140351
(+)-isothujone,CC1C(=O)CC2(C(C)C)CC12,4-hydroxy-isothujone,CC(C)C12CC(=O)C(C)(O)C1C2,(+)-isothujone,0.3888888888888889
(+)-isothujone,CC1C(=O)CC2(C(C)C)CC12,7-hydroxy-isothujone,CC1C(=O)CC2(C(C)(C)O)CC12,(+)-isothujone,0.42857142857142855
"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",0.7446808510638298
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1CC(C)N,,CC(N)Cc1ccccc1O,(2r)-1-(2-methoxyphenyl)propan-2-amine,0.5666666666666667
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1CC(C)N,,COc1c(O)cccc1CC(C)N,(2r)-1-(2-methoxyphenyl)propan-2-amine,0.5588235294117647
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1CC(C)N,,COC1CCC(O)CC1CC(C)N,(2r)-1-(2-methoxyphenyl)propan-2-amine,0.20454545454545456
(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,Cc1ccsc1-c1ccc(C(C)C(=O)O)cc1,,CC1=C(c2ccc(C(C)C(=O)O)cc2)SC(=O)C1,(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,0.4772727272727273
"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,"(2S)â€3â€(4â€{[(2S)â€6â€hydroxyâ€2,5,7,8â€tetramethylâ€3,4â€dihydroâ€1â€benzopyranâ€2â€yl]methoxy}phenyl)â€2â€(hydroxysulfanyl)propanecarbonyl isocyanate",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC(SO)C(=O)N=C=O)cc1)O2,"(2s,5s)-troglitazone",0.5256410256410257
"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,"(1S)-1-(formylcarbamoyl)-2-(4-{[(2S)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl]methoxy}phenyl)ethane-1-sulfinic acid",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC(C(=O)NC=O)S(=O)O)cc1)O2,"(2s,5s)-troglitazone",0.5189873417721519
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(CO)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,Saquinavir,0.9024390243902439
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)NC(=O)C1CC2CC(O)CCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,Saquinavir,0.8690476190476191
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-7-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)NC(=O)C1CC2CCC(O)CC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,Saquinavir,0.8809523809523809
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)CC=CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,(3Z)â€5â€{3â€benzenesulfonamidoâ€6â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)CC=CCC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",0.7551020408163265
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)CC=CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,(3Z)â€5â€{3â€benzenesulfonamidoâ€5â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)CC=CCC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",0.7346938775510204
(r)-(+)-felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Dehydrofelodipine,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl,(r)-(+)-felodipine,0.4727272727272727
(R)-(-)-Mexiletine,Cc1cccc(C)c1OCC(C)N,"(R)-(-)-Mexiletine, p-hydroxyl",Cc1cc(O)cc(C)c1OCC(C)N,(R)-(-)-Mexiletine,0.6129032258064516
(R)-(-)-Mexiletine,Cc1cccc(C)c1OCC(C)N,"(R)-(-)-Mexiletine, m-hydroxyl",Cc1ccc(O)c(C)c1OCC(C)N,(R)-(-)-Mexiletine,0.6060606060606061
(R)-(-)-Mexiletine,Cc1cccc(C)c1OCC(C)N,"(R)-(-)-Mexiletine, 2-OH-hydroxymethyl",Cc1cccc(CO)c1OCC(C)N,(R)-(-)-Mexiletine,0.71875
(R)-(-)-Mexiletine,Cc1cccc(C)c1OCC(C)N,"(R)-(-)-Mexiletine, N-hydroxy",Cc1cccc(C)c1OCC(C)NO,(R)-(-)-Mexiletine,0.59375
(r)-azelastine,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,"(r)-azelastine, N-desmethyl",O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCNCC1,(r)-azelastine,0.6964285714285714
(r)-bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1,(r)-bupropion,0.7435897435897436
(r)-bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-2-(tert-butylamino)-1-(3-chlorophenyl)-3-hydroxypropan-1-one,CC(C)(C)NC(CO)C(=O)c1cccc(Cl)c1,(r)-bupropion,0.6923076923076923
(r)-bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-2-(tert-butylamino)-1-(3-chloro-4-hydroxyphenyl)propan-1-one,CC(NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1,(r)-bupropion,0.625
(r)-bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)â€2â€(tertâ€butylamino)â€1â€(3â€chloroâ€5â€hydroxyphenyl)propanâ€1â€one,CC(NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1,(r)-bupropion,0.6410256410256411
(r)-chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"(r)-chloroquine, N-desethyl",CCNCCCC(C)Nc1ccnc2cc(Cl)ccc12,(r)-chloroquine,0.7058823529411765
(r)-enflurane,FC(F)OC(F)(F)C(F)Cl,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",O=C(F)C(F)(F)OC(F)F,(r)-enflurane,0.36
(r)-ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,Norketamine,NC1(c2ccccc2Cl)CCCCC1=O,(r)-ketamine,0.5897435897435898
(r)-mda,CC(N)Cc1ccc2c(c1)OCO2,Alpha-methyldopamine,CC(N)Cc1ccc(O)c(O)c1,(r)-mda,0.4857142857142857
(r)-metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,alpha-Hydroxymetoprolol,COCC(O)c1ccc(OCC(O)CNC(C)C)cc1,(r)-metoprolol,0.6904761904761905
(r)-metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,O-Demethylmetoprolol,CC(C)NCC(O)COc1ccc(CCO)cc1,(r)-metoprolol,0.75
(r)-metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,N_DEISOPROPYLATION,COCCc1ccc(OCC(O)CN)cc1,(r)-metoprolol,0.6585365853658537
(r)-trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,,CNCC(C)CN1c2ccccc2CCc2ccccc21,(r)-trimipramine,0.631578947368421
(r)-trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,,CC(CN(C)C)CN1c2ccccc2CC(O)c2ccccc21,(r)-trimipramine,0.6511627906976745
(r)-trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,,CC(CN(C)C)CN1c2ccccc2CCc2cc(O)ccc21,(r)-trimipramine,0.775
(s)-(-)-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,4'-OH-carvedilol,COc1cc(O)ccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,(s)-(-)-carvedilol,0.8392857142857143
(s)-(-)-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,O-Desmethylcarvedilol,Oc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,(s)-(-)-carvedilol,0.8076923076923077
(s)-(-)-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,5'-OH-carvedilol,COc1ccc(O)cc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,(s)-(-)-carvedilol,0.8392857142857143
(s)-(-)-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,8-OH-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3c(O)cccc3c12,(s)-(-)-carvedilol,0.8181818181818182
(s)-(+)-ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2-Hydroxyibuprofen,CC(C(=O)O)c1ccc(CC(C)(C)O)cc1,(s)-(+)-ibuprofen,0.6060606060606061
(s)-(+)-ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3-Hydroxyibuprofen,CC(CO)Cc1ccc(C(C)C(=O)O)cc1,(s)-(+)-ibuprofen,0.7096774193548387
(s)-fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(s)-Norfluoxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(s)-fluoxetine,0.7
(s)-fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,p-Trifluoromethyl phenol,Oc1ccc(C(F)(F)F)cc1,(s)-fluoxetine,0.275
(s)-fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3-(methylamino)-1-phenylpropan-1-one,CNCCC(=O)c1ccccc1,(s)-fluoxetine,0.2826086956521739
(s)-flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4-OH-S-flurbiprofen,CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,(s)-flurbiprofen,0.7777777777777778
(s)-hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,3'-OH-(S)-hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CC(O)CCC2)C1=O,(s)-hexobarbital,0.6304347826086957
(s)-mephobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,4-hydroxymephobarbital,CCC1(c2ccc(O)cc2)C(=O)N(C)C(=O)N=C1O,(s)-mephobarbital,0.7894736842105263
(s)-mephobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,phenobarbital,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,(s)-mephobarbital,0.631578947368421
(s)-norfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1,,NCCc1cccc(C(F)(F)F)c1,(s)-norfenfluramine,0.5757575757575758
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,2-cyclohexyl-2-phenylglycolic acid,O=C(O)C(O)(c1ccccc1)C1CCCCC1,(s)-oxybutynin,0.5
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4-(diethylamino)but-2-yn-1-ol,CCN(CC)CC#CCO,(s)-oxybutynin,0.3125
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,N-desethyloxybutynin,CCNCC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,(s)-oxybutynin,0.7254901960784313
(s)-propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,(S)-5-Hydroxypropafenone,CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,(s)-propafenone,0.7924528301886793
(s)-propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,(S)-N-Despropylpropafenone,NCC(O)COc1ccccc1C(=O)CCc1ccccc1,(s)-propafenone,0.66
(s)-propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,(S)-4'-Hydroxypropafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccc(O)cc1,(s)-propafenone,0.86
(s)-tomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,4-Hydroxy-(s)-tomoxetine,CNCCC(Oc1ccc(O)cc1C)c1ccccc1,(s)-tomoxetine,0.7073170731707317
(s)-tomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,N-Desmethyl-(s)-tomoxetine,CNCCC(Oc1ccccc1CO)c1ccccc1,(s)-tomoxetine,0.675
(s)-tomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,2-Hydroxy-(s)-tomoxetine,Cc1ccccc1OC(CCNCO)c1ccccc1,(s)-tomoxetine,0.717948717948718
(s)-venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,N-Desmethylvenlafaxine,CNCC(c1ccc(OC)cc1)C1(O)CCCCC1,(s)-venlafaxine,0.6666666666666666
(s)-venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,O-Desmethylvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,(s)-venlafaxine,0.717948717948718
[2-methyl-4-(o-tolylazo)phenyl]amine,Cc1cc(N=Nc2ccccc2C)ccc1N,4'-hydroxy-o-aminoazotoJuene,Cc1cc(N=Nc2ccc(O)cc2C)ccc1N,[2-methyl-4-(o-tolylazo)phenyl]amine,0.6285714285714286
