parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,origin,source,tanimoto,set
DB15465,Benzhydrocodone,DBMET00179,Norhydromorphone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,O=C1CCC2C3Cc4ccc(O)c5c4C2(CCN3)C1O5,DB15465,DrugBank Augmented,0.2875,train
DB01420,Testosterone propionate,DBMET01762,2alpha-hydroxytestosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB01420,DrugBank Augmented,0.4590163934426229,train
DB01420,Testosterone propionate,DBMET01764,15alpha-hydroxytestosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CC(O)C12,DB01420,DrugBank Augmented,0.5344827586206896,train
DB01420,Testosterone propionate,DBMET01766,16alpha-hydroxytestosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)C(O)CC12,DB01420,DrugBank Augmented,0.6111111111111112,train
DB01420,Testosterone propionate,DBMET00556,Testosterone sulfate,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12,DB01420,DrugBank Augmented,0.6785714285714286,train
DB01420,Testosterone propionate,DBMET00558,Dihydrotestosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,DB01420,DrugBank Augmented,0.3125,train
DB01420,Testosterone propionate,DBMET02835,1β-hydroxy-testosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CCC4=CC(=O)CC(O)C43C)C1CCC2O,DB01420,DrugBank Augmented,0.4426229508196721,train
DB01420,Testosterone propionate,DBMET00562,Testosterone glucuronide,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12,DB01420,DrugBank Augmented,0.5909090909090909,train
DB01420,Testosterone propionate,DBMET02837,11β-hydroxy-testosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(O)CCC12,DB01420,DrugBank Augmented,0.4833333333333333,train
DB01420,Testosterone propionate,DBMET00571,5-alpha-Dihydrotestosterone glucuronide,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)CC1CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12,DB01420,DrugBank Augmented,0.3246753246753247,train
DB01420,Testosterone propionate,DBMET00392,6-beta-hydroxytestosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C(O)CCC12,DB01420,DrugBank Augmented,0.4354838709677419,train
DB01420,Testosterone propionate,DBMET02830,5-alpha androstanedione,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O,DB01420,DrugBank Augmented,0.296875,train
DB12911,Nicoboxil,DBMET02629,Niacinamide,CCCCOCCOC(=O)c1cccnc1,NC(=O)c1cccnc1,DB12911,DrugBank Augmented,0.45,train
DB12911,Nicoboxil,DBMET02630,Nicotinuric Acid,CCCCOCCOC(=O)c1cccnc1,O=C(O)CNC(=O)c1cccnc1,DB12911,DrugBank Augmented,0.3829787234042553,train
DB12911,Nicoboxil,DBMET02631,Niacinamide N-oxide,CCCCOCCOC(=O)c1cccnc1,NC(=O)c1ccc[n+]([O-])c1,DB12911,DrugBank Augmented,0.2,train
DB12911,Nicoboxil,DBMET02632,Trigonelline,CCCCOCCOC(=O)c1cccnc1,C[n+]1cccc(C(=O)[O-])c1,DB12911,DrugBank Augmented,0.2244897959183673,train
DB15566,Prednisolone acetate,DBMET02859,"17α,21-dihydroxy-pregnan-1,4,6-trien-3,11,30-trione (M-XVII)",CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1C=CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented,0.3733333333333333,train
DB15566,Prednisolone acetate,DBMET02860,20α-dihydro-prednisone (M-V),CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO,DB15566,DrugBank Augmented,0.4444444444444444,train
DB15566,Prednisolone acetate,DBMET02863,6α-hydroxy-prednisone (M-XIII),CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented,0.4189189189189189,train
DB00688,Mycophenolate mofetil,DBMET02606,6-O-desmethyl-MPA (DM-MPA),COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank Augmented,0.65625,train
DB00741,Hydrocortisone,DBMET02902,Tetrahydrocortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(O)CC1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00741,DrugBank Augmented,0.4057971014492754,train
DB00741,Hydrocortisone,DBMET02903,Dihydrocortisol,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO,DB00741,DrugBank Augmented,0.5,train
DB00755,Tretinoin,DBMET03635,13-cis-4-Oxoretinoic acid,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O,DB00755,DrugBank Augmented,0.7021276595744681,train
DB00755,Tretinoin,DBMET03636,13-cis-Retinoyl-beta-glucuronide,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O,DB00755,DrugBank Augmented,0.6271186440677966,train
DB00795,Sulfasalazine,DBMET03575,5'-hydroxysulfapyridine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1,DB00795,DrugBank Augmented,0.375,train
DB00796,Candesartan cilexetil,DBMET00005,O-Deethylated candesartan,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,O=C(O)c1cccc2nc(O)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12,DB00796,DrugBank Augmented,0.4222222222222222,train
DB00796,Candesartan cilexetil,DBMET00006,Candesartan N2-glucuronide,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnnn2C2OC(C(=O)O)C(O)C(O)C2O)cc1,DB00796,DrugBank Augmented,0.4554455445544554,train
DB00796,Candesartan cilexetil,DBMET00007,Candesartan O-glucuronide,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)OC3OC(C(=O)O)C(O)C(O)C3O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,DB00796,DrugBank Augmented,0.5102040816326531,train
DB15566,Prednisolone acetate,DBMET02848,Δ6-prednisolone (M-XI),CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1C=CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented,0.4927536231884058,train
DB15566,Prednisolone acetate,DBMET02849,20α-dihydro-prednisolone (M-III),CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO,DB15566,DrugBank Augmented,0.609375,train
DB15566,Prednisolone acetate,DBMET02851,6αhydroxy-prednisolone (M-VII),CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented,0.5522388059701493,train
DB01408,Bambuterol,DBMET03275,Terbutaline Sulfate,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DB01408,DrugBank Augmented,0.5121951219512195,train
DB15465,Benzhydrocodone,DBMET00420,norhydrocodone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(=O)CCC4C(C2)NCCC314,DB15465,DrugBank Augmented,0.3947368421052631,train
DB15465,Benzhydrocodone,DBMET02686,6-α-hydrocodol,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,DB15465,DrugBank Augmented,0.5588235294117647,train
DB15465,Benzhydrocodone,DBMET02685,6-α-hydromorphol,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,DB15465,DrugBank Augmented,0.4305555555555556,train
DB00755,Tretinoin,DBMET02554,4-hydroxy-13-cis-retinoic acid,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O,DB00755,DrugBank Augmented,0.6666666666666666,train
DB01235,Levodopa,DBMET00534,6-Hydroxydopamine,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1cc(O)c(O)cc1O,DB01235,DrugBank Augmented,0.2432432432432432,train
DB01235,Levodopa,DBMET00565,Dopamine 4-sulfate,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(OS(=O)(=O)O)c(O)c1,DB01235,DrugBank Augmented,0.3181818181818182,train
DB01235,Levodopa,DBMET00573,Dopamine 3-O-sulfate,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(OS(=O)(=O)O)c1,DB01235,DrugBank Augmented,0.3255813953488372,train
DB01235,Levodopa,DBMET00587,Dopamine glucuronide,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1,DB01235,DrugBank Augmented,0.2727272727272727,train
DB00688,Mycophenolate mofetil,DBMET00767,6-O-desmethyl-mycophenolic acid,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,CC(=CCc1c(O)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O,DB00688,DrugBank Augmented,0.5223880597014925,train
DB00688,Mycophenolate mofetil,DBMET00917,Mycophenolic acid-7-O-glucuronide,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(OC3OC(C(=O)O)C(O)C(O)C3O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank Augmented,0.4814814814814814,train
DB00688,Mycophenolate mofetil,DBMET00662,Mycophenolic acid-acyl glucuronide,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)OC2,DB00688,DrugBank Augmented,0.5921052631578947,train
DB01039,Fenofibrate,DBMET02797,Fenofibryl Glucuronide,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,DB01039,DrugBank Augmented,0.5185185185185185,train
DB01039,Fenofibrate,DBMET02798,Reduced Fenofibric Acid,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(O)c2ccc(Cl)cc2)cc1)C(=O)O,DB01039,DrugBank Augmented,0.4888888888888889,train
DB16627,Melphalan flufenamide,DBMET03698,Monohydroxymelphalan,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O,DB16627,DrugBank Augmented,0.4912280701754385,train
DB16627,Melphalan flufenamide,DBMET03699,,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCO)CCO)cc1)C(=O)O,DB16627,DrugBank Augmented,0.4035087719298245,train
DB01086,Benzocaine,DBMET03290,4-Acetaminobenzoic acid,CCOC(=O)c1ccc(N)cc1,CC(=O)Nc1ccc(C(=O)O)cc1,DB01086,DrugBank Augmented,0.2571428571428571,train
DB01235,Levodopa,DBMET02451,Dopamine-3-O-glucuronide,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1,DB01235,DrugBank Augmented,0.2830188679245283,train
DB01235,Levodopa,DBMET02440,3-Methoxytyramine,NC(Cc1ccc(O)c(O)c1)C(=O)O,COc1cc(CCN)ccc1O,DB01235,DrugBank Augmented,0.2926829268292683,train
DB01235,Levodopa,DBMET02445,"3,4-Dihydroxyphenylacetaldehyde (DOPAL)",NC(Cc1ccc(O)c(O)c1)C(=O)O,O=CCc1ccc(O)c(O)c1,DB01235,DrugBank Augmented,0.4545454545454545,train
DB01255,Lisdexamfetamine,DBMET00540,Norephedrine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(N)C(O)c1ccccc1,DB01255,DrugBank Augmented,0.2666666666666666,train
DB01255,Lisdexamfetamine,DBMET03721,4-Hydroxy-d-amphetamine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(N)Cc1ccc(O)cc1,DB01255,DrugBank Augmented,0.2888888888888888,train
DB01255,Lisdexamfetamine,DBMET02222,Phenylacetone,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(=O)Cc1ccccc1,DB01255,DrugBank Augmented,0.3023255813953488,train
DB01420,Testosterone propionate,DBMET01585,6beta-hydroxy-androstenedione,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CC(O)C4=CC(=O)CCC43C)C1CCC2=O,DB01420,DrugBank Augmented,0.365079365079365,train
DB13854,Gamolenic acid,DBMET01593,5-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CC=CC(O)CCCC(=O)O,DB13854,DrugBank Augmented,0.6486486486486487,train
DB13854,Gamolenic acid,DBMET01594,7-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CC(O)C=CCCCC(=O)O,DB13854,DrugBank Augmented,0.7058823529411765,train
DB13854,Gamolenic acid,DBMET01595,10-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CC(O)C=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.7272727272727273,train
DB13854,Gamolenic acid,DBMET01596,13-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CC(O)C=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.7058823529411765,train
DB13854,Gamolenic acid,DBMET01597,20-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,O=C(O)CCCC=CCC=CCC=CCC=CCCCCCO,DB13854,DrugBank Augmented,0.6129032258064516,train
DB13854,Gamolenic acid,DBMET01598,19-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CC(O)CCCC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.5588235294117647,train
DB13854,Gamolenic acid,DBMET01599,18-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCC(O)CCC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.5714285714285714,train
DB13854,Gamolenic acid,DBMET01600,17-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCC(O)CC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.5833333333333334,train
DB13854,Gamolenic acid,DBMET01601,16-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCC(O)C=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.6285714285714286,train
DB13854,Gamolenic acid,DBMET01602,"14,15-EET",CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC1OC1CC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.5897435897435898,train
DB13854,Gamolenic acid,DBMET01603,"11,12-EET",CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.6857142857142857,train
DB13854,Gamolenic acid,DBMET01604,"8,9-EET",CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC1OC1CC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.6857142857142857,train
DB13854,Gamolenic acid,DBMET01605,"5,6-EET",CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCC1OC1CCCC(=O)O,DB13854,DrugBank Augmented,0.631578947368421,train
DB13854,Gamolenic acid,DBMET01606,15-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC(O)C=CC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.6052631578947368,train
DB13854,Gamolenic acid,DBMET01607,12-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.631578947368421,train
DB13854,Gamolenic acid,DBMET01608,11-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.631578947368421,train
DB13854,Gamolenic acid,DBMET01609,9-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC(O)C=CC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.631578947368421,train
DB13854,Gamolenic acid,DBMET01610,8-HETE,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CC=CC(O)CC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.631578947368421,train
DB00285,Venlafaxine,DBMET02409,Benzyl hydroxy desvenlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)c(O)c1)C1(O)CCCCC1,DB00285,DrugBank Augmented,0.627906976744186,train
DB00285,Venlafaxine,DBMET02410,Cyclohexane ring hydroxy desvenlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)cc1)C1(O)CCC(O)CC1,DB00285,DrugBank Augmented,0.5217391304347826,train
DB00285,Venlafaxine,DBMET02411,Desvenlafaxine O-glucuronide,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1,DB00285,DrugBank Augmented,0.5535714285714286,train
