parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,set
DB00518,Albendazole,DBMET00791,albendazole sulfoxide,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1,train
DB01364,Ephedrine,DBMET00540,Norephedrine,CNC(C)C(O)c1ccccc1,CC(N)C(O)c1ccccc1,train
DB01215,Estazolam,DBMET00732,4-hydroxy-estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21,train
DBMET03725,5-OH-gepirone,DBMET03724,"3',5-di-OH-gepirone",CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O,train
DB12016,Ponesimod,DBMET03308,Ponesimod M6 Metabolite,CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,CCCN=C1SC(Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,train
DBMET03165,Chloramphenicol Aryl Amine,DBMET03166,Chloramphenicol Aryl Amide,Nc1ccc(C(O)C(N)CO)cc1,CC(=O)Nc1ccc(C(O)C(N)CO)cc1,train
DBMET02078,M3 (Bioallethrin),DBMET02082,M7 (Bioallethrin),C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)CO)CC1=O,train
DB00182,Amphetamine,DBMET02222,Phenylacetone,CC(N)Cc1ccccc1,CC(=O)Cc1ccccc1,train
DB11217,Arbutin,DB01914,D-glucose,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,O=CC(O)C(O)C(O)C(O)CO,train
DB11986,Entrectinib,DBMET02745,ENB577b,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1O,train
DBMET03570,DM4,DBMET03571,S-methyl-DM4,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(C)(C)S)C1(C)OC1C(C)C1CC(O)(N=C(O)O1)C(OC)C=CC=C(C)C2,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(C)(C)SC)C1(C)OC1C(C)C1CC(O)(N=C(O)O1)C(OC)C=CC=C(C)C2,train
DB04573,Estriol,DBMET00604,Estriol 3-sulfate 16-glucuronide,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CC(OC1OC(C(=O)O)C(O)C(O)C1O)C2O,train
DB09167,Dosulepin,DBMET01519,Dosulepin S-oxide,CN(C)CCC=C1c2ccccc2CSc2ccccc21,CN(C)CCC=C1c2ccccc2C[S+]([O-])c2ccccc21,train
DB09074,Olaparib,DBMET03439,Olaparib M1 metabolite,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1,train
DB06716,Fospropofol,DBMET00532,Phosphate,CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O,O=P(O)(O)O,train
DB00655,Estrone,DBMET00569,Estrone glucuronide,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2=O,train
DB06480,Prucalopride,DBMET02202,Hydroxy prucalopride,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,COCCCN1CCC(NC(=O)c2c(O)c(Cl)c(N)c3c2OCC3)CC1,train
DBMET03575,5'-hydroxysulfapyridine,DBMET03576,5'-hydroxysulfapyridine-O-glucuronide,Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1,Nc1ccc(S(=O)(=O)Nc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cn2)cc1,train
DB00614,Furazolidone,DBMET00706,3-amino-2-oxazolidone,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,NN1CCOC1=O,train
DB12364,Betrixaban,DBMET01536,PRT062803,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1,train
DB09343,Tipiracil,DBMET01853,6-(hydroxymethyl)uracil,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,O=c1cc(CO)[nH]c(=O)[nH]1,train
DBMET02260,N-desmethylbenztropine,DBMET02261,N-desmethyl-4'-hydroxy benztropine,c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,OC1(OC(c2ccccc2)c2ccccc2)CC2CCC(C1)N2,train
DB00674,Galantamine,DBMET03148,Galantaminone,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,COc1ccc2c3c1OC1CC(=O)C=CC31CCN(C)C2,train
DB00764,Mometasone,DBMET00759,6-beta-hydroxy-mometasone furoate,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CCl,CC1CC2C3C(O)CC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,train
DB01022,Phylloquinone,DBMET03365,Vitamin K 5 Carbon Metabolite,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)C(=O)O,train
DBMET02358,Free Piperazine Derivative,DBMET02359,Diamine Metabolite Of The Piperazine Compound,COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC,COc1cc2nc(N)nc(N)c2cc1OC,train
DB01042,Melphalan,DBMET03273,Monohydroxy-melphalan,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O,train
DB01219,Dantrolene,DBMET00751,5-hydroxydantrolene,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,O=C1N=C(O)C(O)N1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1,train
DB01275,Hydralazine,DBMET02820,Unnamed hydralazine metabolite,NNc1nncc2ccccc12,CC(=O)NNc1nncc2ccccc12,train
DB08822,Azilsartan medoxomil,DBMET03335,Azilsartan,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,train
DB11763,Momelotinib,DBMET03713,Momelotinib M19 metabolite,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,O=C(O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,train
DB00509,Dextrothyroxine,DBMET00586,Thyroxine glucuronide,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2cc(I)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(I)c2)c(I)c1)C(=O)O,train
DBMET03172,Heptanoate,DBMET03175,Acetyl Coenzyme A,CCCCCCC(=O)O,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
DBMET02517,oxociprofloxacin,DBMET02515,Desethylene ciprofloxacin,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,train
DB14568,Ivosidenib,DBMET03502,Ivosidenib M30 metabolite,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(N)=O)c2ccccc2Cl)c1,train
DB15465,Benzhydrocodone,DB00956,Hydrocodone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,train
DB01197,Captopril,DBMET00803,captopril-cysteine disulfide,CC(CS)C(=O)N1CCCC1C(=O)O,CC(CSSCC(N)C(=O)O)C(=O)N1CCCC1C(=O)O,train
DB14733,Ceftobiprole medocaril,DB04918,Ceftobiprole,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1,Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1,train
DBMET03343,2-desmethyltrimetazidine,DBMET03346,2-desmethyltrimetazidine O-sulphate,COc1ccc(CN2CCNCC2)c(O)c1OC,COc1ccc(CN2CCNCC2)c(OS(=O)(=O)O)c1OC,train
DB11204,Panthenol,DB01783,Pantothenic acid,CC(C)(CO)C(O)C(=O)NCCCO,CC(C)(CO)C(O)C(=O)NCCC(=O)O,train
DBMET03655,Leniolisib M43 metabolite,DBMET03656,Leniolisib M48 metabolite,COc1ncc(N2CCc3ncnc(N)c3C2)cc1C(F)(F)F,Nc1ncnc2c1CN(c1cnc(O)c(C(F)(F)F)c1)CC2,train
DBMET01120,2-(o-carboxybenzamido)glutaramic acid,DB02746,Phthalic Acid,NC(=O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O,O=C(O)c1ccccc1C(=O)O,train
DB00988,Dopamine,DBMET00573,Dopamine 3-O-sulfate,NCCc1ccc(O)c(O)c1,NCCc1ccc(O)c(OS(=O)(=O)O)c1,train
DB04839,Cyproterone acetate,DBMET00672,15beta-hydroxycyproterone acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,CC(=O)OC1(C(C)=O)CC(O)C2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,train
DB00446,Chloramphenicol,DBMET03158,Chloramphenicol 3-acetate,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,train
DB01577,Metamfetamine,DBMET00733,4-hydroxyamphetamine,CNC(C)Cc1ccccc1,CC(N)Cc1ccc(O)cc1,train
DB00409,Remoxipride,DBMET03192,Remoxipride Metabolite FLA 838,CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC,COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1,train
DB01213,Fomepizole,DBMET00728,4-carboxypyrazole,Cc1cn[nH]c1,O=C(O)c1cn[nH]c1,train
DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate,O=C1OC(C(O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(=O)C1=O,train
DB00400,Griseofulvin,DBMET00765,6-methyl-griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(C)cc(OC)c1C2=O,train
DB12532,Oxetacaine,DB01365,Mephentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CNC(C)(C)Cc1ccccc1,train
DB11986,Entrectinib,DBMET02748,ENB547,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,O=C(Nc1n[nH]c2ccc(Cc3cc(F)cc(F)c3)cc12)c1ccc(N2CCNCC2)cc1NC1CCOCC1,train
DB00929,Misoprostol,DBMET02637,Misoprostol Acid (SC-30695),CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)O,train
DBMET02673,Labetalol 3-hydroxylated Metabolite (VI),DBMET02676,Labetalol Theoretical Metabolite (IX),CC(CCc1ccccc1)NCC(O)c1cc(O)c(O)c(C(N)=O)c1,CC(CCc1ccccc1)n1ccc2cc(O)c(O)c(C(N)=O)c21,train
DB00246,Ziprasidone,DBMET02989,"3-(piperazine-1-yl)-1,2-benzisothiazole",O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,c1ccc2c(N3CCNCC3)nsc2c1,train
DB00571,Propranolol,DBMET02587,α-Naphthoxylactic Acid,CC(C)NCC(O)COc1cccc2ccccc12,O=C(O)C(O)COc1cccc2ccccc12,train
DB00783,Estradiol,DBMET00576,2-methoxy-17beta-estradiol 3-O-(beta-D-glucuronide),CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,COc1cc2c(cc1OC1OC(C(=O)O)C(O)C(O)C1O)CCC1C2CCC2(C)C(O)CCC12,train
DB06751,,DBMET03306,6-desethyl-drotaverine,CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1OCC,CCOc1cc2c(cc1O)CCNC2=Cc1ccc(OCC)c(OCC)c1,train
DB08932,Macitentan,DBMET03420,M3,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,train
DB13729,Camostat,DBMET03117,4-(4-guanidinobenzoyloxy)phenylacetic Acid,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1,train
DB00421,Spironolactone,DBMET02481,7-alpha-thiospironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,CC12CCC(=O)C=C1CC(S)C1C2CCC2(C)C1CCC21CCC(=O)O1,train
DB09357,Dexpanthenol,DB01783,Pantothenic acid,CC(C)(CO)C(O)C(=O)NCCCO,CC(C)(CO)C(O)C(=O)NCCC(=O)O,train
DBMET03657,Leniolisib M1 metabolite,DBMET03656,Leniolisib M48 metabolite,CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(O)c(C(F)(F)F)c2)CC3)C1,Nc1ncnc2c1CN(c1cnc(O)c(C(F)(F)F)c1)CC2,train
DB01240,Epoprostenol,DBMET00557,6-Keto-PGF1-alpha,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,CCCCCC(O)C=CC1C(O)CC(O)C1CC(=O)CCCCC(=O)O,train
DB16165,Finerenone,DBMET03398,Finerenone M10 Metabolite,CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,CCOc1ncc(C(=O)O)c2c1C(c1ccc(C#N)cc1O)C(C(N)=O)=C(CO)N2,train
DBMET02549,4-hydroxy-all-trans-retinoic acid,DBMET02550,4-oxo-all-trans-retinoic acid,CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O,train
DB13747,Trolamine,DBMET02085,Glucuronide Conjugate (Trolamine),OCCN(CCO)CCO,O=C(O)C1OC(OCCN(CCO)CCO)C(O)C(O)C1O,train
DB00296,Ropivacaine,DBMET01742,PPX,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1NC(=O)C1CCCCN1,train
DB00374,Treprostinil,DBMET03508,Treprostinil metabolite HU4,CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,O=C(O)CC=CCCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,train
DB14583,Segesterone acetate,DBMET02130,"3β, 5α-tetrahydrosegesterone acetate",C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O,C=C1CC2C3CCC4CC(O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O,train
DB15661,Molnupiravir,DB15660,N4-Hydroxycytidine,CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O,O=c1nc(NO)ccn1C1OC(CO)C(O)C1O,train
DBMET03194,Remoxipride Metabolite NCL 118,DBMET03196,Remoxipride Metabolite NCM 009,COc1ccc(Br)c(OC)c1C(=O)NCC1CCC(=O)N1,COc1ccc(Br)c(OC)c1C(=O)NCC1(O)CCC(=O)N1,train
DB13306,Chlorquinaldol,DBMET02452,Chorquinaldol Sulfate Metabolite,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS(O)(O)O)c2n1,train
DB00477,Chlorpromazine,DBMET00822,dedimethylchlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,train
DB04876,Vildagliptin,DBMET03320,Vildagliptin M15.3 metabolite,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,O=C(O)CNC12CC3CC(CC(O)(C3)C1)C2,train
DB01068,Clonazepam,DBMET03610,3-hydroxy-clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1O,train
DB11219,Enzacamene,DBMET02091,3-(4-hydroxymethylbenzylidene)camphor,Cc1ccc(C=C2C(=O)C3(C)CCC2C3(C)C)cc1,CC12CCC(C(=Cc3ccc(CO)cc3)C1=O)C2(C)C,train
DB14681,Cortisone,DBMET02902,Tetrahydrocortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(O)CC1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,train
DBMET03688,DACH platinum methionine,DBMET03689,DACH platinum bis(Met) complex,NC(CCS[Pt]1(SCCC(N)C(=O)O)NC2CCCCC2N1)C(=O)O,O=C(O)C1CCS[Pt]23SCCC(C(=O)O)N2C2CCCCC2N13,train
DBMET01949,Aranidipine M-1,DBMET01950,Aranidipine M-2,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)O)C1c1ccccc1[N+](=O)[O-],CCC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1ccccc1[N+](=O)[O-],train
DB04325,Phenethylamine,DB09269,Phenylacetic acid,NCCc1ccccc1,O=C(O)Cc1ccccc1,train
DB11703,Acalabrutinib,DBMET02885,Acalabrutinib M5 Metabolite (ACP-5530),CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,train
DB13175,Rheinanthrone,DBMET01449,Sennidin A,O=C(O)c1cc(O)c2c(c1)Cc1cccc(O)c1C2=O,O=C(O)c1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)cc(C(=O)O)cc31)c1cccc(O)c1C2=O,train
DB14028,Nordazepam,DBMET01219,Nordiazepam O-glucuronide,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O,train
DB00619,Imatinib,DBMET03526,M42.2 imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1Nc1nccc(-c2cccnc2)n1,train
DBMET02635,N-desmethylpheniramine,DBMET02636,N-didesmethylpheniramine,CNCCC(c1ccccc1)c1ccccn1,NCCC(c1ccccc1)c1ccccn1,train
DB14569,Tedizolid,DBMET03123,Tedizolid sulphate,Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4CC(C=S(=O)(O)O)OC4=O)cc3F)cn2)n1,train
DBMET01340,Valdecoxib metabolite M7,DBMET01341,Valdecoxib metabolite M8,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)O)cc1,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)O)cc1,train
DB08882,Linagliptin,DBMET02387,Linagliptin M503(1),CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C(=O)O)c3ccccc3n1)c(=O)n2C,train
DB00863,Ranitidine,DBMET02353,Ranitidine N-Oxide,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CNC(=C[N+](=O)[O-])NCCSCc1ccc(C[N+](C)(C)[O-])o1,train
DBMET03406,Deoxydaunorubicinol aglycone,DBMET03406,Deoxydaunorubicinol aglycone,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3,train
DB00635,Prednisone,DBMET02863,6α-hydroxy-prednisone (M-XIII),CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,train
DB00776,Oxcarbazepine,DBMET02807,Oxcarbazepine sulfate metabolite,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NC(=O)N1c2ccccc2C=C(OS(=O)(=O)O)c2ccccc21,train
DB01162,Terazosin,DBMET02358,Free Piperazine Derivative,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC,train
DBMET01536,PRT062803,DBMET01538,PRT062982,COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1,COc1cc(O)c(N)c(C(=O)Nc2ccc(Cl)cn2)c1,train
