parent_name,child_name,parent_smiles,child_smiles,origin,source,set,tanimoto
Ipratropium,Phenylacetic acid,"[LogP_[2.0, 3.0)]CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2",O=C(O)Cc1ccccc1,DB00332,DrugBank,train,0.2040816326530612
Fluoxetine,Fluoxetine glucuronide,"[LogP_[4.0, 5.0)]CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1",CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O,DB00472,Both,train,0.4915254237288136
Dextromethorphan,Dextrorphan,"[LogP_[3.0, 4.0)]COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,DB00514,Both,train,0.7083333333333334
Benazepril,Benazeprilat,"[LogP_[2.0, 3.0)]CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O",O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,DB00542,DrugBank,train,0.8
Hydroxyzine,Cetirizine,"[LogP_[3.0, 4.0)]OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1",O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DB00557,DrugBank,train,0.7446808510638298
Thiopental,Pentobarbital,"[LogP_[1.0, 2.0)]CCCC(C)C1(CC)C(=O)NC(=S)NC1=O",CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00599,DrugBank,train,0.7333333333333333
Testosterone,Androstenedione,"[LogP_[3.0, 4.0)]CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12",CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,DB01420,Both,train,0.6590909090909091
Clorazepic acid,Nordazepam,"[LogP_[2.0, 3.0)]O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DB00628,DrugBank,train,0.5510204081632653
Guanabenz,Guanoxabenz,"[LogP_[1.0, 2.0)]NC(N)=NN=Cc1c(Cl)cccc1Cl",N=C(NO)NN=Cc1c(Cl)cccc1Cl,DB00629,DrugBank,train,0.4210526315789473
Mycophenolate mofetil,Mycophenolic acid,"[LogP_[2.0, 3.0)]COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2",COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank,train,0.65625
Hydrocortisone,Cortisone,"[LogP_[1.0, 2.0)]CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO",CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00741,DrugBank,train,0.6896551724137931
Phenelzine,Phenylacetic acid,"[LogP_[0.0, 1.0)]NNCCc1ccccc1",O=C(O)Cc1ccccc1,DB00780,DrugBank,train,0.3333333333333333
Phenelzine,Phenethylamine,"[LogP_[0.0, 1.0)]NNCCc1ccccc1",NCCc1ccccc1,DB00780,DrugBank,train,0.5217391304347826
Phenethylamine,Phenylacetic acid,"[LogP_[1.0, 2.0)]NCCc1ccccc1",O=C(O)Cc1ccccc1,DB00780,DrugBank,train,0.375
Candesartan cilexetil,Candesartan,"[LogP_[6.0, 7.0)]CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1",CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,DB00796,DrugBank,train,0.6708860759493671
Pentoxifylline,Lisofylline,"[LogP_[0.0, 1.0)]CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O",CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB12406,DrugBank,train,0.6818181818181818
Diazepam,Nordazepam,"[LogP_[3.0, 4.0)]CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DB00829,DrugBank,train,0.5416666666666666
Diazepam,Temazepam,"[LogP_[3.0, 4.0)]CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21",CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,DB00829,Both,train,0.5918367346938775
Prednisolone,Prednisone,"[LogP_[1.0, 2.0)]CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO",CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank,train,0.6896551724137931
Cocaine,Benzoylecgonine,"[LogP_[1.0, 2.0)]COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C",CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,DB00907,DrugBank,train,0.8
Hydrocodone,Hydromorphone,"[LogP_[1.0, 2.0)]COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314",CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DB15465,Both,train,0.7777777777777778
Dimenhydrinate,8-chlorotheophylline,"[LogP_[-1.0, 0.0)]Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O",Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,DB00985,DrugBank,train,0.5428571428571428
Isosorbide mononitrate,Isosorbide,"[LogP_[-2.0, -1.0)]O=[N+]([O-])OC1COC2C(O)COC12",OC1COC2C(O)COC12,DB01020,DrugBank,train,0.5
Phylloquinone,Menatetrenone,"[LogP_[9.0, 10.0)]CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C",CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,DB01022,DrugBank,train,0.6122448979591837
Selegiline,Levmetamfetamine,"[LogP_[2.0, 3.0)]C#CCN(C)C(C)Cc1ccccc1",CNC(C)Cc1ccccc1,DB01037,Both,train,0.4
Fenofibrate,Fenofibric acid,"[LogP_[4.0, 5.0)]CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1",CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,DB01039,DrugBank,train,0.6666666666666666
Benzocaine,Aminobenzoic acid,"[LogP_[1.0, 2.0)]CCOC(=O)c1ccc(N)cc1",Nc1ccc(C(=O)O)cc1,DB01086,DrugBank,train,0.4814814814814814
Nefazodone,m-Chlorophenylpiperazine,"[LogP_[3.0, 4.0)]CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1",Clc1cccc(N2CCNCC2)c1,DB01149,Both,train,0.3387096774193548
Levodopa,Dopamine,"[LogP_[0.0, 1.0)]NC(Cc1ccc(O)c(O)c1)C(=O)O",NCCc1ccc(O)c(O)c1,DB01235,DrugBank,train,0.4545454545454545
Olsalazine,Mesalazine,"[LogP_[2.0, 3.0)]O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O",Nc1ccc(O)c(C(=O)O)c1,DB01250,DrugBank,train,0.5517241379310345
Lisdexamfetamine,Dextroamphetamine,"[LogP_[1.0, 2.0)]CC(Cc1ccccc1)NC(=O)C(N)CCCCN",CC(N)Cc1ccccc1,DB01255,DrugBank,train,0.4
Lisdexamfetamine,Lysine,"[LogP_[1.0, 2.0)]CC(Cc1ccccc1)NC(=O)C(N)CCCCN",NCCCCC(N)C(=O)O,DB01255,DrugBank,train,0.425
Mestranol,Ethinylestradiol,"[LogP_[3.0, 4.0)]C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB01357,Both,train,0.7647058823529411
Colchicine,Colchiceine,"[LogP_[2.0, 3.0)]COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2",COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,DB01394,Both,train,0.8490566037735849
Bambuterol,Terbutaline,"[LogP_[2.0, 3.0)]CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1",CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DB01408,DrugBank,train,0.5121951219512195
Testosterone propionate,Testosterone,"[LogP_[4.0, 5.0)]CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C",CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB01420,DrugBank,train,0.6415094339622641
,Edaravone,"[LogP_[1.0, 2.0)]Cc1cc(=O)n(-c2ccccc2)n1C",CC1=NN(c2ccccc2)C(=O)C1,DB01435,DrugBank,train,0.3421052631578947
Metamfetamine,Dextroamphetamine,"[LogP_[1.0, 2.0)]CNC(C)Cc1ccccc1",CC(N)Cc1ccccc1,DB01577,Both,train,0.5384615384615384
Lauric acid,12-Hydroxydodecanoic Acid,"[LogP_[3.0, 4.0)]CCCCCCCCCCCC(=O)O",O=C(O)CCCCCCCCCCCO,DB14185,Both,train,0.5714285714285714
Phenacetin,Acetaminophen,"[LogP_[2.0, 3.0)]CCOc1ccc(NC(C)=O)cc1",CC(=O)Nc1ccc(O)cc1,DB03783,Both,train,0.5172413793103449
Quinestrol,Ethinylestradiol,"[LogP_[5.0, 6.0)]C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB04575,DrugBank,train,0.7090909090909091
Pentaerythritol tetranitrate,Pentaerithrityl,"[LogP_[-2.0, -1.0)]O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]",OCC(CO)(CO)CO,DB06154,DrugBank,train,0.2
Isavuconazonium,Isavuconazole,"[LogP_[4.0, 5.0)]CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(CC(O)(c2cc(F)ccc2F)C(C)c2nc(-c3ccc(C#N)cc3)cs2)c1",CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,DB06636,DrugBank,train,0.5094339622641509
Betaine,"N,N-dimethylglycine","[LogP_[-2.0, -1.0)]C[N+](C)(C)CC(=O)[O-]",CN(C)CC(=O)O,DB06756,DrugBank,train,0.2083333333333333
Chloramphenicol succinate,Chloramphenicol,"[LogP_[1.0, 2.0)]O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1",O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,DB07565,DrugBank,train,0.64
(R)-Fluoxetine,4-(trifluoromethyl)phenol,"[LogP_[4.0, 5.0)]CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1",Oc1ccc(C(F)(F)F)cc1,DB08472,Both,train,0.275
(S)-Fluoxetine,Seproxetine,"[LogP_[4.0, 5.0)]CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1",NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,DB08544,Both,train,0.7
Nandrolone decanoate,Nandrolone,"[LogP_[7.0, 8.0)]CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C",CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,DB08804,DrugBank,train,0.603448275862069
Dimethyl fumarate,Monomethyl fumarate,"[LogP_[-1.0, 0.0)]COC(=O)C=CC(=O)OC",COC(=O)C=CC(=O)O,DB08908,DrugBank,train,0.7647058823529411
Tedizolid phosphate,Tedizolid,"[LogP_[1.0, 2.0)]Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1",Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1,DB09042,DrugBank,train,0.7941176470588235
Etoperidone,m-Chlorophenylpiperazine,"[LogP_[2.0, 3.0)]CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC",Clc1cccc(N2CCNCC2)c1,DB09194,Both,train,0.3962264150943396
Pholcodine,Morphine,"[LogP_[1.0, 2.0)]CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5",CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB09209,DrugBank,train,0.6721311475409836
Propacetamol,Acetaminophen,"[LogP_[1.0, 2.0)]CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1",CC(=O)Nc1ccc(O)cc1,DB09288,DrugBank,train,0.4166666666666667
Dexpanthenol,Pantothenic acid,"[LogP_[-2.0, -1.0)]CC(C)(CO)C(O)C(=O)NCCCO",CC(C)(CO)C(O)C(=O)NCCC(=O)O,DB09357,DrugBank,train,0.6451612903225806
Xylose,Xylitol,"[LogP_[-3.0, -2.0)]O=CC(O)C(O)C(O)CO",OCC(O)C(O)C(O)CO,DB09301,DrugBank,train,0.5263157894736842
Xylitol,D-Xylulose,"[LogP_[-3.0, -2.0)]OCC(O)C(O)C(O)CO",O=C(CO)C(O)C(O)CO,DB09419,DrugBank,train,0.4
Cetyl alcohol,Palmitic Acid,"[LogP_[5.0, 6.0)]CCCCCCCCCCCCCCCCO",CCCCCCCCCCCCCCCC(=O)O,DB09494,DrugBank,train,0.4285714285714285
Arbutin,Hydroquinone,"[LogP_[-2.0, -1.0)]OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O",Oc1ccc(O)cc1,DB11217,DrugBank,train,0.2580645161290322
Gamolenic acid,Dihomo-gamma-linolenic acid,"[LogP_[5.0, 6.0)]CCCCCC=CCC=CCC=CCCCCC(=O)O",CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB11358,DrugBank,train,0.9615384615384616
Latanoprostene bunod,Latanoprost,"[LogP_[3.0, 4.0)]O=C(CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1)OCCCCO[N+](=O)[O-]",CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,DB11660,DrugBank,train,0.6911764705882353
Brincidofovir,Cidofovir,"[LogP_[5.0, 6.0)]CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,DB12151,DrugBank,train,0.6271186440677966
Lisofylline,Pentoxifylline,"[LogP_[-1.0, 0.0)]CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O",CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB00806,Both,train,0.6818181818181818
Trofosfamide,Ifosfamide,"[LogP_[2.0, 3.0)]O=P1(N(CCCl)CCCl)OCCCN1CCCl",O=P1(NCCCl)OCCCN1CCCl,DB12902,DrugBank,train,0.5384615384615384
Nicoboxil,Niacin,"[LogP_[2.0, 3.0)]CCCCOCCOC(=O)c1cccnc1",O=C(O)c1cccnc1,DB12911,DrugBank,train,0.425
Darolutamide,Ketodarolutamide,"[LogP_[2.0, 3.0)]CC(Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc(C(C)O)[nH]n1",CC(=O)c1cc(C(=O)NC(C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,DB12941,DrugBank,train,0.7878787878787878
Acemetacin,Indomethacin,"[LogP_[3.0, 4.0)]COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1",COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,DrugBank,train,0.8113207547169812
Iodoform,Iodine,"[LogP_[2.0, 3.0)]IC(I)I",II,DB13813,DrugBank,train,0.2
Arachidonic Acid,Dinoprostone,"[LogP_[6.0, 7.0)]CCCCCC=CCC=CCC=CCC=CCCCC(=O)O",CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,DB00154,DrugBank,train,0.4230769230769231
Methyl nicotinate,Niacin,"[LogP_[0.0, 1.0)]COC(=O)c1cccnc1",O=C(O)c1cccnc1,DB13882,DrugBank,train,0.5862068965517241
Testosterone cypionate,Testosterone,"[LogP_[6.0, 7.0)]CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12",CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13943,DrugBank,train,0.576271186440678
Testosterone enanthate,Testosterone,"[LogP_[6.0, 7.0)]CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C",CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13944,DrugBank,train,0.603448275862069
Testosterone undecanoate,Testosterone,"[LogP_[7.0, 8.0)]CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C",CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13946,DrugBank,train,0.603448275862069
Estradiol acetate,Estradiol,"[LogP_[3.0, 4.0)]CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13952,DrugBank,train,0.6862745098039216
Estradiol benzoate,Estradiol,"[LogP_[5.0, 6.0)]CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13953,DrugBank,train,0.6363636363636364
Estradiol cypionate,Estradiol,"[LogP_[6.0, 7.0)]CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13954,DrugBank,train,0.5666666666666667
Estradiol dienanthate,Estradiol,"[LogP_[8.0, 9.0)]CCCCCCC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)CCCCCC)CCC12",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13955,DrugBank,train,0.4696969696969697
Estradiol valerate,Estradiol,"[LogP_[5.0, 6.0)]CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13956,DrugBank,train,0.6140350877192983
Isopropyl myristate,Myristic acid,"[LogP_[5.0, 6.0)]CCCCCCCCCCCCCC(=O)OC(C)C",CCCCCCCCCCCCCC(=O)O,DB13966,DrugBank,train,0.4814814814814814
Betamethasone phosphate,Betamethasone,"[LogP_[2.0, 3.0)]CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O",CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,DB14669,DrugBank,train,0.7692307692307693
Ceftobiprole medocaril,Ceftobiprole,"[LogP_[-1.0, 0.0)]Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1",Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1,DB14733,DrugBank,train,0.6979166666666666
Diroximel fumarate,Monomethyl fumarate,"[LogP_[-1.0, 0.0)]COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O",COC(=O)C=CC(=O)O,DB14783,DrugBank,train,0.4117647058823529
Monomethyl fumarate,Fumaric acid,"[LogP_[-1.0, 0.0)]COC(=O)C=CC(=O)O",O=C(O)C=CC(=O)O,DB08908,DrugBank,train,0.5294117647058824
Benzhydrocodone,Hydrocodone,"[LogP_[3.0, 4.0)]COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314",COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,DB15465,DrugBank,train,0.5882352941176471
Prednisolone acetate,Prednisolone,"[LogP_[2.0, 3.0)]CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C",CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank,train,0.7758620689655172
Molnupiravir,N4-Hydroxycytidine,"[LogP_[-2.0, -1.0)]CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O",O=c1nc(NO)ccn1C1OC(CO)C(O)C1O,DB15661,DrugBank,train,0.3333333333333333
Sulopenem etzadroxil,Sulopenem,"[LogP_[1.0, 2.0)]CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,DB16335,DrugBank,train,0.6875
Melphalan flufenamide,Melphalan,"[LogP_[3.0, 4.0)]CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1",NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DB16627,DrugBank,train,0.5283018867924528
L-Acetylleucine,Leucine,"[LogP_[0.0, 1.0)]CC(=O)NC(CC(C)C)C(=O)O",CC(C)CC(N)C(=O)O,DB16956,DrugBank,train,0.4285714285714285
Calcitriol,Calcitroic acid,"[LogP_[5.0, 6.0)]C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O",C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,DB00169,DrugBank,train,0.703125
Tetrahydrofolic acid,"5,10-methylene tetrahydrofolate (THF)","[LogP_[-1.0, 0.0)]Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2",N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,DB00158,DrugBank,train,0.4578313253012048
Theophylline,1-Methylxanthine,"[LogP_[-2.0, -1.0)]Cn1c(=O)c2[nH]cnc2n(C)c1=O",Cn1c(=O)[nH]c2nc[nH]c2c1=O,DB00201,DrugBank,train,0.5142857142857142
Temazepam,Oxazepam glucuronide,"[LogP_[2.0, 3.0)]CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21",O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O,DB00829,DrugBank,train,0.3623188405797101
Theophylline,3-methylxanthine,"[LogP_[-2.0, -1.0)]Cn1c(=O)c2[nH]cnc2n(C)c1=O",Cn1c(=O)[nH]c(=O)c2[nH]cnc21,DB00201,DrugBank,train,0.5588235294117647
Theophylline,"1,3-dimethyluric acid","[LogP_[-2.0, -1.0)]Cn1c(=O)c2[nH]cnc2n(C)c1=O",Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,DB00201,DrugBank,train,0.4
Liothyronine,Diiodothyronine,"[LogP_[3.0, 4.0)]NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O",NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.7674418604651163
Liothyronine,Monoiodothyronine,"[LogP_[3.0, 4.0)]NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O",NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.56
Liothyronine,Triiodothyronine sulfate,"[LogP_[3.0, 4.0)]NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O",NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,DB00451,DrugBank,train,0.7083333333333334
Desvenlafaxine,"N,O-Didesmethylvenlafaxine","[LogP_[2.0, 3.0)]CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1",CNCC(c1ccc(O)cc1)C1(O)CCCCC1,DB00285,DrugBank,train,0.6410256410256411
Desvenlafaxine,O-Desmethylvenlafaxine glucuronide,"[LogP_[2.0, 3.0)]CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1",NCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1,DB00285,DrugBank,train,0.3278688524590163
Morphine,Morphine ethereal sulfate,"[LogP_[1.0, 2.0)]CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5",CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5,DB00295,DrugBank,train,0.5625
