parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles
DB00514,Dextromethorphan,DB14682,Dextrorphan,"Cytochrome P450 2D6, Cytochrome P450 2C9",DB00514,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13
DB00542,Benazepril,DB14125,Benazeprilat,,DB00542,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,O=C(O)CN1C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(=O)O)CCc2ccccc21
DB00557,Hydroxyzine,DB00341,Cetirizine,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00557,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
DB00599,Thiopental,DB00312,Pentobarbital,,DB00599,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00624,Testosterone,DB01536,Androstenedione,"Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 3A4",DB00624,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
DB00628,Clorazepic acid,DB14028,Nordazepam,Cytochrome P450 3A4,DB00628,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
DB00629,Guanabenz,DB13410,Guanoxabenz,Cytochrome P450 1A2,DB00629,NC(N)=NN=Cc1c(Cl)cccc1Cl,N=C(NO)N/N=C/c1c(Cl)cccc1Cl
DB00637,Astemizole,DB06457,Tecastemizole,Cytochrome P450 3A4,DB00637,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1
DB00688,Mycophenolate mofetil,DB01024,Mycophenolic acid,"Liver carboxylesterase 1, Carboxylic ester hydrolase",DB00688,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
DB00741,Hydrocortisone,DB14681,Cortisone,"11-beta-hydroxysteroid dehydrogenase 1, 11-beta-hydroxysteroid dehydrogenase type 2",DB00741,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
DB00755,Tretinoin,DB00982,Isotretinoin,"Cytochrome P450 3A7, Cytochrome P450 2C8, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2A6",DB00755,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
DB00755,Tretinoin,DB00523,Alitretinoin,"Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 3A4",DB00755,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
DB00780,Phenelzine,DB09269,Phenylacetic acid,,DB00780,NNCCc1ccccc1,O=C(O)Cc1ccccc1
DB00780,Phenelzine,DB04325,Phenethylamine,,DB00780,NNCCc1ccccc1,NCCc1ccccc1
DB04325,Phenethylamine,DB09269,Phenylacetic acid,,DB04325,NCCc1ccccc1,O=C(O)Cc1ccccc1
DB00795,Sulfasalazine,DB00244,Mesalazine,,DB00795,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(O)c(C(=O)O)c1
DB00795,Sulfasalazine,DB00891,Sulfapyridine,,DB00795,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
DB00796,Candesartan cilexetil,DB13919,Candesartan,,DB00796,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00806,Pentoxifylline,DB12406,Lisofylline,,DB00806,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
DB00829,Diazepam,DB14028,Nordazepam,"Cytochrome P450 2C9, Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 3A5, Cytochrome P450 3A4",DB00829,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
DB00829,Diazepam,DB00231,Temazepam,"Prostaglandin G/H synthase 1, Cytochrome P450 2C19",DB00829,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00860,Prednisolone,DB00635,Prednisone,,DB00860,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
DB00907,Cocaine,DB01515,Benzoylecgonine,,DB00907,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2
DB00956,Hydrocodone,DB00327,Hydromorphone,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19",DB00956,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
DB00985,Dimenhydrinate,DB14132,8-chlorotheophylline,,DB00985,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
DB00985,Dimenhydrinate,DB01075,Diphenhydramine,,DB00985,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,CN(C)CCOC(c1ccccc1)c1ccccc1
DB01020,Isosorbide mononitrate,DB00435,Nitric Oxide,"Cytochrome P450 3A Subfamily, Glutathione S-transferase Mu 1, Xanthine dehydrogenase/oxidase, Alcohol dehydrogenase class-3",DB01020,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,[N]=O
DB01020,Isosorbide mononitrate,DB09401,Isosorbide,,DB01020,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
DB01022,Phylloquinone,DB12148,Menatetrenone,UbiA prenyltransferase domain-containing protein 1,DB01022,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
DB01037,Selegiline,DB09571,Levmetamfetamine,"Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 2C9, Cytochrome P450 3A4",DB01037,C#CCN(C)[C@H](C)Cc1ccccc1,CN[C@H](C)Cc1ccccc1
DB01039,Fenofibrate,DB13873,Fenofibric acid,Liver carboxylesterase 1,DB01039,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
DB01086,Benzocaine,DB02362,Aminobenzoic acid,,DB01086,CCOC(=O)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1
DB01149,Nefazodone,DB12110,m-Chlorophenylpiperazine,Cytochrome P450 3A4,DB01149,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,Clc1cccc(N2CCNCC2)c1
DB01169,Arsenic trioxide,DB04456,Arsenous acid,,DB01169,O=[As]O[As]=O,O[As](O)O
DB01189,Desflurane,DB11257,Fluoride ion,Cytochrome P450 2E1,DB01189,FC(F)OC(F)C(F)(F)F,[F-]
DB01235,Levodopa,DB00988,Dopamine,Aromatic-L-amino-acid decarboxylase,DB01235,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(O)c1
DB01250,Olsalazine,DB00244,Mesalazine,,DB01250,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,Nc1ccc(O)c(C(=O)O)c1
DB01255,Lisdexamfetamine,DB01576,Dextroamphetamine,,DB01255,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,C[C@H](N)Cc1ccccc1
DB01255,Lisdexamfetamine,DB00123,Lysine,,DB01255,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,NCCCC[C@H](N)C(=O)O
DB01294,Bismuth subsalicylate,DB14572,Bismuth cation,,DB01294,O=C1O[Bi](O)Oc2ccccc21,[Bi+3]
DB01357,Mestranol,DB00977,Ethinylestradiol,Cytochrome P450 2C9,DB01357,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
DB01394,Colchicine,DB15534,Colchiceine,,DB01394,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2
DB01408,Bambuterol,DB00871,Terbutaline,Cholinesterase,DB01408,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
DB01420,Testosterone propionate,DB00624,Testosterone,,DB01420,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
DB01435,,DB12243,Edaravone,"Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 1A2",DB01435,Cc1cc(=O)n(-c2ccccc2)n1C,CC1=NN(c2ccccc2)C(=O)C1
DB01577,Metamfetamine,DB01576,Dextroamphetamine,Cytochrome P450 2D6,DB01577,CN[C@@H](C)Cc1ccccc1,C[C@H](N)Cc1ccccc1
DB01744,Camphor,DB02817,5-Exo-Hydroxycamphor,Cytochrome P450 2D6,DB01744,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CC1(C)[C@H]2CC(=O)[C@]1(C)C[C@H]2O
DB03017,Lauric acid,DB03704,12-Hydroxydodecanoic Acid,"Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2B6",DB03017,CCCCCCCCCCCC(=O)O,O=C(O)CCCCCCCCCCCO
DB03255,Phenol,DB09526,Hydroquinone,Cytochrome P450 2E1,DB03255,Oc1ccccc1,Oc1ccc(O)cc1
DB03766,Propanoic acid,DB02912,Propanoyl-CoA,,DB03766,CCC(=O)O,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
DB02912,Propanoyl-CoA,DB04045,(R)-methylmalonyl-CoA,,DB02912,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
DB04045,(R)-methylmalonyl-CoA,DB03699,Succinyl-Coenzyme A,,DB04045,C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
DB03783,Phenacetin,DB00316,Acetaminophen,Cytochrome P450 1A2,DB03783,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1
DB03783,Phenacetin,DB00316,Acetaminophen,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 2A6",DB03783,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1
DB04575,Quinestrol,DB00977,Ethinylestradiol,,DB04575,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
DB06154,Pentaerythritol tetranitrate,DB12529,Nitrite,Pentaerythritol tetranitrate reductase,DB06154,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],O=N[O-]
DB06154,Pentaerythritol tetranitrate,DB13526,Pentaerithrityl,Pentaerythritol tetranitrate reductase,DB06154,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],OCC(CO)(CO)CO
DB06636,Isavuconazonium,DB11633,Isavuconazole,Cholinesterase,DB06636,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F
DB06756,Betaine,DB02083,"N,N-dimethylglycine",Betaine--homocysteine S-methyltransferase 1,DB06756,C[N+](C)(C)CC(=O)[O-],CN(C)CC(=O)O
DB07565,Chloramphenicol succinate,DB00446,Chloramphenicol,,DB07565,O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
DB08472,(R)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,Cytochrome P450 2D6,DB08472,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1
DB08544,(S)-Fluoxetine,DB06731,Seproxetine,"Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5",DB08544,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB08544,(S)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,"Cytochrome P450 2C19, Cytochrome P450 3A4",DB08544,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1
DB08804,Nandrolone decanoate,DB13169,Nandrolone,"3',5'-cyclic-AMP phosphodiesterase 7B",DB08804,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
DB08908,Dimethyl fumarate,DB14219,Monomethyl fumarate,,DB08908,COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)O
DB09042,Tedizolid phosphate,DB14569,Tedizolid,,DB09042,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1
DB09194,Etoperidone,DB12110,m-Chlorophenylpiperazine,,DB09194,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,Clc1cccc(N2CCNCC2)c1
DB09209,Pholcodine,DB00295,Morphine,,DB09209,CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
DB09215,Droxicam,DB00554,Piroxicam,,DB09215,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
DB09282,Molsidomine,DB13400,Linsidomine,"cGMP-specific 3',5'-cyclic phosphodiesterase",DB09282,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,[NH-]c1c[n+](N2CCOCC2)no1
DB09288,Propacetamol,DB00316,Acetaminophen,Cholinesterase,DB09288,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1
DB09357,Dexpanthenol,DB01783,Pantothenic acid,,DB09357,CC(C)(CO)[C@@H](O)C(=O)NCCCO,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
DB09419,Xylose,DB11195,Xylitol,,DB09419,O=C[C@H](O)[C@@H](O)[C@H](O)CO,OC[C@@H](O)[C@H](O)[C@@H](O)CO
DB11195,Xylitol,DB03947,D-Xylulose,,DB11195,OC[C@@H](O)[C@H](O)[C@@H](O)CO,O=C(CO)[C@@H](O)[C@@H](O)CO
DB09494,Cetyl alcohol,DB03796,Palmitic Acid,Aldo-keto reductase family 1 member A1,DB09494,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCC(=O)O
DB11091,Hydrogen peroxide,DB09140,Oxygen,"Catalase, Glutathione peroxidase 1",DB11091,OO,O=O
DB11091,Hydrogen peroxide,DB09145,Water,"Catalase, Glutathione peroxidase 1",DB11091,OO,O
DB00146,Calcifediol,DB00136,Calcitriol,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",DB00146,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
DB11121,Chloroxylenol,DB11309,Sulfuric acid,UDP-glucuronosyltransferase 1A1,DB11121,Cc1cc(O)cc(C)c1Cl,O=S(=O)(O)O
DB11195,Xylitol,DB03947,D-Xylulose,Xylitol dehydrogenase,DB11195,OC[C@@H](O)[C@H](O)[C@@H](O)CO,O=C(CO)[C@@H](O)[C@@H](O)CO
DB11204,Panthenol,DB01783,Pantothenic acid,,DB11204,CC(C)(CO)C(O)C(=O)NCCCO,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
DB11217,Arbutin,DB01914,D-glucose,,DB11217,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DB11217,Arbutin,DB09526,Hydroquinone,,DB11217,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,Oc1ccc(O)cc1
DB11282,Diethyltoluamide,DB11282,Diethyltoluamide,"Cytochrome P450 1A1, Cytochrome P450 2B6, Cytochrome P450 2D6, Cytochrome P450 2E1",DB11282,CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1
DB13854,Gamolenic acid,DB00154,Dihomo-gamma-linolenic acid,"Very long chain fatty acid elongase 5, Very long chain fatty acid elongase 4",DB13854,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
DB00154,Dihomo-gamma-linolenic acid,DB04557,Arachidonic Acid,Acyl-CoA 6-desaturase,DB00154,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
DB11558,Toluene,DB06770,Benzyl alcohol,"Cytochrome P450 2E1, Cytochrome P450 2B6, Cytochrome P450 2C8, Cytochrome P450 1A2, Cytochrome P450 1A1",DB11558,Cc1ccccc1,OCc1ccccc1
DB11558,Toluene,DB01688,P-Cresol,"Cytochrome P450 2C8, Cytochrome P450 1A2",DB11558,Cc1ccccc1,Cc1ccc(O)cc1
