parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set
DB00503,Ritonavir,DBMET00084,N-Desmethylritonavir,"Cytochrome P450 3A5, Cytochrome P450 3A4, Cytochrome P450 2D6",DB00503,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)c1nc(CNC(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,DrugBank,0.8048780487804879,test
DB00503,Ritonavir,DBMET00385,Hydroxy Ritonavir,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00503,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)C(NC(=O)N(C)Cc1csc(C(C)(C)O)n1)C(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1,DrugBank,0.8313253012048193,test
DB00521,Carteolol,DBMET00311,8-Hydroxycarteolol,Cytochrome P450 2D6,DB00521,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,CC(C)(C)NCC(O)COc1ccc(O)c2c1CCC(O)=N2,DrugBank,0.5172413793103449,test
DB00537,Ciprofloxacin,DBMET02516,Formylciprofloxacin,,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,DrugBank,0.7358490566037735,test
DB00537,Ciprofloxacin,DBMET02517,oxociprofloxacin,,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,DrugBank,0.7735849056603774,test
DB00537,Ciprofloxacin,DBMET02518,Sulfociprofloxacin,,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O,DrugBank,0.7222222222222222,test
DB00573,Fenoprofen,DBMET00854,Fenoprofen glucuronide,,DB00573,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c1cccc(Oc2ccccc2)c1,DrugBank,0.5625,test
DB00573,Fenoprofen,DBMET00744,4'-hydroxyfenoprofen glucuronide,,DB00573,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,CC(C(=O)O)c1cccc(Oc2ccc(OC3C(O)C(O)OC(C(=O)O)C3O)cc2)c1,DrugBank,0.5833333333333334,test
DB00580,Valdecoxib,DBMET01338,Valdecoxib metabolite M2,,DB00580,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1,DrugBank,0.7142857142857143,test
DB00580,Valdecoxib,DBMET01344,Valdecoxib metabolite M1,"Cytochrome P450 2C9, Cytochrome P450 3A4",DB00580,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CO)cc1,Both,0.6590909090909091,test
DB00580,Valdecoxib,DBMET01349,Valdecoxib metabolite M9,"Cytochrome P450 2C9, Cytochrome P450 3A4",DB00580,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Cc1onc(-c2cccc(O)c2)c1-c1ccc(S(N)(=O)=O)cc1,Both,0.7272727272727273,test
DB00631,Clofarabine,DBMET00419,clofarabind-5'-monophosphate,Deoxycytidine kinase,DB00631,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1F,DrugBank,0.7192982456140351,test
DB00648,Mitotane,DBMET03760,Mitotane β-hydroxylated metabolite,,DB00648,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,OC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl,DrugBank,0.5142857142857142,test
DB00648,Mitotane,DBMET03762,"1,1-(o,p'-dichlorodiphenyl) acetic acid",,DB00648,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,O=C(O)C(c1ccc(Cl)cc1)c1ccccc1Cl,DrugBank,0.5142857142857142,test
DB00712,Flurbiprofen,DBMET00151,4'-Hydroxyflurbiprofen,Cytochrome P450 2C9,DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,Both,0.7777777777777778,test
DB00712,Flurbiprofen,DBMET00152,Flurbiprofen glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 2B4",DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c1ccc(-c2ccccc2)c(F)c1,Both,0.5686274509803921,test
DB00731,Nateglinide,DBMET01830,2-{[4-(1-hydroxypropan-2-yl)cyclohexyl]formamido}-3-phenylpropanoic acid,"Cytochrome P450 2C9, Cytochrome P450 3A4",DB00731,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,Both,0.813953488372093,test
DB00731,Nateglinide,DBMET01831,2-{[4-(2-hydroxypropan-2-yl)cyclohexyl]formamido}-3-phenylpropanoic acid,"Cytochrome P450 2C9, Cytochrome P450 3A4",DB00731,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(C)(O)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,Both,0.7111111111111111,test
DB00731,Nateglinide,DBMET01324,Nateglinide metabolite M7,,DB00731,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,C=C(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,DrugBank,0.7441860465116279,test
DB00731,Nateglinide,DBMET01325,Nateglinide glucuronide and isomers (M4/M5/M6),UDP-glucuronosyltransferases (UGTs),DB00731,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)CC1,Both,0.5964912280701754,test
DB00869,Dorzolamide,DBMET03010,N-desethyldorzolamide,"Cytochrome P450 3A2, Cytochrome P450 2B1, Cytochrome P450 2E1",DB00869,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CC1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,DrugBank,0.6666666666666666,test
DB00870,Suprofen,DBMET00162,Suprofen S-oxide,Cytochrome P450 2C9,DB00870,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,CC(C(=O)O)c1ccc(C(=O)c2ccc[s+]2[O-])cc1,Both,0.5,test
DB00870,Suprofen,DBMET00163,"Thiophene-4,5-epoxide",Cytochrome P450 2C9,DB00870,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,CC(C(=O)O)c1ccc(C(=O)C2=CC3OC3S2)cc1,Both,0.5,test
DB00870,Suprofen,DBMET00164,Suprofen glucuronide,"UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 2B7",DB00870,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,CC(C(=O)OC(=O)C1OC(O)C(O)C(O)C1O)c1ccc(C(=O)c2cccs2)cc1,DrugBank,0.5576923076923077,test
DB00889,Granisetron,DBMET00406,9'-desmethylgranisetron,"Cytochrome P450 3A4, Cytochrome P450 1A1",DB00889,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CN1C2CCCC1CC(NC(=O)c1n[nH]c3ccccc13)C2,Both,0.6415094339622641,test
DB00889,Granisetron,DBMET00407,7-hydroxygranisetron,Cytochrome P450 1A1,DB00889,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CN1C2CCCC1CC(NC(=O)c1nn(C)c3c(O)cccc13)C2,DrugBank,0.7254901960784313,test
DB00912,Repaglinide,DBMET00294,hydroxyrepaglinide,Cytochrome P450 2C8,DB00912,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCC(O)C2)ccc1C(=O)O,Both,0.8,test
DB00912,Repaglinide,DBMET00338,repaglinide aromatic amine,Cytochrome P450 3A4,DB00912,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N)ccc1C(=O)O,Both,0.7213114754098361,test
DB01018,Guanfacine,DBMET02968,3-hydroxyguanfacine,Cytochrome P450 3A4,DB01018,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,N=C(N)NC(=O)Cc1c(Cl)ccc(O)c1Cl,DrugBank,0.6857142857142857,test
DB01184,Domperidone,DBMET00364,"5-Chloro-1,3-dihydro-1-(4-piperidinyl)-2H-benzimidazol-2-one",Cytochrome P450 3A4,DB01184,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,Oc1nc2cc(Cl)ccc2n1C1CCNCC1,DrugBank,0.2835820895522388,test
DB01242,Clomipramine,DBMET00777,8-hydroxyclomipramine,Cytochrome P450 2D6,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccc(O)cc2CCc2ccc(Cl)cc21,DrugBank,0.7555555555555555,test
DB01242,Clomipramine,DBMET00817,clomipramine N-oxide,,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccc(Cl)cc21,DrugBank,0.6595744680851063,test
DB01242,Clomipramine,DBMET01635,8-OH-clomipramine,Cytochrome P450 2D6,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2cc(Cl)ccc2CCc2c(O)cccc21,Both,0.7446808510638298,test
DB01242,Clomipramine,DBMET01636,10-OH-clomipramine,Cytochrome P450 2D6,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2cc(Cl)ccc2CC(O)c2ccccc21,Both,0.66,test
DB01242,Clomipramine,DBMET00682,2-hydroxyclomipramine,Cytochrome P450 2D6,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2cc(O)c(Cl)cc21,Both,0.7021276595744681,test
DB01242,Clomipramine,DBMET00244,Desmethylclomipramine,"Cytochrome P450 1A2, Cytochrome P450 2C19, Cytochrome P450 3A4",DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CNCCCN1c2ccccc2CCc2ccc(Cl)cc21,Both,0.6888888888888889,test
DB01452,Diamorphine,DBMET01172,6-Monoacetylmorphine,"Liver carboxylesterase 1, Cocaine esterase",DB01452,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,CC(=O)OC1C=CC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,DrugBank,0.8421052631578947,test
DB01452,Diamorphine,DBMET00313,morphine,Cholinesterase,DB01452,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DrugBank,0.5806451612903226,test
DB01620,Pheniramine,DBMET02635,N-desmethylpheniramine,,DB01620,CN(C)CCC(c1ccccc1)c1ccccn1,CNCCC(c1ccccc1)c1ccccn1,DrugBank,0.6216216216216216,test
DB02659,Cholic Acid,DBMET00553,Cholic acid glucuronide,,DB02659,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CC(O)C12C,Both,0.6571428571428571,test
DB06230,Nalmefene,DBMET01858,Nalmefene 3-O-glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A8",DB06230,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,C=C1CCC2(O)C3Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5c4C2(CCN3CC2CC2)C1O5,DrugBank,0.6438356164383562,test
DB06230,Nalmefene,DBMET01859,Nalmefene 3-O-sulfate,,DB06230,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,C=C1CCC2(O)C3Cc4ccc(OS(=O)(=O)O)c5c4C2(CCN3CC2CC2)C1O5,DrugBank,0.734375,test
DB06230,Nalmefene,DBMET01860,Nornalmefene,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB06230,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5,DrugBank,0.5932203389830508,test
DB06282,Levocetirizine,DBMET02642,Levocetirizine N-oxide Metabolite (M3),,DB06282,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCC[N+]1(O)CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DrugBank,0.6730769230769231,test
DB06282,Levocetirizine,DBMET02644,Levocetirizine O-dealkylated Metabolite (M6),,DB06282,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DrugBank,0.6739130434782609,test
DB06282,Levocetirizine,DBMET02645,Levocetirizine Taurine Conjugated Metabolite (M8),,DB06282,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)NCCS(=O)(=O)O,DrugBank,0.6842105263157895,test
DB06282,Levocetirizine,DBMET02646,Levocetirizine N-dealkylated and Aromatic Hydroxylated Metabolite (M9),,DB06282,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Oc1ccc(C(O)c2ccc(Cl)cc2)cc1,DrugBank,0.24,test
DB06448,Lonafarnib,DBMET03217,Lonafarnib metabolite M1,,DB06448,NC(=O)N1CCC(CC(=O)N2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,NC(=O)N1CCC(CC(=O)N2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1O,DrugBank,0.8115942028985508,test
DB06670,Odanacatib,DBMET01469,M6 (Odanacatib),,DB06670,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C2=NC(C(=O)NCC(=O)O)CS2)CC1,DrugBank,0.5769230769230769,test
DB06670,Odanacatib,DBMET01471,M9 (Odanacatib),,DB06670,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,CS(=O)(=O)c1ccc(-c2ccc(C(OC3OC(C(=O)O)C(O)C(O)C3O)C(F)(F)F)cc2)cc1,DrugBank,0.3157894736842105,test
DB06670,Odanacatib,DBMET01470,M10 (Odanacatib),,DB06670,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.5,test
