parent_name,child_name,parent_smiles,child_smiles,source
(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,,Cc1ccsc1-c1ccc([C@@H](C)C(=O)O)cc1,CC1=C(c2ccc([C@@H](C)C(=O)O)cc2)SC(=O)C1,MetXBioDB
"(2s,5s)-troglitazone","(2S)â€3â€(4â€{[(2S)â€6â€hydroxyâ€2,5,7,8â€tetramethylâ€3,4â€dihydroâ€1â€benzopyranâ€2â€yl]methoxy}phenyl)â€2â€(hydroxysulfanyl)propanecarbonyl isocyanate",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)N=C3O)cc1)O2,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@H](SO)C(=O)N=C=O)cc1)O2,MetXBioDB
"(2s,5s)-troglitazone","(1S)-1-(formylcarbamoyl)-2-(4-{[(2S)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl]methoxy}phenyl)ethane-1-sulfinic acid",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)N=C3O)cc1)O2,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H](C(=O)N=CO)S(=O)O)cc1)O2,MetXBioDB
Saquinavir,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,CC(C)(CO)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
Saquinavir,"(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CC(O)CC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
Saquinavir,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-7-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCC(O)C[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",(3Z)â€5â€{3â€benzenesulfonamidoâ€6â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)C/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,O=C(O)C/C=C\CC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,MetXBioDB
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",(3Z)â€5â€{3â€benzenesulfonamidoâ€5â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)C/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,O=C(O)C/C=C\CC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,MetXBioDB
(r)-(+)-felodipine,Dehydrofelodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl,MetXBioDB
(R)-(-)-Mexiletine,"(R)-(-)-Mexiletine, p-hydroxyl",Cc1cccc(C)c1OC[C@@H](C)N,Cc1cc(O)cc(C)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,"(R)-(-)-Mexiletine, m-hydroxyl",Cc1cccc(C)c1OC[C@@H](C)N,Cc1ccc(O)c(C)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,"(R)-(-)-Mexiletine, 2-OH-hydroxymethyl",Cc1cccc(C)c1OC[C@@H](C)N,Cc1cccc(CO)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,"(R)-(-)-Mexiletine, N-hydroxy",Cc1cccc(C)c1OC[C@@H](C)N,Cc1cccc(C)c1OC[C@@H](C)NO,MetXBioDB
(r)-azelastine,"(r)-azelastine, N-desmethyl",CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1[C@@H]1CCCNCC1,MetXBioDB
(r)-bupropion,(2R)-1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1,MetXBioDB
(r)-bupropion,(2R)-2-(tert-butylamino)-1-(3-chlorophenyl)-3-hydroxypropan-1-one,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(C)(C)N[C@H](CO)C(=O)c1cccc(Cl)c1,MetXBioDB
(r)-bupropion,(2R)-2-(tert-butylamino)-1-(3-chloro-4-hydroxyphenyl)propan-1-one,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1,MetXBioDB
(r)-bupropion,(2R)â€2â€(tertâ€butylamino)â€1â€(3â€chloroâ€5â€hydroxyphenyl)propanâ€1â€one,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1,MetXBioDB
(r)-chloroquine,"(r)-chloroquine, N-desethyl",CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,CCNCCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,MetXBioDB
(r)-enflurane,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",FC(F)OC(F)(F)[C@H](F)Cl,O=C(F)C(F)(F)OC(F)F,MetXBioDB
(r)-ketamine,Norketamine,CN[C@@]1(c2ccccc2Cl)CCCCC1=O,N[C@@]1(c2ccccc2Cl)CCCCC1=O,MetXBioDB
(r)-mda,Alpha-methyldopamine,C[C@@H](N)Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc(O)c(O)c1,MetXBioDB
(r)-metoprolol,alpha-Hydroxymetoprolol,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,COCC(O)c1ccc(OC[C@H](O)CNC(C)C)cc1,MetXBioDB
(r)-metoprolol,O-Demethylmetoprolol,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,CC(C)NC[C@@H](O)COc1ccc(CCO)cc1,MetXBioDB
(r)-metoprolol,N_DEISOPROPYLATION,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,COCCc1ccc(OC[C@H](O)CN)cc1,MetXBioDB
(r)-trimipramine,,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,CNCC(C)CN1c2ccccc2CCc2ccccc21,MetXBioDB
(r)-trimipramine,,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,CC(CN(C)C)CN1c2ccccc2CC(O)c2ccccc21,MetXBioDB
(r)-trimipramine,,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,CC(CN(C)C)CN1c2ccccc2CCc2cc(O)ccc21,MetXBioDB
(s)-(-)-carvedilol,4'-OH-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,COc1cc(O)ccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,O-Desmethylcarvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,Oc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,5'-OH-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,COc1ccc(O)cc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,8-OH-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3c(O)cccc3c12,MetXBioDB
(s)-(+)-ibuprofen,2-Hydroxyibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,C[C@H](C(=O)O)c1ccc(CC(C)(C)O)cc1,MetXBioDB
(s)-(+)-ibuprofen,3-Hydroxyibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,CC(CO)Cc1ccc([C@H](C)C(=O)O)cc1,MetXBioDB
(s)-fluoxetine,(s)-Norfluoxetine,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,MetXBioDB
(s)-fluoxetine,p-Trifluoromethyl phenol,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1,MetXBioDB
(s)-fluoxetine,3-(methylamino)-1-phenylpropan-1-one,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CNCCC(=O)c1ccccc1,MetXBioDB
(s)-flurbiprofen,4-OH-S-flurbiprofen,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,C[C@H](C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,MetXBioDB
(s)-hexobarbital,3'-OH-(S)-hexobarbital,CN1C(=O)N=C(O)[C@](C)(C2=CCCCC2)C1=O,CN1C(=O)N=C(O)[C@](C)(C2=CC(O)CCC2)C1=O,MetXBioDB
(s)-mephobarbital,4-hydroxymephobarbital,CC[C@@]1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,CCC1(c2ccc(O)cc2)C(=O)N(C)C(=O)N=C1O,MetXBioDB
(s)-mephobarbital,phenobarbital,CC[C@@]1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,MetXBioDB
(s)-norfenfluramine,,C[C@H](N)Cc1cccc(C(F)(F)F)c1,NCCc1cccc(C(F)(F)F)c1,MetXBioDB
(s)-oxybutynin,2-cyclohexyl-2-phenylglycolic acid,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,O=C(O)[C@@](O)(c1ccccc1)C1CCCCC1,MetXBioDB
(s)-oxybutynin,4-(diethylamino)but-2-yn-1-ol,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,CCN(CC)CC#CCO,MetXBioDB
(s)-oxybutynin,N-desethyloxybutynin,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,CCNCC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,MetXBioDB
(s)-propafenone,(S)-5-Hydroxypropafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,CCCNC[C@H](O)COc1ccc(O)cc1C(=O)CCc1ccccc1,MetXBioDB
(s)-propafenone,(S)-N-Despropylpropafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,MetXBioDB
(s)-propafenone,(S)-4'-Hydroxypropafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccc(O)cc1,MetXBioDB
(s)-tomoxetine,4-Hydroxy-(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1,MetXBioDB
(s)-tomoxetine,N-Desmethyl-(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1CO)c1ccccc1,MetXBioDB
(s)-tomoxetine,2-Hydroxy-(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,Cc1ccccc1O[C@H](CCNCO)c1ccccc1,MetXBioDB
(s)-venlafaxine,N-Desmethylvenlafaxine,COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,CNC[C@H](c1ccc(OC)cc1)C1(O)CCCCC1,MetXBioDB
(s)-venlafaxine,O-Desmethylvenlafaxine,COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,CN(C)C[C@H](c1ccc(O)cc1)C1(O)CCCCC1,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,4'-hydroxy-o-aminoazotoJuene,Cc1cc(/N=N/c2ccccc2C)ccc1N,Cc1cc(/N=N/c2ccc(O)cc2C)ccc1N,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,2'-hydroxymethyl-3-raethyl-4-aminoazoberizene,Cc1cc(/N=N/c2ccccc2C)ccc1N,Cc1cc(/N=N/c2ccccc2CO)ccc1N,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,N-hydroxy-oaminoazotohiene,Cc1cc(/N=N/c2ccccc2C)ccc1N,Cc1ccccc1/N=N/c1ccc(NO)c(C)c1,MetXBioDB
1_4_cineole,,CC(C)C12CCC(C)(CC1)O2,CC(C)C12CCC(C)(O1)C(O)C2,MetXBioDB
1_8_cineole,"2alpha-hydroxy-1,8-cineole",CC12CCC(CC1)C(C)(C)O2,CC1(C)OC2(C)CCC1CC2O,MetXBioDB
1_8_cineole,"3alpha-hydroxy-1,8-cineole",CC12CCC(CC1)C(C)(C)O2,CC12CCC(C(O)C1)C(C)(C)O2,MetXBioDB
1-(3-chlorophenyl)piperazine,2‐chloro‐4‐(piperazin‐1‐yl)phenol,Clc1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1Cl,MetXBioDB
1-(4-methoxyphenyl)piperazine,1-(4-hydroxyphenyl)piperazine,COc1ccc(N2CCNCC2)cc1,Oc1ccc(N2CCNCC2)cc1,MetXBioDB
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",1-methyl-4-phenylpyridin-1-ium,CN1CC=C(c2ccccc2)CC1,C[n+]1ccc(-c2ccccc2)cc1,MetXBioDB
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",pOH-MPTP,CN1CC=C(c2ccccc2)CC1,CN1CC=C(c2ccc(O)cc2)CC1,MetXBioDB
1-nitropyrene,3-OH-1-nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,O=[N+]([O-])c1cc(O)c2ccc3cccc4ccc1c2c34,MetXBioDB
