parent_smiles,parent_id,parent_name,child_id,child_name,enzymes,origin,child_smiles,source,tanimoto,set
CC1CC2=C(C=CC3OC23)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,DBMET01336,Indapamide epoxide intermediate,DBMET01337,Indapamide metabolite M6,Epoxide hydrolase 1,DB00808,CC1CC2=C(C=CC(O)C2O)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,DrugBank,0.7540983606557377,test
O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,,(-)-thalidomide,,5-OH-thalidomide,CYP2C19,(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)c2ccc(O)cc2C1=O,MetXBioDB,0.7435897435897436,test
CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,DBMET00743,4'-hydroxyclobazam,DBMET03601,4'-hydroxy-N-desmethylclobazam,"Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2C9",DB00349,O=C1CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc2N1,DrugBank,0.5957446808510638,test
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,DB00238,Nevirapine,DBMET01716,12-OH-nevirapine,"Cytochrome P450 3A4, Cytochrome P450 2D6, Cytochrome P450 2C9",DB00238,O=C1Nc2c(CCO)ccnc2N(C2CC2)c2ncccc21,DrugBank,0.6666666666666666,test
COc1ccc(N2CCc3c2c2cccc(OC(F)(F)F)c2[nH]c3=NCCO)c(C)c1,,kr-60436,,,CYP2D6;CYP3A4,kr-60436,COc1ccc(-n2ccc3c(=NCCO)[nH]c4c(OC(F)(F)F)cccc4c32)c(C)c1,MetXBioDB,0.6712328767123288,test
Cn1c(=O)c2[nH]cnc2n(C)c1=O,DB00277,Theophylline,DBMET00272,3-methylxanthine,Cytochrome P450 1A2,DB00201,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,DrugBank,0.5588235294117647,test
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,DB00568,Cinnarizine,DBMET01196,Cinnarizine metabolite M4,Cytochrome P450 2B6,DB00568,Oc1ccc(C(c2ccccc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,Both,0.8421052631578947,test
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,,(-)-Epigallocatechin,,"(-)-Epigallocatechin, 3p-OH-glucuronide",UGT1A9,(-)-Epigallocatechin,O=C(O)C1OC(Oc2cc(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c2O)C(O)C(O)C1O,MetXBioDB,0.5961538461538461,test
CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ccc(O)cn1,DBMET00296,para-Hydroxyrosiglitazone,DBMET00938,N-Desmethyl-para-hydroxy rosiglitazone,,DB00412,O=C1NC(=O)C(Cc2ccc(OCCNc3ccc(O)cn3)cc2)S1,DrugBank,0.484375,test
COP(=S)(OC)Oc1ccc(SC)c(C)c1,DB11412,Fenthion,DBMET01816,Fenthion oxon,"Cytochrome P450 1A2, Cytochrome P450 2B6, Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5",DB11412,COP(=O)(OC)Oc1ccc(SC)c(C)c1,Both,0.6666666666666666,test
CC#CCn1c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,DBMET02389,Linagliptin CD1790,DBMET02391,Linagliptin M506(1),,DB08882,CC#CCn1c(NCCCC(O)C(=O)O)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,DrugBank,0.5764705882352941,test
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,DB11963,Dacomitinib,DBMET02190,PF-05199265,"Cytochrome P450 2D6, Cytochrome P450 2C9",DB11963,O=C(C=CCN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,DrugBank,0.8169014084507042,test
CCOC(=O)c1c(C[S+]([O-])c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,DBMET03044,Arbidol M5 metabolite,DBMET03059,Arbidol M11-2 metabolite,,DB13609,CCOC(=O)c1c(C[S+]([O-])c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CNC)c12,DrugBank,0.7761194029850746,test
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,DB00424,Hyoscyamine,DBMET03253,Tropic acid,,DB00424,O=C(O)C(CO)c1ccccc1,DrugBank,0.4390243902439024,test
CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,DB11757,Istradefylline,DBMET02750,4'-O-monodesmethyl istradefylline (M1),,DB11757,CCn1c(=O)c2c(nc(C=Cc3ccc(O)c(OC)c3)n2C)n(CC)c1=O,DrugBank,0.8269230769230769,test
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,DB08906,Fluticasone furoate,DBMET03675,M21 fluticasone furoate,,DB08906,CC1CC2C3CC(O)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,DrugBank,0.8918918918918919,test
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,DB00243,Ranolazine,DBMET02244,CVT-2738,"Cytochrome P450 3A4, Cytochrome P450 2D6",DB00243,Cc1cccc(C)c1NC(=O)CN1CCNCC1,DrugBank,0.509090909090909,test
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,DB00563,Methotrexate,DBMET00467,7-hydroxymethotrexate,Aldehyde oxidase,DB00563,CN(Cc1nc2c(N)[nH]c(=N)[nH]c-2nc1=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,DrugBank,0.5921052631578947,test
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)CO)O2,DBMET02310,13'-hydroxy-alpha-tocopherol,DBMET02311,13'-carboxy-alpha-tocopherol,,DB11635,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C(=O)O)O2,DrugBank,0.76,test
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,DB09194,Etoperidone,DBMET02171,Etoperidone M2,,DB09194,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,Both,0.7368421052631579,test
Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,DB00369,Cidofovir,DBMET03373,Cidofovir diphosphate,,DB12151,Nc1ccn(CC(CO)OCP(=O)(O)OP(=O)(O)O)c(=O)n1,DrugBank,0.7872340425531915,test
CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,DB13952,Estradiol acetate,DB00783,Estradiol,,DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DrugBank,0.6862745098039216,test
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,DB04573,Estriol,DBMET00604,Estriol 3-sulfate 16-glucuronide,,DB04573,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CC(OC1OC(C(=O)O)C(O)C(O)C1O)C2O,DrugBank,0.4444444444444444,test
CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,,Azimilide,,,CYP3A4;CYP3A5,Azimilide,C[N+]1([O-])CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,MetXBioDB,0.8166666666666667,test
Cc1cccc(C)c1N,,"2,6-Xylidine",,"N-(2,6-dimethylphenyl)hydroxylamine",CYP2A6; CYP2E1,"2,6-Xylidine",Cc1cccc(C)c1NO,MetXBioDB,0.4090909090909091,test
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,DB14682,Dextrorphan,DBMET00595,Dextrorphan O-glucuronide,"UDP-glucuronosyltransferases (UGTs), UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B17",DB00514,CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,DrugBank,0.546875,test
OC1=Nc2c(O)cc(Cl)cc2C(C#CC2(O)CC2)(C(F)(F)F)O1,,"8,14-diOH-efavirenz",,,UGT,8-hydroxyefavirenz,O=C(O)C1OC(OC2(C#CC3(C(F)(F)F)OC(O)=Nc4c(O)cc(Cl)cc43)CC2)C(O)C(O)C1O,MetXBioDB,0.5846153846153846,test
CC(C)=CCCC(C)=CCO,,Geraniol,,,GST,Geraniol,CC(C)=CCCC(C)=CCOS(=O)(=O)O,MetXBioDB,0.4838709677419355,test
CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,,schembl69463,,Hydroxy-DA-8164,CYP3A4,schembl69463,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCC4CCCN4C)ccc3OCC(C)O)nc12,MetXBioDB,0.8395061728395061,test
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,,Irinotecan,,,UGT,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(CC)OC1OC(C(=O)O)C(O)C(O)C1O,MetXBioDB,0.7578947368421053,test
CCCOC(=O)c1ccc(O)cc1,,Propyl-4-hydroxybenzoate,,,UGT1A9,Propyl-4-hydroxybenzoate,CCCOC(=O)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,MetXBioDB,0.4666666666666667,test
CCCCCC=CCC=CCCCCCCCC(=O)O,,Linoleic acid,,Leukotoxin,CYP2C9; CYP2C19,Linoleic acid,CCCCCC=CCC1OC1CCCCCCCC(=O)O,MetXBioDB,0.5897435897435898,test
CC1(C)C(C=C(Br)Br)C1C(=O)O,,cis-Dibromochrysanthemic acid,,,UGT,cis-Dibromochrysanthemic acid,CC1(C)C(C=C(Br)Br)C1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,MetXBioDB,0.5121951219512195,test
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,DB00802,Alfentanil,DBMET01580,"2-(4-ethyl-5-oxo-1,2,3,4-tetrazol-1-yl)acetaldehyde",Cytochrome P450 3A4,DB00802,CCn1nnn(CC=O)c1=O,Both,0.2711864406779661,test
CNCCCN1c2ccc(O)cc2CCc2ccc(Cl)cc21,DBMET01073,8-hydroxydesmethyl clomipramine,DBMET01075,8-hyroxydesmethyl clomipramine glucuronide,,DB01242,CNCCCN1c2cc(Cl)ccc2CCc2c1ccc(O)c2OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.5142857142857142,test
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00136,Calcitriol,DBMET00575,Calcitroic acid,,DB00169,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,DrugBank,0.703125,test
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,DB00834,Mifepristone,DBMET01703,Monodemethylated mifepristone,Cytochrome P450 3A4,DB00834,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(NC)cc3)CC21C,Both,0.8153846153846154,test
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,donepezil,,"2Ã¢â‚¬Â[(1Ã¢â‚¬ÂbenzylpiperidinÃ¢â‚¬Â4Ã¢â‚¬Âyl)methyl]Ã¢â‚¬Â5Ã¢â‚¬ÂhydroxyÃ¢â‚¬Â6Ã¢â‚¬ÂmethoxyÃ¢â‚¬Â2,3Ã¢â‚¬ÂdihydroindenÃ¢â‚¬Â1Ã¢â‚¬Âone",CYP3A4; CYP2C9; CYP2D6,donepezil,COc1cc2c(cc1O)CC(CC1CCN(Cc3ccccc3)CC1)C2=O,MetXBioDB,0.8490566037735849,test
Clc1cccc(N2CCNCC2)c1,DB12110,m-Chlorophenylpiperazine,DBMET01575,2-chloro-4-(piperazin-1-yl)phenol,Cytochrome P450 2D6,DB01149,Oc1ccc(N2CCNCC2)cc1Cl,Both,0.5428571428571428,test
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,DB00857,Terbinafine,DBMET01203,Terbinafine dihydrodiol derivative (1),"Cytochrome P450 1A2, Cytochrome P450 2C9, Cytochrome P450 2B6",DB00857,CN(CC=CC#CC(C)(C)C)Cc1cc(O)c(O)c2ccccc12,DrugBank,0.6530612244897959,test
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,DB04854,Febuxostat,DBMET03278,Febuxostat acyl-glucuronide,"UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 2B7",DB04854,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.6617647058823529,test
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,,TRANS-PERMETHRIN,,(3-Phenoxyphenyl)methanol,CYP2C8;CYP2C9;CYP2C19;CYP3A4,TRANS-PERMETHRIN,OCc1cccc(Oc2ccccc2)c1,MetXBioDB,0.4081632653061224,test
CC(=O)Nc1ccc(O)cc1,DB00316,Acetaminophen,DBMET00243,NAPQI,"Cytochrome P450 2E1, Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6, Cytochrome P450 2A6",DB03783,CC(=O)N=C1C=CC(=O)C=C1,Both,0.2580645161290322,test
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,DB01394,Colchicine,DBMET02756,2-Demethylcolchicine,Cytochrome P450 3A4,DB01394,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,Both,0.8490566037735849,test
O=C(C1CC1)C(c1ccccc1F)N1CCc2sc(O)cc2C1,DBMET00099,R-95913,DBMET00483,R-138727,"Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2D6",DB06209,O=C(O)CC1=C(S)CCN(C(C(=O)C2CC2)c2ccccc2F)C1,DrugBank,0.5573770491803278,test
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB00783,Estradiol,DBMET00332,4-hydroxyestrone,"Cytochrome P450 1B1, Cytochrome P450 3A5",DB13952,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O,DrugBank,0.3928571428571428,test
Nc1nc2ccc(OC(F)(F)F)cc2s1,DB00740,Riluzole,DBMET01740,N-OH-riluzole,Cytochrome P450 1A1,DB00740,ONc1nc2ccc(OC(F)(F)F)cc2s1,DrugBank,0.6410256410256411,test
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,DB13600,Deltamethrin,DBMET01813,4'-OH-deltamethrin,"Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5",DB13600,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccc(O)cc2)c1,Both,0.875,test
OC1=Nc2cc(Cl)c(CCN3CCN(c4nsc5ccccc45)CC3)cc2C1,,ziprasidone,,,CYP3A4,ziprasidone,[O-][s+]1nc(N2CCN(CCc3cc4c(cc3Cl)N=C(O)C4)CC2)c2ccccc21,MetXBioDB,0.6615384615384615,test
COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,DB15465,Benzhydrocodone,DB00956,Hydrocodone,,DB15465,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,DrugBank,0.5882352941176471,test
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,DB00440,Trimethoprim,DBMET03026,4-Desmethyl-TMP,Cytochrome P450 3A4,DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,DrugBank,0.7692307692307693,test
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB04557,Arachidonic Acid,DBMET01599,18-HETE,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2E1",DB13854,CCC(O)CCC=CCC=CCC=CCC=CCCCC(=O)O,Both,0.6176470588235294,test
Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1,DBMET03575,5'-hydroxysulfapyridine,DBMET03576,5'-hydroxysulfapyridine-O-glucuronide,,DB00795,Nc1ccc(S(=O)(=O)Nc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cn2)cc1,DrugBank,0.4821428571428571,test
C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C,DBMET00366,2-hydroxyethinylestradiol,DBMET03022,2-methoxyethinylestradiol,Catechol O-methyltransferase,DB01357,C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C,DrugBank,0.8,test
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,Acemetacin,DBMET01880,O-demethylated acemetacin,,DB13783,Cc1c(CC(=O)OCC(=O)O)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1,DrugBank,0.7857142857142857,test
O=C(O)CCC(=NNc1nncc2ccccc12)C(=O)O,DBMET02817,α-ketoglutarate hydrazone,DBMET02815,Phthalazinone,,DB01275,O=c1[nH]ncc2ccccc12,DrugBank,0.26,test
CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C,,CTK0G1203,,,CYP3A4,CTK0G1203,CC(NC(=NC#N)Nc1cc[n+]([O-])cc1)C(C)(C)C,MetXBioDB,0.4313725490196078,test
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,,Bisphenol A,,,UGT1A9,Bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,MetXBioDB,0.4,test
COc1ccc2[nH]cc(CCN(C)C)c2c1,,"n,n-dimethyl-5-methoxytryptamine",,Bufotenine,CYP2D6,"n,n-dimethyl-5-methoxytryptamine",CN(C)CCc1c[nH]c2ccc(O)cc12,MetXBioDB,0.65,test
CNCCC(Oc1ccc(O)cc1C)c1ccccc1,DBMET00734,4-hydroxyatomoxetine,DBMET02294,4-hydroxyatomoxetine-O-glucuronide,,DB00289,CNCCC(Oc1ccc(O)cc1OC1OC(O)C(O)C(O)C1O)c1ccccc1,DrugBank,0.6111111111111112,test
CC(=O)c1cc(O)c(O)cc1O,,5-OH-resacetophenone,,,SULT,5-OH-resacetophenone,CC(=O)c1cc(OS(=O)(=O)O)c(O)cc1O,MetXBioDB,0.5517241379310345,test
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,DB01069,Promethazine,DBMET02972,Promethazine Sulphoxide,,DB01069,CC(CN1c2ccccc2[S+]([O-])c2ccccc21)N(C)C,Both,0.5789473684210527,test
COc1ccc(CC(C)NCCOc2ccccc2O)cc1S(N)(=O)=O,DBMET02488,Tamsulosin M-1 Metabolite,DBMET02495,Tamsulosin M-1-Glu Metabolite,,DB00706,COc1ccc(CC(C)NCCOc2ccccc2OC2OC(C(=O)O)C(O)C(O)C2O)cc1S(N)(=O)=O,DrugBank,0.6617647058823529,test
Cc1ccc(C)c(N)c1,,"2,5-dimethylaniline",," 2,5Ã¢â‚¬Âdimethylacetanilide",NAT1; NAT2,"2,5-dimethylaniline",CC(=O)Nc1cc(C)ccc1C,MetXBioDB,0.3793103448275862,test
COc1ccc(O)cc1,DB09516,Mequinol,DBMET02069,3-hydroxy-4-methoxyanisole,Glutathione S-transferase A1,DB09516,COc1ccc(OC)c(O)c1,DrugBank,0.5416666666666666,test
CCc1cccc(CC)c1N(COC)C(=O)CCl,,Alachlor,,,CYP2B6; CYP3A4,Alachlor,CCc1cccc(CC)c1NCOC,MetXBioDB,0.3658536585365853,test
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,DBMET02094,R406,DBMET02095,R529,Cytochrome P450 3A4,DB12010,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1O,DrugBank,0.8548387096774194,test
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03408,Deoxydaunorubicinol aglycone-13-O-β-glucuronide,,DB00694,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)OOC1OC(C(=O)O)C(O)C(O)C1O)CC3,DrugBank,0.6231884057971014,test
COc1cc2c(cc1OC)-c1[nH][nH]c(=Nc3cccc(F)c3)c1C2,,JNJ-10198409,,JNJ-10198409 N-glucuronide B,UGT1A9,JNJ-10198409,COc1cc2c(cc1OC)-c1c(c(=Nc3cccc(F)c3)[nH]n1C1OC(C(=O)O)C(O)C(O)C1O)C2,MetXBioDB,0.5,test
COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,DB14783,Diroximel fumarate,DB14219,Monomethyl fumarate,Liver esterases,DB14783,COC(=O)C=CC(=O)O,DrugBank,0.4117647058823529,test
